date,raw_daily,raw_weekly
2015-12-27,78.0,66.0
2015-12-28,78.0,66.0
2015-12-29,83.0,66.0
2015-12-30,79.0,66.0
2015-12-31,61.0,66.0
2016-01-01,81.0,66.0
2016-01-02,84.0,66.0
2016-01-03,80.0,56.0
2016-01-04,66.0,56.0
2016-01-05,55.0,56.0
2016-01-06,52.0,56.0
2016-01-07,47.0,56.0
2016-01-08,61.0,56.0
2016-01-09,70.0,56.0
2016-01-10,74.0,54.0
2016-01-11,90.0,54.0
2016-01-12,62.0,54.0
2016-01-13,55.0,54.0
2016-01-14,53.0,54.0
2016-01-15,55.0,54.0
2016-01-16,66.0,54.0
2016-01-17,64.0,48.0
2016-01-18,46.0,48.0
2016-01-19,53.0,48.0
2016-01-20,55.0,48.0
2016-01-21,52.0,48.0
2016-01-22,48.0,48.0
2016-01-23,72.0,48.0
2016-01-24,63.0,57.0
2016-01-25,73.0,57.0
2016-01-26,68.0,57.0
2016-01-27,74.0,57.0
2016-01-28,62.0,57.0
2016-01-29,63.0,57.0
2016-01-30,72.0,57.0
2016-01-31,69.0,53.0
2016-02-01,60.0,53.0
2016-02-02,58.0,53.0
2016-02-03,54.0,53.0
2016-02-04,48.0,53.0
2016-02-05,51.0,53.0
2016-02-06,69.0,53.0
2016-02-07,73.0,59.0
2016-02-08,68.0,59.0
2016-02-09,69.0,59.0
2016-02-10,64.0,59.0
2016-02-11,75.0,59.0
2016-02-12,50.0,59.0
2016-02-13,82.0,59.0
2016-02-14,69.0,53.0
2016-02-15,52.0,53.0
2016-02-16,63.0,53.0
2016-02-17,70.0,53.0
2016-02-18,63.0,53.0
2016-02-19,52.0,53.0
2016-02-20,71.0,53.0
2016-02-21,73.0,60.0
2016-02-22,65.0,60.0
2016-02-23,59.0,60.0
2016-02-24,68.0,60.0
2016-02-25,55.0,60.0
2016-02-26,55.0,60.0
2016-02-27,85.0,60.0
2016-02-28,82.0,64.0
2016-02-29,74.0,64.0
2016-03-01,76.0,64.0
2016-03-02,57.0,64.0
2016-03-03,67.0,64.0
2016-03-04,75.0,64.0
2016-03-05,83.0,64.0
2016-03-06,100.0,60.0
2016-03-07,68.0,60.0
2016-03-08,69.0,60.0
2016-03-09,74.0,60.0
2016-03-10,71.0,60.0
2016-03-11,52.0,60.0
2016-03-12,66.0,60.0
2016-03-13,72.0,56.0
2016-03-14,55.0,56.0
2016-03-15,62.0,56.0
2016-03-16,55.0,56.0
2016-03-17,74.0,56.0
2016-03-18,67.0,56.0
2016-03-19,74.0,56.0
2016-03-20,71.0,53.0
2016-03-21,83.0,53.0
2016-03-22,60.0,53.0
2016-03-23,48.0,53.0
2016-03-24,56.0,53.0
2016-03-25,61.0,53.0
2016-03-26,55.0,53.0
2016-03-27,66.0,47.0
2016-03-28,49.0,47.0
2016-03-29,49.0,47.0
2016-03-30,58.0,47.0
2016-03-31,53.0,47.0
2016-04-01,46.0,47.0
2016-04-02,48.0,47.0
2016-04-03,54.0,39.0
2016-04-04,56.0,39.0
2016-04-05,43.0,39.0
2016-04-06,46.0,39.0
2016-04-07,33.0,39.0
2016-04-08,37.0,39.0
2016-04-09,43.0,39.0
2016-04-10,58.0,36.0
2016-04-11,41.0,36.0
2016-04-12,57.0,36.0
2016-04-13,47.0,36.0
2016-04-14,33.0,36.0
2016-04-15,40.0,36.0
2016-04-16,31.0,36.0
2016-04-17,46.0,32.0
2016-04-18,37.0,32.0
2016-04-19,38.0,32.0
2016-04-20,38.0,32.0
2016-04-21,24.0,32.0
