date,raw_daily,raw_weekly,airpurifier_harmonized_daily
2015.12.27,78,66,40.541359
2015.12.28,78,66,40.541359
2015.12.29,83,66,43.140163
2015.12.30,79,66,41.061119
2015.12.31,61,66,31.70542
2016.01.01,81,66,42.100639
2016.01.02,84,66,43.659924
2016.01.03,80,56,44.530685
2016.01.04,66,56,36.73782
2016.01.05,55,56,30.614847
2016.01.06,52,56,28.944946
2016.01.07,47,56,26.161779
2016.01.08,61,56,33.954651
2016.01.09,70,56,38.964352
2016.01.10,74,54,37.624676
2016.01.11,90,54,45.759739
2016.01.12,62,54,31.523376
2016.01.13,55,54,27.964283
2016.01.14,53,54,26.947401
2016.01.15,55,54,27.964283
2016.01.16,66,54,33.55714
2016.01.17,64,48,33.745453
2016.01.18,46,48,24.254543
2016.01.19,53,48,27.945452
2016.01.20,55,48,29
2016.01.21,52,48,27.41818
2016.01.22,48,48,25.30909
2016.01.23,72,48,37.963634
2016.01.24,63,57,32.387726
2016.01.25,73,57,37.528637
2016.01.26,68,57,34.958183
2016.01.27,74,57,38.042728
2016.01.28,62,57,31.873636
2016.01.29,63,57,32.387726
2016.01.30,72,57,37.014545
2016.01.31,69,53,38.305428
2016.02.01,60,53,33.309067
2016.02.02,58,53,32.198765
2016.02.03,54,53,29.978161
2016.02.04,48,53,26.647255
2016.02.05,51,53,28.312708
2016.02.06,69,53,38.305428
2016.02.07,73,59,38.36087
2016.02.08,68,59,35.733414
2016.02.09,69,59,36.258907
2016.02.10,64,59,33.631447
2016.02.11,75,59,39.41185
2016.02.12,50,59,26.274569
2016.02.13,82,59,43.090294
2016.02.14,69,53,35.606632
2016.02.15,52,53,26.833984
2016.02.16,63,53,32.510406
2016.02.17,70,53,36.122673
2016.02.18,63,53,32.510406
2016.02.19,52,53,26.833984
2016.02.20,71,53,36.63871
2016.02.21,73,60,40.791992
2016.02.22,65,60,36.321636
2016.02.23,59,60,32.968872
2016.02.24,68,60,37.99802
2016.02.25,55,60,30.733692
2016.02.26,55,60,30.733692
2016.02.27,85,60,47.497528
2016.02.28,82,64,43.741066
2016.02.29,74,64,39.473644
2016.03.01,76,64,40.540497
2016.03.02,57,64,30.405376
2016.03.03,67,64,35.739651
2016.03.04,75,64,40.007072
2016.03.05,83,64,44.274494
2016.03.06,100,60,51.409088
2016.03.07,68,60,34.958179
2016.03.08,69,60,35.472271
2016.03.09,74,60,38.042725
2016.03.10,71,60,36.500454
2016.03.11,52,60,26.732727
2016.03.12,66,60,33.929996
2016.03.13,72,56,37.632801
2016.03.14,55,56,28.747276
2016.03.15,62,56,32.406021
2016.03.16,55,56,28.747276
2016.03.17,74,56,38.678154
2016.03.18,67,56,35.019409
2016.03.19,74,56,38.678154
2016.03.20,71,53,37.145241
2016.03.21,83,53,43.423306
2016.03.22,60,53,31.390343
2016.03.23,48,53,25.112272
2016.03.24,56,53,29.297653
2016.03.25,61,53,31.913513
2016.03.26,55,53,28.774481
2016.03.27,66,47,36.014225
2016.03.28,49,47,26.737835
2016.03.29,49,47,26.737835
2016.03.30,58,47,31.648863
2016.03.31,53,47,28.920515
2016.04.01,46,47,25.100824
2016.04.02,48,47,26.192163
2016.04.03,54,39,28.91761
2016.04.04,56,39,29.988632
2016.04.05,43,39,23.026985
2016.04.06,46,39,24.63352
2016.04.07,33,39,17.671873
2016.04.08,37,39,19.813917
2016.04.09,43,39,23.026985
2016.04.10,58,36,29.137398
2016.04.11,41,36,20.597128
2016.04.12,57,36,28.635029
2016.04.13,47,36,23.61134
2016.04.14,33,36,16.578175
2016.04.15,40,36,20.094759
2016.04.16,31,36,15.573438
2016.04.17,46,32,25.634886
2016.04.18,37,32,20.619366
2016.04.19,38,32,21.176643
2016.04.20,38,32,21.176643
2016.04.21,24,32,13.374722
2016.04.22,29,32,16.161123
2016.04.23,34,32,18.947523
2016.04.24,57,37,31.481348
2016.04.25,49,37,27.062912
2016.04.26,42,37,23.196783
2016.04.27,33,37,18.226044
2016.04.28,36,37,19.882957
2016.04.29,38,37,20.987566
2016.04.30,32,37,17.67374
2016.05.01,37,40,20.51927
2016.05.02,37,40,20.51927
2016.05.03,46,40,25.510443
2016.05.04,47,40,26.065018
2016.05.05,50,40,27.728741
2016.05.06,40,40,22.182993
2016.05.07,52,40,28.837891
2016.05.08,65,38,36.115028
2016.05.09,27,38,15.001627
2016.05.10,38,38,21.113401
2016.05.11,39,38,21.669018
2016.05.12,36,38,20.002171
2016.05.13,49,38,27.225176
2016.05.14,39,38,21.669018
2016.05.15,47,35,26.198252
2016.05.16,41,35,22.853794
2016.05.17,36,35,20.066746
2016.05.18,26,35,14.49265
2016.05.19,44,35,24.526022
2016.05.20,36,35,20.066746
2016.05.21,39,35,21.738974
2016.05.22,64,44,35.274849
2016.05.23,64,44,35.274849
2016.05.24,51,44,28.109646
2016.05.25,35,44,19.290934
2016.05.26,47,44,25.904968
2016.05.27,44,44,24.251459
2016.05.28,37,44,20.393272
2016.05.29,48,40,26.619591
2016.05.30,41,40,22.737568
2016.05.31,46,40,25.510443
2016.06.01,36,40,19.964693
