date,raw_daily,raw_weekly,anxietydrug1_harmonized_daily
2015.12.27,43,34,31.488361
2015.12.28,55,34,40.275814
2015.12.29,15,34,10.984313
2015.12.30,15,34,10.984313
2015.12.31,15,34,10.984313
2016.01.01,30,34,21.968626
2016.01.02,29,34,21.236338
2016.01.03,41,35,28.507679
2016.01.04,13,35,9.0390205
2016.01.05,38,35,26.421753
2016.01.06,38,35,26.421753
2016.01.07,63,35,43.804485
2016.01.08,26,35,18.078041
2016.01.09,0,35,0
2016.01.10,41,38,28.125774
2016.01.11,0,38,0
2016.01.12,39,38,26.753788
2016.01.13,27,38,18.521852
2016.01.14,27,38,18.521852
2016.01.15,66,38,45.275639
2016.01.16,41,38,28.125774
2016.01.17,0,33,0
2016.01.18,64,33,41.389961
2016.01.19,52,33,33.629345
2016.01.20,27,33,17.46139
2016.01.21,26,33,16.814672
2016.01.22,40,33,25.868727
2016.01.23,13,33,8.4073362
2016.01.24,66,54,49.068714
2016.01.25,53,54,39.403667
2016.01.26,53,54,39.403667
2016.01.27,27,54,20.073565
2016.01.28,26,54,19.330099
2016.01.29,78,54,57.990299
2016.01.30,13,54,9.6650496
2016.01.31,40,60,28.296906
2016.02.01,52,60,36.78598
2016.02.02,52,60,36.78598
2016.02.03,40,60,28.296906
2016.02.04,79,60,55.886391
2016.02.05,53,60,37.493401
2016.02.06,53,60,37.493401
2016.02.07,79,61,55.908745
2016.02.08,52,61,36.80069
2016.02.09,51,61,36.092987
2016.02.10,39,61,27.600517
2016.02.11,39,61,27.600517
2016.02.12,64,61,45.293159
2016.02.13,51,61,36.092987
2016.02.14,38,38,25.434568
2016.02.15,39,38,26.103899
2016.02.16,52,38,34.805199
2016.02.17,53,38,35.474529
2016.02.18,13,38,8.7012997
2016.02.19,26,38,17.402599
2016.02.20,26,38,17.402599
2016.02.21,39,43,26.531052
2016.02.22,26,43,17.687368
2016.02.23,39,43,26.531052
2016.02.24,26,43,17.687368
2016.02.25,66,43,44.898705
2016.02.26,39,43,26.531052
2016.02.27,40,43,27.211334
2016.02.28,26,34,17.561525
2016.02.29,25,34,16.886084
2016.03.01,0,34,0
2016.03.02,26,34,17.561525
2016.03.03,13,34,8.7807627
2016.03.04,38,34,25.666845
2016.03.05,91,34,61.46534
2016.03.06,25,42,16.551386
2016.03.07,62,42,41.047436
2016.03.08,50,42,33.102772
2016.03.09,12,42,7.944665
2016.03.10,50,42,33.102772
2016.03.11,77,42,50.978264
2016.03.12,0,42,0
2016.03.13,13,26,8.0797777
2016.03.14,13,26,8.0797777
2016.03.15,26,26,16.159555
2016.03.16,52,26,32.319111
2016.03.17,26,26,16.159555
2016.03.18,39,26,24.239332
2016.03.19,13,26,8.0797777
2016.03.20,40,30,28.6856
2016.03.21,13,30,9.3228197
2016.03.22,26,30,18.645639
2016.03.23,51,30,36.574139
2016.03.24,26,30,18.645639
2016.03.25,26,30,18.645639
2016.03.26,0,30,0
2016.03.27,13,40,10.773037
2016.03.28,24,40,19.888683
2016.03.29,49,40,40.606064
2016.03.30,61,40,50.550404
2016.03.31,25,40,20.717379
2016.04.01,25,40,20.717379
2016.04.02,13,40,10.773037
2016.04.03,38,47,26.519657
2016.04.04,12,47,8.374629
2016.04.05,64,47,44.664684
2016.04.06,38,47,26.519657
2016.04.07,62,47,43.268913
2016.04.08,13,47,9.0725145
2016.04.09,66,47,46.060459
2016.04.10,64,40,43.002556
2016.04.11,52,40,34.939575
2016.04.12,0,40,0
2016.04.13,26,40,17.469788
2016.04.14,13,40,8.7348938
2016.04.15,39,40,26.204681
2016.04.16,65,40,43.674469
2016.04.17,37,51,29.42536
2016.04.18,88,51,69.984642
2016.04.19,52,51,41.354561
2016.04.20,13,51,10.33864
2016.04.21,25,51,19.882
2016.04.22,38,51,30.220638
2016.04.23,26,51,20.67728
2016.04.24,13,34,9.3804245
2016.04.25,51,34,36.800125
2016.04.26,51,34,36.800125
2016.04.27,25,34,18.039278
2016.04.28,0,34,0
2016.04.29,52,34,37.521698
2016.04.30,13,34,9.3804245
2016.05.01,38,53,26.877935
2016.05.02,50,53,35.365704
2016.05.03,50,53,35.365704
2016.05.04,50,53,35.365704
2016.05.05,25,53,17.682852
2016.05.06,24,53,16.975538
2016.05.07,89,53,62.950958
2016.05.08,51,49,34.515152
2016.05.09,37,49,25.040403
2016.05.10,49,49,33.161617
2016.05.11,38,49,25.717171
2016.05.12,51,49,34.515152
2016.05.13,63,49,42.636364
2016.05.14,26,49,17.595961
2016.05.15,39,43,26.244743
2016.05.16,62,43,41.722412
2016.05.17,37,43,24.898859
2016.05.18,38,43,25.5718
2016.05.19,63,43,42.395355
2016.05.20,13,43,8.7482471
2016.05.21,26,43,17.496494
2016.05.22,51,26,34.752777
2016.05.23,25,26,17.035675
2016.05.24,0,26,0
2016.05.25,25,26,17.035675
2016.05.26,0,26,0
2016.05.27,52,26,35.434204
2016.05.28,13,26,8.858551
2016.05.29,13,44,8.3790293
2016.05.30,77,44,49.629635
2016.05.31,13,44,8.3790293
2016.06.01,64,44,41.250607
2016.06.02,13,44,8.3790293
2016.06.03,77,44,49.629635
2016.06.04,40,44,25.781628
2016.06.05,63,53,44.154461
2016.06.06,100,53,70.086449
2016.06.07,37,53,25.931986
2016.06.08,51,53,35.744091
2016.06.09,12,53,8.4103737
2016.06.10,26,53,18.222477
2016.06.11,40,53,28.03458
2016.06.12,38,35,27.166025
2016.06.13,36,35,25.736233
2016.06.14,75,35,53.617153
2016.06.15,25,35,17.872385
2016.06.16,13,35,9.2936401
2016.06.17,13,35,9.2936401
2016.06.18,13,35,9.2936401
2016.06.19,76,47,51.974979
2016.06.20,37,47,25.303608
2016.06.21,12,47,8.2065754
2016.06.22,74,47,50.607216
2016.06.23,50,47,34.194065
2016.06.24,12,47,8.2065754
2016.06.25,38,47,25.98749
2016.06.26,39,51,28.465269
2016.06.27,26,51,18.976847
2016.06.28,62,51,45.25248
2016.06.29,37,51,27.005512
2016.06.30,76,51,55.470779
2016.07.01,51,51,37.223812
2016.07.02,13,51,9.4884233
2016.07.03,67,61,54.543262
2016.07.04,22,61,17.909727
2016.07.05,66,61,53.729179
2016.07.06,46,61,37.447613
2016.07.07,34,61,27.678671
2016.07.08,80,61,65.126282
2016.07.09,11,61,8.9548635
2016.07.10,11,37,9.2707548
2016.07.11,45,37,37.925819
2016.07.12,11,37,9.2707548
2016.07.13,45,37,37.925819
2016.07.14,22,37,18.54151
2016.07.15,34,37,28.655064
2016.07.16,23,37,19.384306
2016.07.17,58,67,43.686367
2016.07.18,34,67,25.609247
