date,raw_daily,raw_weekly
2015-12-27,52.0,43.0
2015-12-28,47.0,43.0
2015-12-29,40.0,43.0
2015-12-30,35.0,43.0
2015-12-31,34.0,43.0
2016-01-01,41.0,43.0
2016-01-02,58.0,43.0
2016-01-03,43.0,57.0
2016-01-04,67.0,57.0
2016-01-05,69.0,57.0
2016-01-06,60.0,57.0
2016-01-07,48.0,57.0
2016-01-08,50.0,57.0
2016-01-09,63.0,57.0
2016-01-10,46.0,53.0
2016-01-11,36.0,53.0
2016-01-12,49.0,53.0
2016-01-13,59.0,53.0
2016-01-14,76.0,53.0
2016-01-15,48.0,53.0
2016-01-16,64.0,53.0
2016-01-17,49.0,55.0
2016-01-18,63.0,55.0
2016-01-19,49.0,55.0
2016-01-20,66.0,55.0
2016-01-21,75.0,55.0
2016-01-22,59.0,55.0
2016-01-23,37.0,55.0
2016-01-24,45.0,46.0
2016-01-25,53.0,46.0
2016-01-26,56.0,46.0
2016-01-27,50.0,46.0
2016-01-28,39.0,46.0
2016-01-29,52.0,46.0
2016-01-30,46.0,46.0
2016-01-31,53.0,63.0
2016-02-01,66.0,63.0
2016-02-02,96.0,63.0
2016-02-03,78.0,63.0
2016-02-04,56.0,63.0
2016-02-05,50.0,63.0
2016-02-06,48.0,63.0
2016-02-07,50.0,55.0
2016-02-08,66.0,55.0
2016-02-09,57.0,55.0
2016-02-10,36.0,55.0
2016-02-11,47.0,55.0
2016-02-12,67.0,55.0
2016-02-13,65.0,55.0
2016-02-14,75.0,68.0
2016-02-15,79.0,68.0
2016-02-16,66.0,68.0
2016-02-17,75.0,68.0
2016-02-18,68.0,68.0
2016-02-19,74.0,68.0
2016-02-20,68.0,68.0
2016-02-21,75.0,67.0
2016-02-22,57.0,67.0
2016-02-23,95.0,67.0
2016-02-24,66.0,67.0
2016-02-25,64.0,67.0
2016-02-26,52.0,67.0
2016-02-27,65.0,67.0
2016-02-28,63.0,70.0
2016-02-29,64.0,70.0
2016-03-01,86.0,70.0
2016-03-02,90.0,70.0
2016-03-03,58.0,70.0
2016-03-04,70.0,70.0
2016-03-05,77.0,70.0
2016-03-06,62.0,74.0
2016-03-07,83.0,74.0
2016-03-08,87.0,74.0
2016-03-09,78.0,74.0
2016-03-10,77.0,74.0
2016-03-11,71.0,74.0
2016-03-12,68.0,74.0
2016-03-13,64.0,67.0
2016-03-14,48.0,67.0
2016-03-15,76.0,67.0
2016-03-16,85.0,67.0
2016-03-17,82.0,67.0
2016-03-18,74.0,67.0
2016-03-19,41.0,67.0
2016-03-20,59.0,66.0
2016-03-21,60.0,66.0
2016-03-22,68.0,66.0
2016-03-23,80.0,66.0
2016-03-24,65.0,66.0
2016-03-25,82.0,66.0
2016-03-26,63.0,66.0
2016-03-27,77.0,64.0
2016-03-28,51.0,64.0
2016-03-29,86.0,64.0
2016-03-30,75.0,64.0
2016-03-31,50.0,64.0
2016-04-01,62.0,64.0
2016-04-02,66.0,64.0
2016-04-03,40.0,63.0
2016-04-04,78.0,63.0
2016-04-05,70.0,63.0
2016-04-06,78.0,63.0
2016-04-07,63.0,63.0
2016-04-08,47.0,63.0
2016-04-09,69.0,63.0
2016-04-10,79.0,68.0
2016-04-11,60.0,68.0
2016-04-12,80.0,68.0
2016-04-13,69.0,68.0
2016-04-14,72.0,68.0
2016-04-15,63.0,68.0
2016-04-16,63.0,68.0
2016-04-17,63.0,67.0
2016-04-18,85.0,67.0
2016-04-19,69.0,67.0
2016-04-20,85.0,67.0
2016-04-21,70.0,67.0
2016-04-22,57.0,67.0
2016-04-23,73.0,67.0
2016-04-24,67.0,64.0
2016-04-25,78.0,64.0
2016-04-26,90.0,64.0
2016-04-27,56.0,64.0
2016-04-28,51.0,64.0
2016-04-29,46.0,64.0
2016-04-30,69.0,64.0
2016-05-01,48.0,52.0
2016-05-02,58.0,52.0
2016-05-03,55.0,52.0
2016-05-04,56.0,52.0
2016-05-05,40.0,52.0
2016-05-06,62.0,52.0
2016-05-07,51.0,52.0
2016-05-08,67.0,65.0
2016-05-09,62.0,65.0
2016-05-10,61.0,65.0
2016-05-11,66.0,65.0
2016-05-12,77.0,65.0
2016-05-13,78.0,65.0
2016-05-14,52.0,65.0
2016-05-15,60.0,62.0
2016-05-16,81.0,62.0
2016-05-17,70.0,62.0
2016-05-18,62.0,62.0
2016-05-19,69.0,62.0
2016-05-20,54.0,62.0
2016-05-21,44.0,62.0
2016-05-22,86.0,77.0
2016-05-23,80.0,77.0
