date,raw_daily,raw_weekly
2017-12-31,8.0,6.0
2018-01-01,3.0,6.0
2018-01-02,8.0,6.0
2018-01-03,6.0,6.0
2018-01-04,7.0,6.0
2018-01-05,8.0,6.0
2018-01-06,5.0,6.0
2018-01-07,8.0,7.0
2018-01-08,6.0,7.0
2018-01-09,10.0,7.0
2018-01-10,10.0,7.0
2018-01-11,8.0,7.0
2018-01-12,4.0,7.0
2018-01-13,7.0,7.0
2018-01-14,8.0,8.0
2018-01-15,8.0,8.0
2018-01-16,11.0,8.0
2018-01-17,7.0,8.0
2018-01-18,11.0,8.0
2018-01-19,9.0,8.0
2018-01-20,8.0,8.0
2018-01-21,10.0,9.0
2018-01-22,5.0,9.0
2018-01-23,7.0,9.0
2018-01-24,11.0,9.0
2018-01-25,10.0,9.0
2018-01-26,11.0,9.0
2018-01-27,15.0,9.0
2018-01-28,22.0,13.0
2018-01-29,13.0,13.0
2018-01-30,10.0,13.0
2018-01-31,13.0,13.0
2018-02-01,13.0,13.0
2018-02-02,11.0,13.0
2018-02-03,13.0,13.0
2018-02-04,14.0,15.0
2018-02-05,17.0,15.0
2018-02-06,14.0,15.0
2018-02-07,19.0,15.0
2018-02-08,13.0,15.0
2018-02-09,16.0,15.0
2018-02-10,19.0,15.0
2018-02-11,14.0,23.0
2018-02-12,29.0,23.0
2018-02-13,31.0,23.0
2018-02-14,27.0,23.0
2018-02-15,24.0,23.0
2018-02-16,25.0,23.0
2018-02-17,26.0,23.0
2018-02-18,31.0,25.0
2018-02-19,28.0,25.0
2018-02-20,29.0,25.0
2018-02-21,30.0,25.0
2018-02-22,30.0,25.0
2018-02-23,24.0,25.0
2018-02-24,25.0,25.0
2018-02-25,38.0,57.0
2018-02-26,53.0,57.0
2018-02-27,51.0,57.0
2018-02-28,59.0,57.0
2018-03-01,77.0,57.0
2018-03-02,87.0,57.0
2018-03-03,74.0,57.0
2018-03-04,81.0,60.0
2018-03-05,73.0,60.0
2018-03-06,80.0,60.0
2018-03-07,87.0,60.0
2018-03-08,55.0,60.0
2018-03-09,47.0,60.0
2018-03-10,59.0,60.0
2018-03-11,75.0,76.0
2018-03-12,94.0,76.0
2018-03-13,95.0,76.0
2018-03-14,93.0,76.0
2018-03-15,100.0,76.0
2018-03-16,64.0,76.0
2018-03-17,63.0,76.0
2018-03-18,60.0,37.0
2018-03-19,49.0,37.0
2018-03-20,32.0,37.0
