date,raw_daily,raw_weekly,pollen_harmonized_daily
2017.12.31,1,2,.54704297
2018.01.01,2,2,1.0940859
2018.01.02,2,2,1.0940859
2018.01.03,2,2,1.0940859
2018.01.04,3,2,1.6411288
2018.01.05,3,2,1.6411288
2018.01.06,3,2,1.6411288
2018.01.07,3,3,1.5754838
2018.01.08,3,3,1.5754838
2018.01.09,4,3,2.1006451
2018.01.10,4,3,2.1006451
2018.01.11,4,3,2.1006451
2018.01.12,4,3,2.1006451
2018.01.13,3,3,1.5754838
2018.01.14,3,5,1.8755759
2018.01.15,4,5,2.5007679
2018.01.16,6,5,3.7511518
2018.01.17,4,5,2.5007679
2018.01.18,7,5,4.3763437
2018.01.19,6,5,3.7511518
2018.01.20,5,5,3.1259599
2018.01.21,5,4,2.7352147
2018.01.22,3,4,1.6411288
2018.01.23,4,4,2.1881719
2018.01.24,5,4,2.7352147
2018.01.25,5,4,2.7352147
2018.01.26,5,4,2.7352147
2018.01.27,5,4,2.7352147
2018.01.28,5,6,2.983871
2018.01.29,8,6,4.7741938
2018.01.30,7,6,4.1774192
2018.01.31,6,6,3.5806451
2018.02.01,6,6,3.5806451
2018.02.02,6,6,3.5806451
2018.02.03,6,6,3.5806451
2018.02.04,8,9,4.7741933
2018.02.05,9,9,5.3709674
2018.02.06,8,9,4.7741933
2018.02.07,11,9,6.5645161
2018.02.08,11,9,6.5645161
2018.02.09,10,9,5.9677415
2018.02.10,9,9,5.3709674
2018.02.11,10,14,6.0662193
2018.02.12,11,14,6.6728411
2018.02.13,15,14,9.099329
2018.02.14,17,14,10.312573
2018.02.15,17,14,10.312573
2018.02.16,17,14,10.312573
2018.02.17,14,14,8.4927073
2018.02.18,16,18,9.0027647
2018.02.19,21,18,11.816129
2018.02.20,22,18,12.3788
2018.02.21,21,18,11.816129
2018.02.22,18,18,10.12811
2018.02.23,19,18,10.690784
2018.02.24,23,18,12.941473
2018.02.25,26,60,17.686779
2018.02.26,42,60,28.57095
2018.02.27,48,60,32.652515
2018.02.28,54,60,36.734077
2018.03.01,73,60,49.659035
2018.03.02,79,60,53.740597
2018.03.03,64,60,43.536686
2018.03.04,87,70,59.095196
2018.03.05,60,70,40.755302
2018.03.06,82,70,55.698921
2018.03.07,76,70,51.623386
2018.03.08,49,70,33.283501
2018.03.09,40,70,27.170204
2018.03.10,57,70,38.717541
2018.03.11,71,95,50.458874
2018.03.12,96,95,68.226082
2018.03.13,93,95,66.094017
2018.03.14,100,95,71.068832
2018.03.15,95,95,67.515388
2018.03.16,67,95,47.616116
2018.03.17,63,95,44.773365
2018.03.18,57,41,39.03632
2018.03.19,46,41,31.502995
2018.03.20,32,41,21.915127
2018.03.21,25,41,17.121195
2018.03.22,29,41,19.860584
2018.03.23,35,41,23.969669
2018.03.24,38,41,26.024212
2018.03.25,51,70,34.718994
2018.03.26,64,70,43.568935
2018.03.27,63,70,42.888168
2018.03.28,65,70,44.249699
2018.03.29,66,70,44.930466
2018.03.30,77,70,52.418873
2018.03.31,64,70,43.568935
2018.04.01,56,54,38.923714
2018.04.02,53,54,36.838516
2018.04.03,47,54,32.668121
2018.04.04,56,54,38.923714
2018.04.05,57,54,39.618782
2018.04.06,40,54,27.802656
2018.04.07,31,54,21.547058
2018.04.08,34,30,22.431513
2018.04.09,36,30,23.751013
2018.04.10,31,30,20.452261
2018.04.11,30,30,19.792509
2018.04.12,26,30,17.153509
2018.04.13,23,30,15.174257
2018.04.14,19,30,12.535256
2018.04.15,21,18,12.345209
2018.04.16,22,18,12.933077
2018.04.17,15,18,8.8180075
2018.04.18,19,18,11.169476
2018.04.19,19,18,11.169476
2018.04.20,18,18,10.581608
2018.04.21,20,18,11.757342
2018.04.22,19,13,11.749532
2018.04.23,15,13,9.2759457
2018.04.24,14,13,8.6575489
2018.04.25,11,13,6.8023601
2018.04.26,12,13,7.4207563
2018.04.27,10,13,6.1839638
2018.04.28,11,13,6.8023601
2018.04.29,10,8,5.7394671
2018.04.30,12,8,6.887361
2018.05.01,11,8,6.3134136
2018.05.02,7,8,4.0176272
2018.05.03,7,8,4.0176272
2018.05.04,7,8,4.0176272
2018.05.05,7,8,4.0176272
2018.05.06,8,7,5.0015359
2018.05.07,7,7,4.3763437
2018.05.08,6,7,3.7511518
2018.05.09,6,7,3.7511518
2018.05.10,6,7,3.7511518
2018.05.11,8,7,5.0015359
2018.05.12,8,7,5.0015359
2018.05.13,6,7,3.4680459
2018.05.14,8,7,4.6240616
2018.05.15,8,7,4.6240616
2018.05.16,10,7,5.780077
2018.05.17,8,7,4.6240616
2018.05.18,7,7,4.0460539
2018.05.19,6,7,3.4680459
2018.05.20,8,8,4.6681004
2018.05.21,11,8,6.4186378
2018.05.22,14,8,8.1691751
2018.05.23,9,8,5.2516127
2018.05.24,7,8,4.0845876
2018.05.25,6,8,3.501075
2018.05.26,5,8,2.9175625
2018.05.27,6,5,3.86148
2018.05.28,5,5,3.2179
2018.05.29,6,5,3.86148
2018.05.30,5,5,3.2179
2018.05.31,3,5,1.93074
2018.06.01,4,5,2.5743201
2018.06.02,5,5,3.2179
2018.06.03,4,4,2.593389
2018.06.04,6,4,3.8900836
2018.06.05,5,4,3.2417362
2018.06.06,4,4,2.593389
2018.06.07,3,4,1.9450418
2018.06.08,3,4,1.9450418
2018.06.09,2,4,1.2966945
2018.06.10,2,2,1.0297279
2018.06.11,2,2,1.0297279
2018.06.12,3,2,1.5445919
2018.06.13,3,2,1.5445919
2018.06.14,2,2,1.0297279
2018.06.15,3,2,1.5445919
2018.06.16,2,2,1.0297279
2018.06.17,2,2,1.1670251
2018.06.18,2,2,1.1670251
2018.06.19,2,2,1.1670251
2018.06.20,2,2,1.1670251
2018.06.21,2,2,1.1670251
2018.06.22,3,2,1.7505375
2018.06.23,2,2,1.1670251
2018.06.24,2,2,1.1670251
2018.06.25,3,2,1.7505375
2018.06.26,2,2,1.1670251
2018.06.27,2,2,1.1670251
2018.06.28,2,2,1.1670251
2018.06.29,2,2,1.1670251
2018.06.30,2,2,1.1670251
2018.07.01,25,1,.82885295
2018.07.02,20,1,.66308236
2018.07.03,22,1,.72939062
2018.07.04,24,1,.79569888
2018.07.05,16,1,.5304659
2018.07.06,13,1,.43100357
2018.07.07,12,1,.39784944
2018.07.08,22,1,.67328364
2018.07.09,23,1,.70388752
2018.07.10,19,1,.58147228
2018.07.11,20,1,.61207604
2018.07.12,20,1,.61207604
2018.07.13,23,1,.70388752
2018.07.14,16,1,.48966086
2018.07.15,20,1,.65318573
2018.07.16,20,1,.65318573
2018.07.17,25,1,.81648213
2018.07.18,22,1,.71850419
2018.07.19,16,1,.52254856
2018.07.20,16,1,.52254856
2018.07.21,15,1,.48988923
2018.07.22,20,1,.6946578
2018.07.23,17,1,.59045911
2018.07.24,18,1,.62519199
2018.07.25,23,1,.79885644
2018.07.26,20,1,.6946578
2018.07.27,17,1,.59045911
2018.07.28,11,1,.38206178
2018.07.29,16,2,.9035033
2018.07.30,19,2,1.0729102
2018.07.31,28,2,1.5811306
2018.08.01,21,2,1.1858481
2018.08.02,23,2,1.298786
2018.08.03,27,2,1.5246618
2018.08.04,21,2,1.1858481
2018.08.05,24,2,1.4487209
2018.08.06,20,2,1.2072673
2018.08.07,19,2,1.146904
2018.08.08,18,2,1.0865406
2018.08.09,25,2,1.5090842
2018.08.10,19,2,1.146904
2018.08.11,20,2,1.2072673
2018.08.12,21,2,1.1006373
2018.08.13,18,2,.94340342
2018.08.14,19,2,.99581474
2018.08.15,19,2,.99581474
2018.08.16,23,2,1.20546
2018.08.17,31,2,1.6247504
2018.08.18,36,2,1.8868068
2018.08.19,39,2,1.8352411
2018.08.20,33,2,1.5528963
2018.08.21,29,2,1.3646665
2018.08.22,23,2,1.0823216
2018.08.23,20,2,.94114923
2018.08.24,26,2,1.2234941
2018.08.25,16,2,.75291944
2018.08.26,30,2,1.4041746
2018.08.27,30,2,1.4041746
2018.08.28,24,2,1.1233397
2018.08.29,35,2,1.6382036
2018.08.30,26,2,1.2169513
2018.08.31,25,2,1.1701454
2018.09.01,17,2,.79569888
2018.09.02,23,2,.91923207
2018.09.03,31,2,1.238965
2018.09.04,28,2,1.1190652
2018.09.05,35,2,1.3988314
2018.09.06,33,2,1.3188982
2018.09.07,29,2,1.1590317
2018.09.08,40,2,1.5986644
2018.09.09,28,3,1.3768274
2018.09.10,36,3,1.7702066
2018.09.11,47,3,2.3111031
2018.09.12,48,3,2.3602755
2018.09.13,48,3,2.3602755
2018.09.14,27,3,1.3276551
2018.09.15,33,3,1.6226894
2018.09.16,33,3,1.4112639
2018.09.17,45,3,1.9244509
2018.09.18,55,3,2.3521066
2018.09.19,57,3,2.4376378
2018.09.20,41,3,1.7533885
2018.09.21,35,3,1.4967951
2018.09.22,41,3,1.7533885
2018.09.23,55,4,2.7587266
2018.09.24,61,4,3.0596786
2018.09.25,45,4,2.2571402
2018.09.26,46,4,2.3072987
2018.09.27,44,4,2.2069814
2018.09.28,56,4,2.8088853
2018.09.29,42,4,2.1066642
2018.09.30,19,4,.85064489
2018.10.01,64,4,2.8653302
2018.10.02,82,4,3.6712041
2018.10.03,76,4,3.4025795
2018.10.04,58,4,2.5967054
2018.10.05,50,4,2.2385392
2018.10.06,42,4,1.8803729
2018.10.07,42,4,1.9096773
2018.10.08,67,4,3.0463898
2018.10.09,70,4,3.1827955
2018.10.10,50,4,2.2734253
2018.10.11,50,4,2.2734253
2018.10.12,49,4,2.2279568
2018.10.13,57,4,2.5917048
2018.10.14,69,5,3.1920481
2018.10.15,77,5,3.5621407
2018.10.16,74,5,3.4233561
2018.10.17,59,5,2.7294323
2018.10.18,71,5,3.2845714
2018.10.19,57,5,2.6369092
2018.10.20,66,5,3.0532634
2018.10.21,71,5,3.1771004
2018.10.22,100,5,4.4747896
2018.10.23,81,5,3.6245792
2018.10.24,56,5,2.505882
2018.10.25,71,5,3.1771004
2018.10.26,61,5,2.7296214
2018.10.27,49,5,2.1926467
2018.10.28,51,4,2.0714018
2018.10.29,67,4,2.7212534
2018.10.30,74,4,3.0055633
2018.10.31,64,4,2.599406
2018.11.01,78,4,3.168026
2018.11.02,57,4,2.3150961
2018.11.03,40,4,1.6246288
2018.11.04,43,3,1.9400287
2018.11.05,65,3,2.9326015
2018.11.06,46,3,2.0753794
2018.11.07,38,3,1.7144439
2018.11.08,39,3,1.7595608
2018.11.09,30,3,1.3535085
2018.11.10,30,3,1.3535085
2018.11.11,43,3,2.0380807
2018.11.12,51,3,2.4172585
2018.11.13,41,3,1.9432862
2018.11.14,36,3,1.7063001
2018.11.15,37,3,1.7536974
2018.11.16,31,3,1.469314
2018.11.17,38,3,1.8010945
2018.11.18,39,2,1.4164102
2018.11.19,34,2,1.2348191
2018.11.20,43,2,1.5616831
2018.11.21,30,2,1.0895463
2018.11.22,31,2,1.1258645
2018.11.23,28,2,1.0169098
2018.11.24,36,2,1.3074555
2018.11.25,36,3,1.817866
2018.11.26,46,3,2.3228288
2018.11.27,42,3,2.1208436
2018.11.28,36,3,1.817866
2018.11.29,40,3,2.0198512
2018.11.30,28,3,1.4138957
2018.12.01,32,3,1.6158808
2018.12.02,28,2,1.1190652
2018.12.03,35,2,1.3988314
2018.12.04,36,2,1.4387981
2018.12.05,39,2,1.5586978
2018.12.06,27,2,1.0790986
2018.12.07,32,2,1.2789316
2018.12.08,22,2,.87926543
2018.12.09,28,2,1.3247311
2018.12.10,30,2,1.4193547
2018.12.11,29,2,1.372043
2018.12.12,26,2,1.2301074
2018.12.13,26,2,1.2301074
2018.12.14,20,2,.94623649
2018.12.15,26,2,1.2301074
2018.12.16,22,2,1.1886367
2018.12.17,23,2,1.2426655
2018.12.18,27,2,1.4587812
2018.12.19,24,2,1.2966945
2018.12.20,27,2,1.4587812
2018.12.21,19,2,1.0265498
2018.12.22,20,2,1.0805788
2018.12.23,20,2,.98900425
2018.12.24,19,2,.93955404
2018.12.25,34,2,1.6813072
2018.12.26,25,2,1.2362553
2018.12.27,31,2,1.5329565
2018.12.28,28,2,1.384606
2018.12.29,20,2,.98900425
2018.12.30,1,2,.62519199
2018.12.31,1,2,.62519199
2019.01.01,2,2,1.250384
2019.01.02,2,2,1.250384
2019.01.03,2,2,1.250384
2019.01.04,3,2,1.8755759
2019.01.05,3,2,1.8755759
2019.01.06,3,4,2.1006451
2019.01.07,4,4,2.8008602
2019.01.08,4,4,2.8008602
