date,raw_daily,raw_weekly
2015-12-27,51.0,64.0
2015-12-28,55.0,64.0
2015-12-29,54.0,64.0
2015-12-30,54.0,64.0
2015-12-31,46.0,64.0
2016-01-01,40.0,64.0
2016-01-02,70.0,64.0
2016-01-03,75.0,93.0
2016-01-04,88.0,93.0
2016-01-05,85.0,93.0
2016-01-06,74.0,93.0
2016-01-07,82.0,93.0
2016-01-08,60.0,93.0
2016-01-09,75.0,93.0
2016-01-10,67.0,87.0
2016-01-11,82.0,87.0
2016-01-12,78.0,87.0
2016-01-13,69.0,87.0
2016-01-14,71.0,87.0
2016-01-15,57.0,87.0
2016-01-16,84.0,87.0
2016-01-17,70.0,80.0
2016-01-18,65.0,80.0
2016-01-19,68.0,80.0
2016-01-20,66.0,80.0
2016-01-21,71.0,80.0
2016-01-22,72.0,80.0
2016-01-23,55.0,80.0
2016-01-24,70.0,77.0
2016-01-25,72.0,77.0
2016-01-26,63.0,77.0
2016-01-27,74.0,77.0
2016-01-28,59.0,77.0
2016-01-29,57.0,77.0
2016-01-30,53.0,77.0
2016-01-31,87.0,91.0
2016-02-01,90.0,91.0
2016-02-02,75.0,91.0
2016-02-03,60.0,91.0
2016-02-04,65.0,91.0
2016-02-05,69.0,91.0
2016-02-06,83.0,91.0
2016-02-07,61.0,82.0
2016-02-08,74.0,82.0
2016-02-09,68.0,82.0
2016-02-10,64.0,82.0
2016-02-11,86.0,82.0
2016-02-12,61.0,82.0
2016-02-13,70.0,82.0
2016-02-14,88.0,82.0
2016-02-15,65.0,82.0
2016-02-16,57.0,82.0
2016-02-17,73.0,82.0
2016-02-18,66.0,82.0
2016-02-19,63.0,82.0
2016-02-20,68.0,82.0
2016-02-21,88.0,85.0
2016-02-22,65.0,85.0
2016-02-23,75.0,85.0
2016-02-24,85.0,85.0
2016-02-25,68.0,85.0
2016-02-26,56.0,85.0
2016-02-27,63.0,85.0
2016-02-28,74.0,87.0
2016-02-29,86.0,87.0
2016-03-01,65.0,87.0
2016-03-02,67.0,87.0
2016-03-03,78.0,87.0
2016-03-04,69.0,87.0
2016-03-05,67.0,87.0
2016-03-06,78.0,80.0
2016-03-07,65.0,80.0
2016-03-08,73.0,80.0
2016-03-09,67.0,80.0
2016-03-10,70.0,80.0
2016-03-11,49.0,80.0
2016-03-12,69.0,80.0
2016-03-13,71.0,82.0
2016-03-14,70.0,82.0
2016-03-15,73.0,82.0
2016-03-16,63.0,82.0
2016-03-17,65.0,82.0
2016-03-18,73.0,82.0
2016-03-19,70.0,82.0
2016-03-20,85.0,86.0
