date,raw_daily,raw_weekly,depression1_harmonized_daily
2015.12.27,51,64,43.225945
2015.12.28,55,64,46.616211
2015.12.29,54,64,45.768646
2015.12.30,54,64,45.768646
2015.12.31,46,64,38.988106
2016.01.01,40,64,33.902699
2016.01.02,70,64,59.329723
2016.01.03,75,93,63.409084
2016.01.04,88,93,74.399994
2016.01.05,85,93,71.863632
2016.01.06,74,93,62.563629
2016.01.07,82,93,69.327271
2016.01.08,60,93,50.727268
2016.01.09,75,93,63.409084
2016.01.10,67,87,56.224606
2016.01.11,82,87,68.812202
2016.01.12,78,87,65.455513
2016.01.13,69,87,57.902954
2016.01.14,71,87,59.581299
2016.01.15,57,87,47.832874
2016.01.16,84,87,70.490555
2016.01.17,70,80,58.758026
2016.01.18,65,80,54.561024
2016.01.19,68,80,57.079224
2016.01.20,66,80,55.400421
2016.01.21,71,80,59.597427
2016.01.22,72,80,60.436825
2016.01.23,55,80,46.167019
2016.01.24,70,77,58.953125
2016.01.25,72,77,60.637497
2016.01.26,63,77,53.057812
2016.01.27,74,77,62.321873
2016.01.28,59,77,49.68906
2016.01.29,57,77,48.004684
2016.01.30,53,77,44.635937
2016.01.31,87,91,73.333267
2016.02.01,90,91,75.862
2016.02.02,75,91,63.21833
2016.02.03,60,91,50.574669
2016.02.04,65,91,54.789227
2016.02.05,69,91,58.16087
2016.02.06,83,91,69.961624
2016.02.07,61,82,50.640079
2016.02.08,74,82,61.432228
2016.02.09,68,82,56.451241
2016.02.10,64,82,53.130577
2016.02.11,86,82,71.394211
2016.02.12,61,82,50.640079
2016.02.13,70,82,58.111565
2016.02.14,88,82,73.66333
2016.02.15,65,82,54.410412
2016.02.16,57,82,47.713749
2016.02.17,73,82,61.107079
2016.02.18,66,82,55.247501
2016.02.19,63,82,52.736248
2016.02.20,68,82,56.921665
2016.02.21,88,85,73.303993
2016.02.22,65,85,54.144997
2016.02.23,75,85,62.474995
2016.02.24,85,85,70.804993
2016.02.25,68,85,56.643997
2016.02.26,56,85,46.647999
2016.02.27,63,85,52.478992
2016.02.28,74,87,62.344273
2016.02.29,86,87,72.454155
2016.03.01,65,87,54.76186
2016.03.02,67,87,56.446838
2016.03.03,78,87,65.714226
2016.03.04,69,87,58.131817
2016.03.05,67,87,56.446838
2016.03.06,78,80,64.917198
2016.03.07,65,80,54.097664
2016.03.08,73,80,60.75584
2016.03.09,67,80,55.762211
2016.03.10,70,80,58.259026
2016.03.11,49,80,40.781315
2016.03.12,69,80,57.426754
2016.03.13,71,82,58.820206
2016.03.14,70,82,57.991749
2016.03.15,73,82,60.477116
2016.03.16,63,82,52.192577
2016.03.17,65,82,53.849483
2016.03.18,73,82,60.477116
2016.03.19,70,82,57.991749
2016.03.20,85,86,70.233337
2016.03.21,75,86,61.970592
2016.03.22,68,86,56.186672
2016.03.23,70,86,57.839218
2016.03.24,82,86,67.754517
2016.03.25,68,86,56.186672
2016.03.26,62,86,51.229023
2016.03.27,74,80,60.30769
2016.03.28,65,80,52.972969
2016.03.29,63,80,51.343037
2016.03.30,77,80,62.752594
2016.03.31,65,80,52.972969
2016.04.01,72,80,58.677753
2016.04.02,65,80,52.972969
2016.04.03,95,89,78.763298
2016.04.04,91,89,75.446953
2016.04.05,82,89,67.985161
2016.04.06,69,89,57.207027
2016.04.07,67,89,55.548855
2016.04.08,73,89,60.52338
2016.04.09,49,89,40.625282
2016.04.10,74,86,60.905468
2016.04.11,61,86,50.205856
2016.04.12,89,86,73.251167
2016.04.13,92,86,75.720306
2016.04.14,62,86,51.028904
2016.04.15,66,86,54.321091
2016.04.16,68,86,55.967186
2016.04.17,64,83,53.447231
2016.04.18,70,83,58.457909
2016.04.19,88,83,73.489944
2016.04.20,70,83,58.457909
2016.04.21,62,83,51.777
2016.04.22,57,83,47.60144
2016.04.23,76,83,63.468586
2016.04.24,77,85,63.505936
2016.04.25,86,85,70.928711
2016.04.26,78,85,64.330688
2016.04.27,76,85,62.681183
2016.04.28,66,85,54.433662
2016.04.29,58,85,47.83564
2016.04.30,64,85,52.784153
2016.05.01,57,78,48.197792
2016.05.02,76,78,64.263718
2016.05.03,57,78,48.197792
2016.05.04,61,78,51.58009
2016.05.05,63,78,53.27124
2016.05.06,69,78,58.344692
2016.05.07,69,78,58.344692
2016.05.08,75,93,63.291664
2016.05.09,91,93,76.793892
2016.05.10,79,93,66.667221
2016.05.11,69,93,58.228333
2016.05.12,69,93,58.228333
2016.05.13,78,93,65.823334
2016.05.14,79,93,66.667221
2016.05.15,81,86,66.536842
2016.05.16,74,86,60.786747
2016.05.17,72,86,59.143864
2016.05.18,68,86,55.858089
2016.05.19,72,86,59.143864
2016.05.20,67,86,55.036648
2016.05.21,79,86,64.893959
2016.05.22,69,92,58.249439
2016.05.23,95,92,80.198509
2016.05.24,77,92,65.002998
2016.05.25,83,92,70.068169
2016.05.26,78,92,65.847191
2016.05.27,62,92,52.340076
2016.05.28,70,92,59.093636
2016.05.29,82,84,68.739708
2016.05.30,68,84,57.003658
2016.05.31,78,84,65.386551
2016.06.01,65,84,54.488792
2016.06.02,71,84,59.518524
2016.06.03,71,84,59.518524
2016.06.04,56,84,46.944191
2016.06.05,100,94,81.811714
2016.06.06,78,94,63.813137
2016.06.07,93,94,76.084892
2016.06.08,78,94,63.813137
2016.06.09,74,94,60.540668
2016.06.10,66,94,53.995735
2016.06.11,74,94,60.540668
2016.06.12,78,91,64.647217
2016.06.13,72,91,59.674351
2016.06.14,71,91,58.845539
2016.06.15,91,91,75.421745
2016.06.16,94,91,77.90818
2016.06.17,65,91,53.872677
2016.06.18,67,91,55.5303
2016.06.19,70,93,59.513062
2016.06.20,98,93,83.318283
2016.06.21,80,93,68.014931
2016.06.22,83,93,70.565483
2016.06.23,73,93,62.063618
2016.06.24,53,93,45.059887
2016.06.25,79,93,67.164742
2016.06.26,80,80,67.152031
2016.06.27,80,80,67.152031
2016.06.28,75,80,62.955025
2016.06.29,52,80,43.648819
2016.06.30,58,80,48.685219
2016.07.01,59,80,49.52462
2016.07.02,63,80,52.882225
2016.07.03,71,83,73.288574
2016.07.04,56,83,57.805077
2016.07.05,62,83,63.99847
2016.07.06,48,83,49.547203
2016.07.07,66,83,68.127411
2016.07.08,41,83,42.321571
2016.07.09,50,83,51.611675
2016.07.10,56,87,58.226341
2016.07.11,60,87,62.385361
2016.07.12,75,87,77.981705
2016.07.13,48,87,49.908291
2016.07.14,51,87,53.027561
2016.07.15,59,87,61.345612
2016.07.16,61,87,63.425117
2016.07.17,40,78,40.55172
2016.07.18,63,78,63.868961
2016.07.19,56,78,56.772411
2016.07.20,60,78,60.827579
2016.07.21,65,78,65.896545
2016.07.22,47,78,47.648273
2016.07.23,46,78,46.63448
2016.07.24,52,79,50.959999
2016.07.25,59,79,57.820004
2016.07.26,59,79,57.820004
2016.07.27,58,79,56.84
2016.07.28,52,79,50.959999
2016.07.29,65,79,63.700005
2016.07.30,50,79,49.000004
2016.07.31,59,75,58.130024
2016.08.01,42,75,41.380695
2016.08.02,59,75,58.130024
2016.08.03,49,75,48.277477
2016.08.04,63,75,62.071041
2016.08.05,49,75,48.277477
2016.08.06,52,75,51.233242
2016.08.07,60,69,59.664703
2016.08.08,42,69,41.765289
2016.08.09,59,69,58.670288
2016.08.10,35,69,34.804409
2016.08.11,46,69,45.742935
2016.08.12,53,69,52.703815
2016.08.13,45,69,44.748528
2016.08.14,47,78,46.658176
2016.08.15,61,78,60.556358
2016.08.16,66,78,65.519997
2016.08.17,67,78,66.512726
2016.08.18,45,78,44.672726
2016.08.19,53,78,52.614544
2016.08.20,46,78,45.665451
2016.08.21,42,86,42.443161
2016.08.22,59,86,59.62254
2016.08.23,57,86,57.601433
2016.08.24,64,86,64.675293
2016.08.25,71,86,71.749153
2016.08.26,57,86,57.601433
2016.08.27,67,86,67.706947
2016.08.28,54,79,54.013954
2016.08.29,76,79,76.019638
2016.08.30,49,79,49.012661
2016.08.31,59,79,59.015244
2016.09.01,54,79,54.013954
2016.09.02,51,79,51.013184
2016.09.03,44,79,44.011372
2016.09.04,69,93,69.719063
2016.09.05,86,93,86.896225
2016.09.06,52,93,52.541901
2016.09.07,61,93,61.635696
2016.09.08,66,93,66.687798
2016.09.09,69,93,69.719063
2016.09.10,48,93,48.500217
2016.09.11,77,100,77
2016.09.12,100,100,100
2016.09.13,66,100,66
2016.09.14,59,100,58.999996
2016.09.15,66,100,66
2016.09.16,57,100,57
2016.09.17,65,100,65
2016.09.18,55,84,56.173691
2016.09.19,70,84,71.49379
2016.09.20,60,84,61.280392
2016.09.21,48,84,49.024315
2016.09.22,58,84,59.237713
2016.09.23,59,84,60.259048
2016.09.24,53,84,54.131012
2016.09.25,68,87,68.368866
2016.09.26,79,87,79.428528
2016.09.27,60,87,60.325466
2016.09.28,56,87,56.303772
2016.09.29,70,87,70.379715
2016.09.30,50,87,50.271221
2016.10.01,41,87,41.222404
2016.10.02,70,92,69.506615
2016.10.03,74,92,73.478416
2016.10.04,69,92,68.513664
2016.10.05,68,92,67.520714
2016.10.06,70,92,69.506615
2016.10.07,47,92,46.668724
2016.10.08,56,92,55.605286
2016.10.09,55,90,54.140625
2016.10.10,74,90,72.84375
2016.10.11,82,90,80.71875
2016.10.12,64,90,62.999996
2016.10.13,61,90,60.046875
2016.10.14,58,90,57.09375
2016.10.15,54,90,53.15625
2016.10.16,72,88,70.400002
2016.10.17,70,88,68.444443
2016.10.18,64,88,62.577778
2016.10.19,73,88,71.377777
2016.10.20,53,88,51.82222
2016.10.21,48,88,46.933334
2016.10.22,61,88,59.644444
2016.10.23,63,82,61.291523
2016.10.24,69,82,67.128807
2016.10.25,52,82,50.589828
