date,raw_daily,raw_weekly
2015-12-27,56.0,43.0
2015-12-28,50.0,43.0
2015-12-29,48.0,43.0
2015-12-30,49.0,43.0
2015-12-31,36.0,43.0
2016-01-01,42.0,43.0
2016-01-02,47.0,43.0
2016-01-03,43.0,51.0
2016-01-04,60.0,51.0
2016-01-05,56.0,51.0
2016-01-06,59.0,51.0
2016-01-07,58.0,51.0
2016-01-08,57.0,51.0
2016-01-09,50.0,51.0
2016-01-10,55.0,54.0
2016-01-11,54.0,54.0
2016-01-12,61.0,54.0
2016-01-13,68.0,54.0
2016-01-14,62.0,54.0
2016-01-15,55.0,54.0
2016-01-16,59.0,54.0
2016-01-17,52.0,55.0
2016-01-18,60.0,55.0
2016-01-19,64.0,55.0
2016-01-20,62.0,55.0
2016-01-21,58.0,55.0
2016-01-22,61.0,55.0
2016-01-23,58.0,55.0
2016-01-24,66.0,60.0
2016-01-25,69.0,60.0
2016-01-26,71.0,60.0
2016-01-27,69.0,60.0
2016-01-28,64.0,60.0
2016-01-29,59.0,60.0
2016-01-30,61.0,60.0
2016-01-31,63.0,65.0
2016-02-01,72.0,65.0
2016-02-02,66.0,65.0
2016-02-03,66.0,65.0
2016-02-04,71.0,65.0
2016-02-05,71.0,65.0
2016-02-06,71.0,65.0
2016-02-07,77.0,61.0
2016-02-08,67.0,61.0
2016-02-09,71.0,61.0
2016-02-10,71.0,61.0
2016-02-11,68.0,61.0
2016-02-12,64.0,61.0
2016-02-13,60.0,61.0
2016-02-14,69.0,63.0
2016-02-15,72.0,63.0
2016-02-16,75.0,63.0
2016-02-17,76.0,63.0
2016-02-18,75.0,63.0
2016-02-19,69.0,63.0
2016-02-20,69.0,63.0
2016-02-21,64.0,62.0
2016-02-22,72.0,62.0
2016-02-23,79.0,62.0
2016-02-24,68.0,62.0
2016-02-25,80.0,62.0
2016-02-26,65.0,62.0
2016-02-27,57.0,62.0
2016-02-28,66.0,63.0
2016-02-29,63.0,63.0
2016-03-01,70.0,63.0
2016-03-02,67.0,63.0
2016-03-03,72.0,63.0
2016-03-04,72.0,63.0
2016-03-05,64.0,63.0
2016-03-06,74.0,62.0
2016-03-07,77.0,62.0
2016-03-08,70.0,62.0
2016-03-09,67.0,62.0
2016-03-10,71.0,62.0
2016-03-11,60.0,62.0
2016-03-12,63.0,62.0
2016-03-13,65.0,58.0
2016-03-14,68.0,58.0
2016-03-15,66.0,58.0
2016-03-16,74.0,58.0
2016-03-17,66.0,58.0
2016-03-18,61.0,58.0
2016-03-19,53.0,58.0
2016-03-20,54.0,52.0
2016-03-21,60.0,52.0
2016-03-22,64.0,52.0
2016-03-23,54.0,52.0
2016-03-24,58.0,52.0
2016-03-25,59.0,52.0
2016-03-26,53.0,52.0
2016-03-27,56.0,47.0
2016-03-28,55.0,47.0
2016-03-29,53.0,47.0
2016-03-30,56.0,47.0
2016-03-31,44.0,47.0
2016-04-01,45.0,47.0
2016-04-02,45.0,47.0
2016-04-03,51.0,47.0
2016-04-04,48.0,47.0
2016-04-05,55.0,47.0
2016-04-06,51.0,47.0
2016-04-07,54.0,47.0
2016-04-08,50.0,47.0
2016-04-09,50.0,47.0
2016-04-10,56.0,47.0
2016-04-11,54.0,47.0
2016-04-12,55.0,47.0
2016-04-13,61.0,47.0
2016-04-14,45.0,47.0
2016-04-15,45.0,47.0
2016-04-16,46.0,47.0
2016-04-17,52.0,44.0
