date,raw_daily,raw_weekly,mask_harmonized_daily
2015.12.27,56,43,46.765121
2015.12.28,50,43,41.754574
2015.12.29,48,43,40.084389
2015.12.30,49,43,40.919483
2015.12.31,36,43,30.063293
2016.01.01,42,43,35.073841
2016.01.02,47,43,39.249298
2016.01.03,43,51,36.473652
2016.01.04,60,51,50.893471
2016.01.05,56,51,47.500572
2016.01.06,59,51,50.045242
2016.01.07,58,51,49.197018
2016.01.08,57,51,48.348797
2016.01.09,50,51,42.411224
2016.01.10,55,54,45.697826
2016.01.11,54,54,44.866955
2016.01.12,61,54,50.683041
2016.01.13,68,54,56.49913
2016.01.14,62,54,51.513912
2016.01.15,55,54,45.697826
2016.01.16,59,54,49.021305
2016.01.17,52,55,43.899273
2016.01.18,60,55,50.653011
2016.01.19,64,55,54.029877
2016.01.20,62,55,52.341442
2016.01.21,58,55,48.964577
2016.01.22,61,55,51.497227
2016.01.23,58,55,48.964577
2016.01.24,66,60,54.956863
2016.01.25,69,60,57.454903
2016.01.26,71,60,59.120262
2016.01.27,69,60,57.454903
2016.01.28,64,60,53.2915
2016.01.29,59,60,49.128101
2016.01.30,61,60,50.793461
2016.01.31,63,65,54.344059
2016.02.01,72,65,62.107498
2016.02.02,66,65,56.931873
2016.02.03,66,65,56.931873
2016.02.04,71,65,61.244896
2016.02.05,71,65,61.244896
2016.02.06,71,65,61.244896
2016.02.07,77,61,62.593914
2016.02.08,67,61,54.464832
2016.02.09,71,61,57.716465
2016.02.10,71,61,57.716465
2016.02.11,68,61,55.27774
2016.02.12,64,61,52.026108
2016.02.13,60,61,48.774475
2016.02.14,69,63,54.832451
2016.02.15,72,63,57.216469
2016.02.16,75,63,59.600491
2016.02.17,76,63,60.395164
2016.02.18,75,63,59.600491
2016.02.19,69,63,54.832451
2016.02.20,69,63,54.832451
2016.02.21,64,62,52.115791
2016.02.22,72,62,58.630264
2016.02.23,79,62,64.330437
2016.02.24,68,62,55.373028
2016.02.25,80,62,65.144745
2016.02.26,65,62,52.930099
2016.02.27,57,62,46.41563
2016.02.28,66,63,55.878605
2016.02.29,63,63,53.338669
2016.03.01,70,63,59.265186
2016.03.02,67,63,56.72525
2016.03.03,72,63,60.958481
2016.03.04,72,63,60.958481
2016.03.05,64,63,54.185314
2016.03.06,74,62,60.633942
2016.03.07,77,62,63.092075
2016.03.08,70,62,57.356434
2016.03.09,67,62,54.8983
2016.03.10,71,62,58.175812
2016.03.11,60,62,49.162655
2016.03.12,63,62,51.620792
2016.03.13,65,58,53.01302
2016.03.14,68,58,55.459774
2016.03.15,66,58,53.828606
2016.03.16,74,58,60.353287
2016.03.17,66,58,53.828606
2016.03.18,61,58,49.750683
2016.03.19,53,58,43.226002
2016.03.20,54,52,44.494923
2016.03.21,60,52,49.438805
2016.03.22,64,52,52.734726
2016.03.23,54,52,44.494923
2016.03.24,58,52,47.790844
2016.03.25,59,52,48.614826
2016.03.26,53,52,43.670944
2016.03.27,56,47,47.361126
2016.03.28,55,47,46.515392
2016.03.29,53,47,44.823925
2016.03.30,56,47,47.361126
2016.03.31,44,47,37.212315
2016.04.01,45,47,38.058048
2016.04.02,45,47,38.058048
2016.04.03,51,47,42.531727
2016.04.04,48,47,40.029861
2016.04.05,55,47,45.86755
2016.04.06,51,47,42.531727
2016.04.07,54,47,45.033596
2016.04.08,50,47,41.697769
2016.04.09,50,47,41.697769
2016.04.10,56,47,46.314472
2016.04.11,54,47,44.660385
2016.04.12,55,47,45.487427
2016.04.13,61,47,50.449692
2016.04.14,45,47,37.216988
2016.04.15,45,47,37.216988
2016.04.16,46,47,38.044033
2016.04.17,52,44,42.00161
2016.04.18,55,44,44.424782
2016.04.19,50,44,40.386166
2016.04.20,51,44,41.193886
2016.04.21,44,44,35.539825
2016.04.22,46,44,37.155273
2016.04.23,49,44,39.578442
2016.04.24,54,46,45.079998
2016.04.25,55,46,45.914814
2016.04.26,52,46,43.41037
2016.04.27,50,46,41.740738
