date,raw_daily,raw_weekly,medication_harmonized_daily
2017.12.31,8,6,4.6399999
2018.01.01,3,6,1.74
2018.01.02,8,6,4.6399999
2018.01.03,6,6,3.48
2018.01.04,7,6,4.0599999
2018.01.05,8,6,4.6399999
2018.01.06,5,6,2.8999999
2018.01.07,8,7,4.5962262
2018.01.08,6,7,3.4471698
2018.01.09,10,7,5.7452831
2018.01.10,10,7,5.7452831
2018.01.11,8,7,4.5962262
2018.01.12,4,7,2.2981131
2018.01.13,7,7,4.021698
2018.01.14,8,8,4.4903226
2018.01.15,8,8,4.4903226
2018.01.16,11,8,6.1741934
2018.01.17,7,8,3.9290323
2018.01.18,11,8,6.1741934
2018.01.19,9,8,5.0516129
2018.01.20,8,8,4.4903226
2018.01.21,10,9,5.673913
2018.01.22,5,9,2.8369565
2018.01.23,7,9,3.9717393
2018.01.24,11,9,6.2413044
2018.01.25,10,9,5.673913
2018.01.26,11,9,6.2413044
2018.01.27,15,9,8.510869
2018.01.28,22,13,13.09579
2018.01.29,13,13,7.7384214
2018.01.30,10,13,5.9526315
2018.01.31,13,13,7.7384214
2018.02.01,13,13,7.7384214
2018.02.02,11,13,6.547895
2018.02.03,13,13,7.7384214
2018.02.04,14,15,8.15625
2018.02.05,17,15,9.9040174
2018.02.06,14,15,8.15625
2018.02.07,19,15,11.069197
2018.02.08,13,15,7.5736609
2018.02.09,16,15,9.3214283
2018.02.10,19,15,11.069197
2018.02.11,14,23,7.9585228
2018.02.12,29,23,16.485512
2018.02.13,31,23,17.622444
2018.02.14,27,23,15.348579
2018.02.15,24,23,13.643182
2018.02.16,25,23,14.211648
2018.02.17,26,23,14.780114
2018.02.18,31,25,17.112946
2018.02.19,28,25,15.456854
2018.02.20,29,25,16.008884
2018.02.21,30,25,16.560915
2018.02.22,30,25,16.560915
2018.02.23,24,25,13.248732
2018.02.24,25,25,13.800761
2018.02.25,38,57,21.462643
2018.02.26,53,57,29.934736
2018.02.27,51,57,28.805124
2018.02.28,59,57,33.323578
2018.03.01,77,57,43.490089
2018.03.02,87,57,49.138153
2018.03.03,74,57,41.79567
2018.03.04,81,60,43.861
2018.03.05,73,60,39.529049
2018.03.06,80,60,43.319504
2018.03.07,87,60,47.109962
2018.03.08,55,60,29.78216
2018.03.09,47,60,25.450211
2018.03.10,59,60,31.948135
2018.03.11,75,76,42.457191
2018.03.12,94,76,53.213013
2018.03.13,95,76,53.779106
2018.03.14,93,76,52.646915
2018.03.15,100,76,56.609585
2018.03.16,64,76,36.230137
