date,raw_daily,raw_weekly,medication_harmonized_daily
2015.12.27,9,10,4.5684781
2015.12.28,14,10,7.1065221
2015.12.29,19,10,9.6445656
2015.12.30,13,10,6.5989132
2015.12.31,17,10,8.6293488
2016.01.01,7,10,3.553261
2016.01.02,13,10,6.5989132
2016.01.03,9,9,5.0436001
2016.01.04,7,9,3.9227998
2016.01.05,10,9,5.6040001
2016.01.06,12,9,6.7248001
2016.01.07,14,9,7.8455997
2016.01.08,12,9,6.7248001
2016.01.09,11,9,6.1644001
2016.01.10,8,9,4.1004877
2016.01.11,12,9,6.1507316
2016.01.12,15,9,7.6884151
2016.01.13,12,9,6.1507316
2016.01.14,14,9,7.1758542
2016.01.15,10,9,5.1256099
2016.01.16,11,9,5.6381707
2016.01.17,8,9,4.1511111
2016.01.18,15,9,7.7833338
2016.01.19,15,9,7.7833338
2016.01.20,15,9,7.7833338
2016.01.21,11,9,5.707778
2016.01.22,8,9,4.1511111
2016.01.23,9,9,4.6700001
2016.01.24,13,12,6.8728304
2016.01.25,18,12,9.5162268
2016.01.26,12,12,6.344151
2016.01.27,14,12,7.4015093
2016.01.28,21,12,11.102264
2016.01.29,12,12,6.344151
2016.01.30,16,12,8.458868
2016.01.31,12,14,6.3270974
2016.02.01,16,14,8.4361296
2016.02.02,19,14,10.017904
2016.02.03,16,14,8.4361296
2016.02.04,20,14,10.545162
2016.02.05,16,14,8.4361296
2016.02.06,25,14,13.181452
2016.02.07,16,18,8.6771612
2016.02.08,26,18,14.100389
2016.02.09,29,18,15.727356
2016.02.10,29,18,15.727356
2016.02.11,20,18,10.846452
2016.02.12,18,18,9.7618074
2016.02.13,17,18,9.2194843
2016.02.14,21,29,11.285834
2016.02.15,32,29,17.197462
2016.02.16,37,29,19.884565
2016.02.17,48,29,25.796192
2016.02.18,38,29,20.421986
2016.02.19,41,29,22.034246
2016.02.20,35,29,18.809723
2016.02.21,45,43,23.4713
2016.02.22,51,43,26.600807
2016.02.23,61,43,31.81665
2016.02.24,61,43,31.81665
2016.02.25,59,43,30.773481
2016.02.26,47,43,24.514469
2016.02.27,61,43,31.81665
2016.02.28,85,63,43.116985
2016.02.29,80,63,40.580692
2016.03.01,88,63,44.63876
2016.03.02,69,63,35.000847
2016.03.03,73,63,37.029884
2016.03.04,92,63,46.667797
2016.03.05,93,63,47.175056
2016.03.06,100,69,53.526581
2016.03.07,92,69,49.244457
2016.03.08,86,69,46.03286
2016.03.09,96,69,51.385517
2016.03.10,89,69,47.63866
2016.03.11,66,69,35.327545
2016.03.12,73,69,39.074406
2016.03.13,55,54,28.538887
2016.03.14,47,54,24.387777
2016.03.15,70,54,36.322224
2016.03.16,86,54,44.624443
2016.03.17,80,54,41.511108
2016.03.18,81,54,42.029999
2016.03.19,67,54,34.765553
2016.03.20,62,47,31.944555
2016.03.21,65,47,33.490261
2016.03.22,78,47,40.188313
2016.03.23,68,47,35.035965
2016.03.24,58,47,29.883615
2016.03.25,41,47,21.124626
2016.03.26,54,47,27.822678
2016.03.27,40,31,20.462193
2016.03.28,37,31,18.927528
2016.03.29,35,31,17.904419
2016.03.30,42,31,21.485302
2016.03.31,46,31,23.531521
2016.04.01,38,31,19.439083
2016.04.02,45,31,23.019966
2016.04.03,29,23,15.120826
2016.04.04,30,23,15.642234
2016.04.05,31,23,16.163641
2016.04.06,31,23,16.163641
2016.04.07,28,23,14.599418
2016.04.08,30,23,15.642234
2016.04.09,27,23,14.078011
2016.04.10,24,19,12.309364
2016.04.11,26,19,13.335145
2016.04.12,28,19,14.360926
2016.04.13,26,19,13.335145
2016.04.14,23,19,11.796474
2016.04.15,18,19,9.2320232
2016.04.16,28,19,14.360926
2016.04.17,20,16,10.988235
2016.04.18,23,16,12.636472
2016.04.19,19,16,10.438825
2016.04.20,22,16,12.087059
2016.04.21,16,16,8.7905884
2016.04.22,18,16,9.8894119
2016.04.23,18,16,9.8894119
2016.04.24,15,15,8.0826931
2016.04.25,21,15,11.315771
2016.04.26,21,15,11.315771
2016.04.27,22,15,11.854616
2016.04.28,17,15,9.1603851
2016.04.29,18,15,9.6992321
2016.04.30,16,15,8.6215391
2016.05.01,14,13,7.8698149
2016.05.02,16,13,8.9940748
2016.05.03,15,13,8.4319448
2016.05.04,15,13,8.4319448
2016.05.05,18,13,10.118334
2016.05.06,16,13,8.9940748
2016.05.07,14,13,7.8698149
2016.05.08,15,11,7.8627553
2016.05.09,12,11,6.2902045
2016.05.10,11,11,5.7660203
2016.05.11,14,11,7.3385715
2016.05.12,14,11,7.3385715
2016.05.13,15,11,7.8627553
2016.05.14,17,11,8.9111223
2016.05.15,16,14,8.7173338
2016.05.16,17,14,9.2621679
2016.05.17,15,14,8.1725006
2016.05.18,15,14,8.1725006
2016.05.19,18,14,9.8070011
2016.05.20,18,14,9.8070011
2016.05.21,21,14,11.441502
2016.05.22,18,13,9.7569647
2016.05.23,21,13,11.383125
2016.05.24,23,13,12.467233
2016.05.25,18,13,9.7569647
2016.05.26,9,13,4.8784823
2016.05.27,12,13,6.504643
2016.05.28,11,13,5.9625893
2016.05.29,14,9,7.0893984
2016.05.30,8,9,4.0510845
2016.05.31,13,9,6.5830131
2016.06.01,10,9,5.0638556
2016.06.02,13,9,6.5830131
2016.06.03,13,9,6.5830131
2016.06.04,12,9,6.0766273
2016.06.05,7,8,3.6833801
2016.06.06,13,8,6.8405633
2016.06.07,8,8,4.2095776
2016.06.08,13,8,6.8405633
2016.06.09,10,8,5.2619715
2016.06.10,10,8,5.2619715
2016.06.11,10,8,5.2619715
2016.06.12,7,8,3.7360001
2016.06.13,8,8,4.2697144
2016.06.14,14,8,7.4720001
2016.06.15,10,8,5.3371429
2016.06.16,9,8,4.8034291
2016.06.17,12,8,6.404572
2016.06.18,10,8,5.3371429
2016.06.19,10,7,5.188889
