date,raw_daily,raw_weekly
2015-12-27,0.0,0.0
2015-12-28,3.0,0.0
2015-12-29,0.0,0.0
2015-12-30,1.0,0.0
2015-12-31,1.0,0.0
2016-01-01,1.0,0.0
2016-01-02,1.0,0.0
2016-01-03,2.0,2.0
2016-01-04,3.0,2.0
2016-01-05,2.0,2.0
2016-01-06,3.0,2.0
2016-01-07,2.0,2.0
2016-01-08,1.0,2.0
2016-01-09,3.0,2.0
2016-01-10,1.0,2.0
2016-01-11,2.0,2.0
2016-01-12,2.0,2.0
2016-01-13,4.0,2.0
2016-01-14,2.0,2.0
2016-01-15,2.0,2.0
2016-01-16,4.0,2.0
2016-01-17,0.0,2.0
2016-01-18,2.0,2.0
2016-01-19,2.0,2.0
2016-01-20,2.0,2.0
2016-01-21,3.0,2.0
2016-01-22,3.0,2.0
2016-01-23,4.0,2.0
2016-01-24,3.0,4.0
2016-01-25,4.0,4.0
2016-01-26,3.0,4.0
2016-01-27,9.0,4.0
2016-01-28,3.0,4.0
2016-01-29,5.0,4.0
2016-01-30,5.0,4.0
2016-01-31,5.0,6.0
2016-02-01,4.0,6.0
2016-02-02,4.0,6.0
2016-02-03,7.0,6.0
2016-02-04,6.0,6.0
2016-02-05,13.0,6.0
2016-02-06,11.0,6.0
2016-02-07,10.0,11.0
2016-02-08,19.0,11.0
2016-02-09,13.0,11.0
2016-02-10,15.0,11.0
2016-02-11,16.0,11.0
2016-02-12,14.0,11.0
2016-02-13,11.0,11.0
2016-02-14,10.0,15.0
2016-02-15,12.0,15.0
2016-02-16,18.0,15.0
2016-02-17,26.0,15.0
2016-02-18,24.0,15.0
2016-02-19,22.0,15.0
2016-02-20,23.0,15.0
2016-02-21,25.0,24.0
2016-02-22,32.0,24.0
2016-02-23,29.0,24.0
2016-02-24,40.0,24.0
2016-02-25,31.0,24.0
2016-02-26,26.0,24.0
2016-02-27,33.0,24.0
2016-02-28,54.0,47.0
2016-02-29,57.0,47.0
2016-03-01,57.0,47.0
2016-03-02,56.0,47.0
2016-03-03,60.0,47.0
2016-03-04,56.0,47.0
2016-03-05,83.0,47.0
2016-03-06,100.0,49.0
2016-03-07,59.0,49.0
2016-03-08,65.0,49.0
2016-03-09,61.0,49.0
2016-03-10,62.0,49.0
2016-03-11,42.0,49.0
2016-03-12,40.0,49.0
2016-03-13,39.0,39.0
2016-03-14,40.0,39.0
2016-03-15,54.0,39.0
2016-03-16,61.0,39.0
2016-03-17,56.0,39.0
2016-03-18,50.0,39.0
2016-03-19,50.0,39.0
2016-03-20,45.0,28.0
2016-03-21,49.0,28.0
2016-03-22,56.0,28.0
2016-03-23,35.0,28.0
2016-03-24,29.0,28.0
2016-03-25,30.0,28.0
2016-03-26,20.0,28.0
2016-03-27,19.0,15.0
2016-03-28,20.0,15.0
2016-03-29,20.0,15.0
2016-03-30,20.0,15.0
2016-03-31,19.0,15.0
2016-04-01,15.0,15.0
2016-04-02,15.0,15.0
2016-04-03,17.0,13.0
2016-04-04,17.0,13.0
2016-04-05,17.0,13.0
2016-04-06,17.0,13.0
2016-04-07,11.0,13.0
2016-04-08,13.0,13.0
2016-04-09,17.0,13.0
2016-04-10,15.0,10.0
2016-04-11,19.0,10.0
2016-04-12,14.0,10.0
2016-04-13,11.0,10.0
2016-04-14,9.0,10.0
2016-04-15,13.0,10.0
2016-04-16,10.0,10.0
2016-04-17,9.0,5.0
2016-04-18,7.0,5.0
2016-04-19,7.0,5.0
2016-04-20,5.0,5.0
2016-04-21,4.0,5.0
2016-04-22,9.0,5.0
2016-04-23,4.0,5.0
2016-04-24,4.0,4.0
2016-04-25,7.0,4.0
2016-04-26,4.0,4.0
2016-04-27,5.0,4.0
2016-04-28,3.0,4.0
2016-04-29,4.0,4.0
2016-04-30,3.0,4.0
2016-05-01,2.0,2.0
2016-05-02,4.0,2.0
2016-05-03,5.0,2.0
2016-05-04,4.0,2.0
2016-05-05,2.0,2.0
2016-05-06,3.0,2.0
2016-05-07,2.0,2.0
2016-05-08,3.0,2.0
2016-05-09,2.0,2.0
2016-05-10,4.0,2.0
2016-05-11,4.0,2.0
2016-05-12,2.0,2.0
2016-05-13,2.0,2.0
2016-05-14,4.0,2.0
2016-05-15,1.0,3.0
2016-05-16,2.0,3.0
2016-05-17,5.0,3.0
2016-05-18,6.0,3.0
2016-05-19,5.0,3.0
2016-05-20,4.0,3.0
2016-05-21,4.0,3.0
2016-05-22,5.0,3.0
2016-05-23,4.0,3.0
2016-05-24,6.0,3.0
2016-05-25,4.0,3.0
2016-05-26,1.0,3.0
2016-05-27,1.0,3.0
2016-05-28,2.0,3.0
2016-05-29,2.0,1.0
2016-05-30,2.0,1.0
2016-05-31,1.0,1.0
2016-06-01,1.0,1.0
2016-06-02,2.0,1.0
2016-06-03,2.0,1.0
2016-06-04,1.0,1.0
2016-06-05,1.0,1.0
2016-06-06,1.0,1.0
2016-06-07,1.0,1.0
2016-06-08,1.0,1.0
2016-06-09,3.0,1.0
2016-06-10,0.0,1.0
2016-06-11,0.0,1.0
2016-06-12,2.0,1.0
2016-06-13,0.0,1.0
2016-06-14,1.0,1.0
2016-06-15,1.0,1.0
2016-06-16,0.0,1.0
2016-06-17,0.0,1.0
2016-06-18,2.0,1.0
2016-06-19,0.0,1.0
2016-06-20,2.0,1.0
2016-06-21,1.0,1.0
2016-06-22,0.0,1.0
2016-06-23,1.0,1.0
2016-06-24,0.0,1.0
2016-06-25,1.0,1.0
2016-06-26,0.0,1.0
2016-06-27,2.0,1.0
2016-06-28,1.0,1.0
2016-06-29,1.0,1.0
2016-06-30,1.0,1.0
2016-07-01,0.0,1.0
2016-07-02,1.0,1.0
2016-07-03,8.0,0.0
2016-07-04,8.0,0.0
2016-07-05,8.0,0.0
2016-07-06,9.0,0.0
2016-07-07,17.0,0.0
2016-07-08,9.0,0.0
2016-07-09,17.0,0.0
