date,raw_daily,raw_weekly,medications1_harmonized_daily
2015.12.27,0,0,0
2015.12.28,3,0,0
2015.12.29,0,0,0
2015.12.30,1,0,0
2015.12.31,1,0,0
2016.01.01,1,0,0
2016.01.02,1,0,0
2016.01.03,2,2,1.3181818
2016.01.04,3,2,1.9772725
2016.01.05,2,2,1.3181818
2016.01.06,3,2,1.9772725
2016.01.07,2,2,1.3181818
2016.01.08,1,2,.65909088
2016.01.09,3,2,1.9772725
2016.01.10,1,2,.62032086
2016.01.11,2,2,1.2406417
2016.01.12,2,2,1.2406417
2016.01.13,4,2,2.4812834
2016.01.14,2,2,1.2406417
2016.01.15,2,2,1.2406417
2016.01.16,4,2,2.4812834
2016.01.17,0,2,0
2016.01.18,2,2,1.3181818
2016.01.19,2,2,1.3181818
2016.01.20,2,2,1.3181818
2016.01.21,3,2,1.9772725
2016.01.22,3,2,1.9772725
2016.01.23,4,2,2.6363635
2016.01.24,3,4,1.9772725
2016.01.25,4,4,2.6363635
2016.01.26,3,4,1.9772725
2016.01.27,9,4,5.931818
2016.01.28,3,4,1.9772725
2016.01.29,5,4,3.2954543
2016.01.30,5,4,3.2954543
2016.01.31,5,6,3.1636367
2016.02.01,4,6,2.5309093
2016.02.02,4,6,2.5309093
2016.02.03,7,6,4.429091
2016.02.04,6,6,3.7963636
2016.02.05,13,6,8.2254543
2016.02.06,11,6,6.9600005
2016.02.07,10,11,5.9183669
2016.02.08,19,11,11.244898
2016.02.09,13,11,7.6938777
2016.02.10,15,11,8.8775511
2016.02.11,16,11,9.4693871
2016.02.12,14,11,8.2857141
2016.02.13,11,11,6.5102038
2016.02.14,10,15,5.8585854
2016.02.15,12,15,7.030303
2016.02.16,18,15,10.545454
2016.02.17,26,15,15.232323
2016.02.18,24,15,14.060606
2016.02.19,22,15,12.888888
2016.02.20,23,15,13.474747
2016.02.21,25,24,14.646464
2016.02.22,32,24,18.747475
2016.02.23,29,24,16.989899
2016.02.24,40,24,23.434343
2016.02.25,31,24,18.161615
2016.02.26,26,24,15.232324
2016.02.27,33,24,19.333334
2016.02.28,54,47,31.636364
2016.02.29,57,47,33.39394
2016.03.01,57,47,33.39394
2016.03.02,56,47,32.808083
2016.03.03,60,47,35.151516
2016.03.04,56,47,32.808083
2016.03.05,83,47,48.626263
2016.03.06,100,49,60.224621
2016.03.07,59,49,35.532528
2016.03.08,65,49,39.146004
2016.03.09,61,49,36.737019
2016.03.10,62,49,37.339268
2016.03.11,42,49,25.29434
2016.03.12,40,49,24.089849
2016.03.13,39,39,22.913765
2016.03.14,40,39,23.501297
2016.03.15,54,39,31.726753
2016.03.16,61,39,35.839478
2016.03.17,56,39,32.901817
2016.03.18,50,39,29.376623
2016.03.19,50,39,29.376623
2016.03.20,45,28,25.165291
2016.03.21,49,28,27.402205
2016.03.22,56,28,31.316807
2016.03.23,35,28,19.573002
2016.03.24,29,28,16.217632
2016.03.25,30,28,16.776859
2016.03.26,20,28,11.184573
2016.03.27,19,15,11.740056
2016.03.28,20,15,12.357953
2016.03.29,20,15,12.357953
2016.03.30,20,15,12.357953
2016.03.31,19,15,11.740056
2016.04.01,15,15,9.268465
2016.04.02,15,15,9.268465
2016.04.03,17,13,10.690576
2016.04.04,17,13,10.690576
2016.04.05,17,13,10.690576
2016.04.06,17,13,10.690576
2016.04.07,11,13,6.9174318
2016.04.08,13,13,8.1751461
2016.04.09,17,13,10.690576
2016.04.10,15,10,8.691309
2016.04.11,19,10,11.008991
2016.04.12,14,10,8.1118879
2016.04.13,11,10,6.3736262
2016.04.14,9,10,5.2147851
2016.04.15,13,10,7.5324674
2016.04.16,10,10,5.7942061
2016.04.17,9,5,5.2727275
2016.04.18,7,5,4.1010103
2016.04.19,7,5,4.1010103
2016.04.20,5,5,2.9292929
2016.04.21,4,5,2.3434343
2016.04.22,9,5,5.2727275
2016.04.23,4,5,2.3434343
2016.04.24,4,4,2.8121212
2016.04.25,7,4,4.9212122
2016.04.26,4,4,2.8121212
2016.04.27,5,4,3.5151515
2016.04.28,3,4,2.1090908
2016.04.29,4,4,2.8121212
2016.04.30,3,4,2.1090908
2016.05.01,2,2,.95867765
2016.05.02,4,2,1.9173553
2016.05.03,5,2,2.3966942
2016.05.04,4,2,1.9173553
2016.05.05,2,2,.95867765
2016.05.06,3,2,1.4380165
2016.05.07,2,2,.95867765
2016.05.08,3,2,1.5064934
2016.05.09,2,2,1.0043291
2016.05.10,4,2,2.0086582
2016.05.11,4,2,2.0086582
2016.05.12,2,2,1.0043291
2016.05.13,2,2,1.0043291
2016.05.14,4,2,2.0086582
2016.05.15,1,3,.58585858
2016.05.16,2,3,1.1717172
2016.05.17,5,3,2.9292929
2016.05.18,6,3,3.5151517
2016.05.19,5,3,2.9292929
2016.05.20,4,3,2.3434343
2016.05.21,4,3,2.3434343
2016.05.22,5,3,3.4387348
2016.05.23,4,3,2.750988
2016.05.24,6,3,4.126482
2016.05.25,4,3,2.750988
2016.05.26,1,3,.687747
2016.05.27,1,3,.687747
2016.05.28,2,3,1.375494
2016.05.29,2,1,.95867765
2016.05.30,2,1,.95867765
2016.05.31,1,1,.47933882
2016.06.01,1,1,.47933882
2016.06.02,2,1,.95867765
2016.06.03,2,1,.95867765
2016.06.04,1,1,.47933882
2016.06.05,1,1,.75324672
2016.06.06,1,1,.75324672
2016.06.07,1,1,.75324672
2016.06.08,1,1,.75324672
2016.06.09,3,1,2.2597404
2016.06.10,0,1,0
2016.06.11,0,1,0
2016.06.12,2,1,1.7575758
2016.06.13,0,1,0
