date,raw_daily,raw_weekly
2017-12-31,1.0,2.0
2018-01-01,2.0,2.0
2018-01-02,2.0,2.0
2018-01-03,2.0,2.0
2018-01-04,3.0,2.0
2018-01-05,3.0,2.0
2018-01-06,3.0,2.0
2018-01-07,3.0,3.0
2018-01-08,3.0,3.0
2018-01-09,4.0,3.0
2018-01-10,4.0,3.0
2018-01-11,4.0,3.0
2018-01-12,4.0,3.0
2018-01-13,3.0,3.0
2018-01-14,3.0,5.0
2018-01-15,4.0,5.0
2018-01-16,6.0,5.0
2018-01-17,4.0,5.0
2018-01-18,7.0,5.0
2018-01-19,6.0,5.0
2018-01-20,5.0,5.0
2018-01-21,5.0,4.0
2018-01-22,3.0,4.0
2018-01-23,4.0,4.0
2018-01-24,5.0,4.0
2018-01-25,5.0,4.0
2018-01-26,5.0,4.0
2018-01-27,5.0,4.0
2018-01-28,5.0,6.0
2018-01-29,8.0,6.0
2018-01-30,7.0,6.0
2018-01-31,6.0,6.0
2018-02-01,6.0,6.0
2018-02-02,6.0,6.0
2018-02-03,6.0,6.0
2018-02-04,8.0,9.0
2018-02-05,9.0,9.0
2018-02-06,8.0,9.0
2018-02-07,11.0,9.0
2018-02-08,11.0,9.0
2018-02-09,10.0,9.0
2018-02-10,9.0,9.0
2018-02-11,10.0,14.0
2018-02-12,11.0,14.0
2018-02-13,15.0,14.0
2018-02-14,17.0,14.0
2018-02-15,17.0,14.0
2018-02-16,17.0,14.0
2018-02-17,14.0,14.0
2018-02-18,16.0,18.0
2018-02-19,21.0,18.0
2018-02-20,22.0,18.0
2018-02-21,21.0,18.0
2018-02-22,18.0,18.0
2018-02-23,19.0,18.0
2018-02-24,23.0,18.0
2018-02-25,26.0,60.0
2018-02-26,42.0,60.0
2018-02-27,48.0,60.0
2018-02-28,54.0,60.0
2018-03-01,73.0,60.0
2018-03-02,79.0,60.0
2018-03-03,64.0,60.0
2018-03-04,87.0,70.0
2018-03-05,60.0,70.0
2018-03-06,82.0,70.0
2018-03-07,76.0,70.0
2018-03-08,49.0,70.0
2018-03-09,40.0,70.0
2018-03-10,57.0,70.0
2018-03-11,71.0,95.0
2018-03-12,96.0,95.0
2018-03-13,93.0,95.0
2018-03-14,100.0,95.0
2018-03-15,95.0,95.0
2018-03-16,67.0,95.0
2018-03-17,63.0,95.0
2018-03-18,57.0,41.0
2018-03-19,46.0,41.0
2018-03-20,32.0,41.0
2018-03-21,25.0,41.0
2018-03-22,29.0,41.0
2018-03-23,35.0,41.0
2018-03-24,38.0,41.0
2018-03-25,51.0,70.0
2018-03-26,64.0,70.0
2018-03-27,63.0,70.0
2018-03-28,65.0,70.0
2018-03-29,66.0,70.0
2018-03-30,77.0,70.0
2018-03-31,64.0,70.0
2018-04-01,56.0,54.0
2018-04-02,53.0,54.0
2018-04-03,47.0,54.0
2018-04-04,56.0,54.0
2018-04-05,57.0,54.0
2018-04-06,40.0,54.0
2018-04-07,31.0,54.0
2018-04-08,34.0,30.0
2018-04-09,36.0,30.0
2018-04-10,31.0,30.0
2018-04-11,30.0,30.0
2018-04-12,26.0,30.0
2018-04-13,23.0,30.0
2018-04-14,19.0,30.0
2018-04-15,21.0,18.0
2018-04-16,22.0,18.0
2018-04-17,15.0,18.0
2018-04-18,19.0,18.0
2018-04-19,19.0,18.0
2018-04-20,18.0,18.0
2018-04-21,20.0,18.0
2018-04-22,19.0,13.0
2018-04-23,15.0,13.0
2018-04-24,14.0,13.0
2018-04-25,11.0,13.0
2018-04-26,12.0,13.0
2018-04-27,10.0,13.0
2018-04-28,11.0,13.0
2018-04-29,10.0,8.0
2018-04-30,12.0,8.0
2018-05-01,11.0,8.0
2018-05-02,7.0,8.0
2018-05-03,7.0,8.0
2018-05-04,7.0,8.0
2018-05-05,7.0,8.0
2018-05-06,8.0,7.0
2018-05-07,7.0,7.0
2018-05-08,6.0,7.0
2018-05-09,6.0,7.0
2018-05-10,6.0,7.0
2018-05-11,8.0,7.0
2018-05-12,8.0,7.0
2018-05-13,6.0,7.0
2018-05-14,8.0,7.0
2018-05-15,8.0,7.0
2018-05-16,10.0,7.0
2018-05-17,8.0,7.0
2018-05-18,7.0,7.0
2018-05-19,6.0,7.0
2018-05-20,8.0,8.0
2018-05-21,11.0,8.0
2018-05-22,14.0,8.0
2018-05-23,9.0,8.0
2018-05-24,7.0,8.0
2018-05-25,6.0,8.0
2018-05-26,5.0,8.0
2018-05-27,6.0,5.0
2018-05-28,5.0,5.0
2018-05-29,6.0,5.0
2018-05-30,5.0,5.0
2018-05-31,3.0,5.0
2018-06-01,4.0,5.0
2018-06-02,5.0,5.0
2018-06-03,4.0,4.0
2018-06-04,6.0,4.0
2018-06-05,5.0,4.0
2018-06-06,4.0,4.0
2018-06-07,3.0,4.0
2018-06-08,3.0,4.0
2018-06-09,2.0,4.0
2018-06-10,2.0,2.0
2018-06-11,2.0,2.0
2018-06-12,3.0,2.0
2018-06-13,3.0,2.0
2018-06-14,2.0,2.0
2018-06-15,3.0,2.0
2018-06-16,2.0,2.0
2018-06-17,2.0,2.0
2018-06-18,2.0,2.0
2018-06-19,2.0,2.0
2018-06-20,2.0,2.0
2018-06-21,2.0,2.0
2018-06-22,3.0,2.0
2018-06-23,2.0,2.0
2018-06-24,2.0,2.0
2018-06-25,3.0,2.0
2018-06-26,2.0,2.0
2018-06-27,2.0,2.0
2018-06-28,2.0,2.0
