date,raw_daily,raw_weekly
2015-12-27,2.0,2.0
2015-12-28,3.0,2.0
2015-12-29,3.0,2.0
2015-12-30,3.0,2.0
2015-12-31,2.0,2.0
2016-01-01,2.0,2.0
2016-01-02,4.0,2.0
2016-01-03,5.0,3.0
2016-01-04,5.0,3.0
2016-01-05,6.0,3.0
2016-01-06,7.0,3.0
2016-01-07,7.0,3.0
2016-01-08,6.0,3.0
2016-01-09,4.0,3.0
2016-01-10,5.0,4.0
2016-01-11,6.0,4.0
2016-01-12,6.0,4.0
2016-01-13,7.0,4.0
2016-01-14,8.0,4.0
2016-01-15,6.0,4.0
2016-01-16,5.0,4.0
2016-01-17,5.0,4.0
2016-01-18,4.0,4.0
2016-01-19,5.0,4.0
2016-01-20,6.0,4.0
2016-01-21,9.0,4.0
2016-01-22,8.0,4.0
2016-01-23,5.0,4.0
2016-01-24,8.0,6.0
2016-01-25,9.0,6.0
2016-01-26,13.0,6.0
2016-01-27,12.0,6.0
2016-01-28,11.0,6.0
2016-01-29,8.0,6.0
2016-01-30,7.0,6.0
2016-01-31,11.0,9.0
2016-02-01,13.0,9.0
2016-02-02,14.0,9.0
2016-02-03,16.0,9.0
2016-02-04,16.0,9.0
2016-02-05,17.0,9.0
2016-02-06,15.0,9.0
2016-02-07,15.0,13.0
2016-02-08,23.0,13.0
2016-02-09,21.0,13.0
2016-02-10,18.0,13.0
2016-02-11,20.0,13.0
2016-02-12,23.0,13.0
2016-02-13,20.0,13.0
2016-02-14,25.0,17.0
2016-02-15,23.0,17.0
2016-02-16,29.0,17.0
2016-02-17,34.0,17.0
2016-02-18,31.0,17.0
2016-02-19,32.0,17.0
2016-02-20,23.0,17.0
2016-02-21,37.0,27.0
2016-02-22,45.0,27.0
2016-02-23,38.0,27.0
2016-02-24,47.0,27.0
2016-02-25,36.0,27.0
2016-02-26,37.0,27.0
2016-02-27,49.0,27.0
2016-02-28,67.0,50.0
2016-02-29,65.0,50.0
2016-03-01,72.0,50.0
2016-03-02,68.0,50.0
2016-03-03,68.0,50.0
2016-03-04,76.0,50.0
2016-03-05,89.0,50.0
2016-03-06,100.0,56.0
2016-03-07,88.0,56.0
2016-03-08,90.0,56.0
2016-03-09,81.0,56.0
