date,raw_daily,raw_weekly,pollen_harmonized_daily
2015.12.27,2,2,1.1115792
2015.12.28,3,2,1.6673687
2015.12.29,3,2,1.6673687
2015.12.30,3,2,1.6673687
2015.12.31,2,2,1.1115792
2016.01.01,2,2,1.1115792
2016.01.02,4,2,2.2231584
2016.01.03,5,3,1.9800001
2016.01.04,5,3,1.9800001
2016.01.05,6,3,2.3760002
2016.01.06,7,3,2.7720001
2016.01.07,7,3,2.7720001
2016.01.08,6,3,2.3760002
2016.01.09,4,3,1.5840001
2016.01.10,5,4,2.4558144
2016.01.11,6,4,2.9469769
2016.01.12,6,4,2.9469769
2016.01.13,7,4,3.4381402
2016.01.14,8,4,3.9293027
2016.01.15,6,4,2.9469769
2016.01.16,5,4,2.4558144
2016.01.17,5,4,2.514286
2016.01.18,4,4,2.0114288
2016.01.19,5,4,2.514286
2016.01.20,6,4,3.0171432
2016.01.21,9,4,4.5257149
2016.01.22,8,4,4.0228577
2016.01.23,5,4,2.514286
2016.01.24,8,6,3.7270591
2016.01.25,9,6,4.1929417
2016.01.26,13,6,6.0564709
2016.01.27,12,6,5.5905886
2016.01.28,11,6,5.1247063
2016.01.29,8,6,3.7270591
2016.01.30,7,6,3.2611766
2016.01.31,11,9,5.1247063
2016.02.01,13,9,6.0564709
2016.02.02,14,9,6.5223532
2016.02.03,16,9,7.4541183
2016.02.04,16,9,7.4541183
2016.02.05,17,9,7.9200006
2016.02.06,15,9,6.988236
2016.02.07,15,13,7.3542867
2016.02.08,23,13,11.276572
2016.02.09,21,13,10.296
2016.02.10,18,13,8.8251438
2016.02.11,20,13,9.8057156
2016.02.12,23,13,11.276572
2016.02.13,20,13,9.8057156
2016.02.14,25,17,11.390864
2016.02.15,23,17,10.479596
2016.02.16,29,17,13.213403
2016.02.17,34,17,15.491576
2016.02.18,31,17,14.124672
2016.02.19,32,17,14.580307
2016.02.20,23,17,10.479596
2016.02.21,37,27,18.251627
2016.02.22,45,27,22.197926
2016.02.23,38,27,18.744915
2016.02.24,47,27,23.1845
2016.02.25,36,27,17.758341
2016.02.26,37,27,18.251627
2016.02.27,49,27,24.171076
2016.02.28,67,50,35.025745
2016.02.29,65,50,33.980202
2016.03.01,72,50,37.639606
2016.03.02,68,50,35.548519
2016.03.03,68,50,35.548519
2016.03.04,76,50,39.730694
2016.03.05,89,50,46.526737
2016.03.06,100,56,54.054852
2016.03.07,88,56,47.568268
2016.03.08,90,56,48.649361
2016.03.09,81,56,43.784428
2016.03.10,71,56,38.378941
2016.03.11,62,56,33.514004
2016.03.12,55,56,29.730165
2016.03.13,54,48,28.995256
2016.03.14,50,48,26.84746
2016.03.15,77,48,41.345089
2016.03.16,78,48,41.882038
2016.03.17,88,48,47.25153
2016.03.18,72,48,38.660343
2016.03.19,53,48,28.458307
2016.03.20,56,37,29.648132
2016.03.21,67,37,35.471874
2016.03.22,71,37,37.5896
2016.03.23,54,37,28.589272
2016.03.24,45,37,23.824392
2016.03.25,37,37,19.588945
2016.03.26,39,37,20.647806
2016.03.27,35,23,16.866669
2016.03.28,36,23,17.348574
2016.03.29,41,23,19.758097
2016.03.30,36,23,17.348574
2016.03.31,41,23,19.758097
2016.04.01,32,23,15.420954
2016.04.02,31,23,14.939049
2016.04.03,28,17,12.629548
2016.04.04,29,17,13.080604
2016.04.05,30,17,13.531659
2016.04.06,34,17,15.33588
2016.04.07,24,17,10.825327
2016.04.08,25,17,11.276382
2016.04.09,29,17,13.080604
2016.04.10,31,16,14.004707
2016.04.11,34,16,15.360002
2016.04.12,30,16,13.552942
2016.04.13,27,16,12.197649
2016.04.14,21,16,9.4870596
2016.04.15,24,16,10.842354
2016.04.16,20,16,9.0352945
2016.04.17,23,12,11.040001
2016.04.18,22,12,10.560001
2016.04.19,22,12,10.560001
2016.04.20,21,12,10.080001
2016.04.21,16,12,7.6800008
2016.04.22,15,12,7.2000003
2016.04.23,13,12,6.2400002
2016.04.24,16,8,7.5093346
2016.04.25,17,8,7.9786677
2016.04.26,15,8,7.0400014
2016.04.27,11,8,5.1626673
2016.04.28,7,8,3.2853336
2016.04.29,11,8,5.1626673
2016.04.30,13,8,6.1013341
2016.05.01,13,7,5.7889166
2016.05.02,13,7,5.7889166
2016.05.03,12,7,5.3436151
2016.05.04,11,7,4.898314
2016.05.05,13,7,5.7889166
2016.05.06,11,7,4.898314
2016.05.07,10,7,4.4530129
2016.05.08,14,7,7.1866679
2016.05.09,11,7,5.6466675
2016.05.10,8,7,4.106667
2016.05.11,8,7,4.106667
2016.05.12,10,7,5.1333342
2016.05.13,9,7,4.6200004
2016.05.14,12,7,6.1600008
2016.05.15,11,8,5.1059346
2016.05.16,12,8,5.5701108
