date,raw_daily,raw_weekly
2015-12-27,56.0,24.0
2015-12-28,100.0,24.0
2015-12-29,24.0,24.0
2015-12-30,34.0,24.0
2015-12-31,25.0,24.0
2016-01-01,8.0,24.0
2016-01-02,8.0,24.0
2016-01-03,31.0,20.0
2016-01-04,36.0,20.0
2016-01-05,28.0,20.0
2016-01-06,36.0,20.0
2016-01-07,35.0,20.0
2016-01-08,22.0,20.0
2016-01-09,38.0,20.0
2016-01-10,15.0,20.0
2016-01-11,36.0,20.0
2016-01-12,50.0,20.0
2016-01-13,22.0,20.0
2016-01-14,7.0,20.0
2016-01-15,96.0,20.0
2016-01-16,8.0,20.0
2016-01-17,29.0,25.0
2016-01-18,29.0,25.0
2016-01-19,51.0,25.0
2016-01-20,53.0,25.0
2016-01-21,22.0,25.0
2016-01-22,52.0,25.0
2016-01-23,45.0,25.0
2016-01-24,30.0,23.0
2016-01-25,52.0,23.0
2016-01-26,44.0,23.0
2016-01-27,44.0,23.0
2016-01-28,22.0,23.0
2016-01-29,37.0,23.0
2016-01-30,30.0,23.0
2016-01-31,7.0,18.0
2016-02-01,29.0,18.0
2016-02-02,51.0,18.0
2016-02-03,0.0,18.0
2016-02-04,37.0,18.0
2016-02-05,29.0,18.0
2016-02-06,37.0,18.0
2016-02-07,15.0,24.0
2016-02-08,51.0,24.0
2016-02-09,43.0,24.0
2016-02-10,81.0,24.0
2016-02-11,44.0,24.0
2016-02-12,28.0,24.0
2016-02-13,14.0,24.0
2016-02-14,42.0,22.0
2016-02-15,36.0,22.0
2016-02-16,43.0,22.0
2016-02-17,22.0,22.0
2016-02-18,50.0,22.0
2016-02-19,43.0,22.0
2016-02-20,36.0,22.0
2016-02-21,22.0,32.0
2016-02-22,58.0,32.0
2016-02-23,65.0,32.0
2016-02-24,80.0,32.0
2016-02-25,22.0,32.0
2016-02-26,66.0,32.0
2016-02-27,52.0,32.0
2016-02-28,0.0,20.0
2016-02-29,14.0,20.0
2016-03-01,51.0,20.0
2016-03-02,43.0,20.0
2016-03-03,51.0,20.0
2016-03-04,36.0,20.0
2016-03-05,36.0,20.0
2016-03-06,78.0,26.0
2016-03-07,41.0,26.0
2016-03-08,42.0,26.0
2016-03-09,27.0,26.0
2016-03-10,49.0,26.0
2016-03-11,36.0,26.0
2016-03-12,37.0,26.0
2016-03-13,7.0,15.0
2016-03-14,63.0,15.0
2016-03-15,36.0,15.0
2016-03-16,29.0,15.0
2016-03-17,36.0,15.0
2016-03-18,14.0,15.0
2016-03-19,14.0,15.0
2016-03-20,22.0,26.0
2016-03-21,43.0,26.0
2016-03-22,57.0,26.0
2016-03-23,42.0,26.0
2016-03-24,36.0,26.0
2016-03-25,58.0,26.0
2016-03-26,30.0,26.0
2016-03-27,22.0,26.0
2016-03-28,47.0,26.0
2016-03-29,27.0,26.0
2016-03-30,48.0,26.0
2016-03-31,35.0,26.0
2016-04-01,63.0,26.0
2016-04-02,36.0,26.0
2016-04-03,35.0,24.0
2016-04-04,48.0,24.0
2016-04-05,57.0,24.0
2016-04-06,35.0,24.0
2016-04-07,62.0,24.0
2016-04-08,22.0,24.0
2016-04-09,15.0,24.0
2016-04-10,21.0,30.0
2016-04-11,79.0,30.0
2016-04-12,65.0,30.0
2016-04-13,72.0,30.0
2016-04-14,56.0,30.0
2016-04-15,29.0,30.0
2016-04-16,22.0,30.0
2016-04-17,21.0,26.0
2016-04-18,28.0,26.0
2016-04-19,29.0,26.0
2016-04-20,50.0,26.0
2016-04-21,63.0,26.0
2016-04-22,64.0,26.0
2016-04-23,43.0,26.0
2016-04-24,7.0,27.0
2016-04-25,56.0,27.0
2016-04-26,21.0,27.0
2016-04-27,91.0,27.0
2016-04-28,63.0,27.0
2016-04-29,43.0,27.0
2016-04-30,22.0,27.0
2016-05-01,49.0,14.0
2016-05-02,28.0,14.0
2016-05-03,14.0,14.0
2016-05-04,14.0,14.0
2016-05-05,7.0,14.0
2016-05-06,34.0,14.0
2016-05-07,28.0,14.0
2016-05-08,28.0,28.0
2016-05-09,55.0,28.0
2016-05-10,81.0,28.0
2016-05-11,42.0,28.0
2016-05-12,21.0,28.0
2016-05-13,63.0,28.0
2016-05-14,36.0,28.0
2016-05-15,50.0,28.0
2016-05-16,41.0,28.0
2016-05-17,41.0,28.0
2016-05-18,78.0,28.0
2016-05-19,49.0,28.0
2016-05-20,28.0,28.0
2016-05-21,36.0,28.0
2016-05-22,21.0,27.0
2016-05-23,28.0,27.0
2016-05-24,69.0,27.0
2016-05-25,21.0,27.0
2016-05-26,70.0,27.0
2016-05-27,51.0,27.0
2016-05-28,44.0,27.0
2016-05-29,28.0,30.0
2016-05-30,57.0,30.0
2016-05-31,70.0,30.0
2016-06-01,64.0,30.0
2016-06-02,50.0,30.0
2016-06-03,36.0,30.0
2016-06-04,37.0,30.0
2016-06-05,21.0,29.0
2016-06-06,42.0,29.0
2016-06-07,62.0,29.0
2016-06-08,42.0,29.0
2016-06-09,76.0,29.0
2016-06-10,64.0,29.0
2016-06-11,37.0,29.0
2016-06-12,42.0,35.0
2016-06-13,66.0,35.0
2016-06-14,55.0,35.0
2016-06-15,90.0,35.0
2016-06-16,49.0,35.0
2016-06-17,50.0,35.0
2016-06-18,51.0,35.0
2016-06-19,35.0,28.0
2016-06-20,48.0,28.0
2016-06-21,34.0,28.0
2016-06-22,21.0,28.0
2016-06-23,35.0,28.0
2016-06-24,75.0,28.0
2016-06-25,43.0,28.0
2016-06-26,14.0,29.0
2016-06-27,42.0,29.0
2016-06-28,55.0,29.0
2016-06-29,61.0,29.0
2016-06-30,63.0,29.0
2016-07-01,57.0,29.0
2016-07-02,56.0,29.0
2016-07-03,32.0,24.0
2016-07-04,39.0,24.0
2016-07-05,55.0,24.0
2016-07-06,41.0,24.0
2016-07-07,74.0,24.0
2016-07-08,25.0,24.0
2016-07-09,32.0,24.0
2016-07-10,49.0,24.0
2016-07-11,48.0,24.0
2016-07-12,73.0,24.0
2016-07-13,24.0,24.0
2016-07-14,24.0,24.0
2016-07-15,73.0,24.0
2016-07-16,25.0,24.0
2016-07-17,42.0,26.0
2016-07-18,73.0,26.0
2016-07-19,49.0,26.0
2016-07-20,33.0,26.0
2016-07-21,48.0,26.0
2016-07-22,47.0,26.0
2016-07-23,25.0,26.0
2016-07-24,8.0,24.0
2016-07-25,64.0,24.0
2016-07-26,56.0,24.0
2016-07-27,48.0,24.0
2016-07-28,47.0,24.0
2016-07-29,65.0,24.0
2016-07-30,26.0,24.0
2016-07-31,8.0,21.0
2016-08-01,16.0,21.0
2016-08-02,32.0,21.0
2016-08-03,88.0,21.0
2016-08-04,48.0,21.0
2016-08-05,26.0,21.0
2016-08-06,57.0,21.0
2016-08-07,56.0,20.0
2016-08-08,25.0,20.0
2016-08-09,51.0,20.0
2016-08-10,18.0,20.0
2016-08-11,19.0,20.0
2016-08-12,55.0,20.0
2016-08-13,47.0,20.0
2016-08-14,19.0,17.0
2016-08-15,27.0,17.0
2016-08-16,44.0,17.0
2016-08-17,9.0,17.0
2016-08-18,54.0,17.0
2016-08-19,37.0,17.0
2016-08-20,29.0,17.0
2016-08-21,19.0,19.0
2016-08-22,25.0,19.0
2016-08-23,61.0,19.0
2016-08-24,41.0,19.0
2016-08-25,49.0,19.0
2016-08-26,25.0,19.0
2016-08-27,26.0,19.0
2016-08-28,25.0,23.0
2016-08-29,80.0,23.0
2016-08-30,32.0,23.0
2016-08-31,91.0,23.0
2016-09-01,25.0,23.0
2016-09-02,25.0,23.0
2016-09-03,25.0,23.0
2016-09-04,48.0,22.0
2016-09-05,49.0,22.0
2016-09-06,24.0,22.0
2016-09-07,40.0,22.0
2016-09-08,56.0,22.0
2016-09-09,41.0,22.0
2016-09-10,43.0,22.0
2016-09-11,8.0,24.0
2016-09-12,57.0,24.0
2016-09-13,56.0,24.0
2016-09-14,42.0,24.0
2016-09-15,25.0,24.0
2016-09-16,67.0,24.0
2016-09-17,34.0,24.0
2016-09-18,24.0,24.0
2016-09-19,53.0,24.0
2016-09-20,31.0,24.0
2016-09-21,42.0,24.0
2016-09-22,41.0,24.0
2016-09-23,25.0,24.0
2016-09-24,59.0,24.0
2016-09-25,8.0,33.0
2016-09-26,58.0,33.0
2016-09-27,92.0,33.0
2016-09-28,66.0,33.0
2016-09-29,33.0,33.0
2016-09-30,84.0,33.0
2016-10-01,67.0,33.0
2016-10-02,24.0,27.0
2016-10-03,46.0,27.0
2016-10-04,61.0,27.0
2016-10-05,46.0,27.0
2016-10-06,32.0,27.0
2016-10-07,71.0,27.0
2016-10-08,24.0,27.0
2016-10-09,16.0,26.0
2016-10-10,40.0,26.0
2016-10-11,24.0,26.0
2016-10-12,65.0,26.0
2016-10-13,49.0,26.0
2016-10-14,92.0,26.0
2016-10-15,43.0,26.0
2016-10-16,25.0,22.0
2016-10-17,40.0,22.0
2016-10-18,16.0,22.0
2016-10-19,41.0,22.0
2016-10-20,48.0,22.0
2016-10-21,40.0,22.0
2016-10-22,42.0,22.0
2016-10-23,25.0,29.0
2016-10-24,42.0,29.0
2016-10-25,81.0,29.0
2016-10-26,74.0,29.0
2016-10-27,74.0,29.0
2016-10-28,41.0,29.0
2016-10-29,26.0,29.0
2016-10-30,35.0,23.0
2016-10-31,75.0,23.0
2016-11-01,50.0,23.0
2016-11-02,51.0,23.0
2016-11-03,33.0,23.0
2016-11-04,25.0,23.0
2016-11-05,17.0,23.0
2016-11-06,58.0,27.0
2016-11-07,41.0,27.0
2016-11-08,64.0,27.0
2016-11-09,40.0,27.0
2016-11-10,25.0,27.0
2016-11-11,49.0,27.0
2016-11-12,50.0,27.0
2016-11-13,41.0,34.0
2016-11-14,70.0,34.0
2016-11-15,72.0,34.0
2016-11-16,66.0,34.0
2016-11-17,73.0,34.0
2016-11-18,49.0,34.0
2016-11-19,49.0,34.0
2016-11-20,73.0,29.0
2016-11-21,54.0,29.0
2016-11-22,48.0,29.0
2016-11-23,32.0,29.0
2016-11-24,49.0,29.0
2016-11-25,82.0,29.0
2016-11-26,16.0,29.0
2016-11-27,72.0,29.0
2016-11-28,39.0,29.0
2016-11-29,47.0,29.0
2016-11-30,64.0,29.0
2016-12-01,78.0,29.0
2016-12-02,16.0,29.0
2016-12-03,40.0,29.0
2016-12-04,23.0,23.0
2016-12-05,42.0,23.0
2016-12-06,90.0,23.0
2016-12-07,68.0,23.0
2016-12-08,54.0,23.0
2016-12-09,15.0,23.0
2016-12-10,0.0,23.0
2016-12-11,15.0,28.0
2016-12-12,75.0,28.0
2016-12-13,30.0,28.0
2016-12-14,68.0,28.0
2016-12-15,32.0,28.0
2016-12-16,72.0,28.0
2016-12-17,33.0,28.0
2016-12-18,16.0,23.0
2016-12-19,31.0,23.0
2016-12-20,100.0,23.0
2016-12-21,55.0,23.0
2016-12-22,15.0,23.0
2016-12-23,0.0,23.0
2016-12-24,56.0,23.0
2016-12-25,31.0,19.0
2016-12-26,8.0,19.0
2016-12-27,61.0,19.0
2016-12-28,40.0,19.0
2016-12-29,73.0,19.0
2016-12-30,25.0,19.0
2016-12-31,24.0,19.0
2017-01-01,4.0,20.0
2017-01-02,3.0,20.0
2017-01-03,4.0,20.0
2017-01-04,9.0,20.0
2017-01-05,9.0,20.0
2017-01-06,5.0,20.0
2017-01-07,7.0,20.0
2017-01-08,8.0,36.0
2017-01-09,13.0,36.0
2017-01-10,9.0,36.0
2017-01-11,11.0,36.0
2017-01-12,12.0,36.0
2017-01-13,15.0,36.0
2017-01-14,10.0,36.0
2017-01-15,5.0,19.0
2017-01-16,4.0,19.0
2017-01-17,4.0,19.0
2017-01-18,9.0,19.0
2017-01-19,4.0,19.0
2017-01-20,8.0,19.0
2017-01-21,5.0,19.0
2017-01-22,11.0,31.0
2017-01-23,9.0,31.0
2017-01-24,4.0,31.0
2017-01-25,14.0,31.0
2017-01-26,9.0,31.0
2017-01-27,14.0,31.0
2017-01-28,7.0,31.0
2017-01-29,5.0,28.0
2017-01-30,8.0,28.0
2017-01-31,9.0,28.0
2017-02-01,18.0,28.0
2017-02-02,4.0,28.0
2017-02-03,12.0,28.0
2017-02-04,8.0,28.0
2017-02-05,8.0,32.0
2017-02-06,9.0,32.0
2017-02-07,9.0,32.0
2017-02-08,8.0,32.0
2017-02-09,17.0,32.0
2017-02-10,11.0,32.0
2017-02-11,8.0,32.0
2017-02-12,3.0,23.0
2017-02-13,12.0,23.0
2017-02-14,7.0,23.0
2017-02-15,11.0,23.0
2017-02-16,8.0,23.0
2017-02-17,9.0,23.0
2017-02-18,3.0,23.0
2017-02-19,1.0,100.0
2017-02-20,11.0,100.0
2017-02-21,8.0,100.0
2017-02-22,76.0,100.0
2017-02-23,54.0,100.0
2017-02-24,49.0,100.0
2017-02-25,27.0,100.0
2017-02-26,14.0,73.0
2017-02-27,54.0,73.0
2017-02-28,38.0,73.0
2017-03-01,23.0,73.0
2017-03-02,18.0,73.0
2017-03-03,10.0,73.0
2017-03-04,7.0,73.0
2017-03-05,8.0,37.0
2017-03-06,15.0,37.0
2017-03-07,15.0,37.0
2017-03-08,20.0,37.0
2017-03-09,10.0,37.0
2017-03-10,8.0,37.0
2017-03-11,8.0,37.0
2017-03-12,13.0,32.0
