date,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2015.12.27,56,24,11.279059
2015.12.28,100,24,20.141176
2015.12.29,24,24,4.8338823
2015.12.30,34,24,6.848
2015.12.31,25,24,5.0352941
2016.01.01,8,24,1.6112942
2016.01.02,8,24,1.6112942
2016.01.03,31,20,5.8707967
2016.01.04,36,20,6.8176994
2016.01.05,28,20,5.3026547
2016.01.06,36,20,6.8176994
2016.01.07,35,20,6.6283188
2016.01.08,22,20,4.1663718
2016.01.09,38,20,7.1964602
2016.01.10,15,20,2.7435899
2016.01.11,36,20,6.5846152
2016.01.12,50,20,9.145299
2016.01.13,22,20,4.0239315
2016.01.14,7,20,1.280342
2016.01.15,96,20,17.558973
2016.01.16,8,20,1.4632479
2016.01.17,29,25,5.5213518
2016.01.18,29,25,5.5213518
2016.01.19,51,25,9.7099638
2016.01.20,53,25,10.090747
2016.01.21,22,25,4.188612
2016.01.22,52,25,9.9003553
2016.01.23,45,25,8.5676155
2016.01.24,30,23,5.7011576
2016.01.25,52,23,9.8820076
2016.01.26,44,23,8.3616982
2016.01.27,44,23,8.3616982
2016.01.28,22,23,4.1808491
2016.01.29,37,23,7.0314283
2016.01.30,30,23,5.7011576
2016.01.31,7,18,1.4191577
2016.02.01,29,18,5.8793683
2016.02.02,51,18,10.339579
2016.02.03,0,18,0
2016.02.04,37,18,7.5012631
2016.02.05,29,18,5.8793683
2016.02.06,37,18,7.5012631
2016.02.07,15,24,2.7913043
2016.02.08,51,24,9.4904346
2016.02.09,43,24,8.0017395
2016.02.10,81,24,15.073044
2016.02.11,44,24,8.1878262
2016.02.12,28,24,5.2104349
2016.02.13,14,24,2.6052175
2016.02.14,42,22,7.2697053
2016.02.15,36,22,6.2311764
2016.02.16,43,22,7.4427938
2016.02.17,22,22,3.807941
2016.02.18,50,22,8.6544123
2016.02.19,43,22,7.4427938
2016.02.20,36,22,6.2311764
2016.02.21,22,32,4.1275616
2016.02.22,58,32,10.881753
2016.02.23,65,32,12.195068
2016.02.24,80,32,15.009315
2016.02.25,22,32,4.1275616
2016.02.26,66,32,12.382686
2016.02.27,52,32,9.7560549
2016.02.28,0,20,0
2016.02.29,14,20,2.5939395
2016.03.01,51,20,9.4493504
2016.03.02,43,20,7.9670992
2016.03.03,51,20,9.4493504
2016.03.04,36,20,6.6701298
2016.03.05,36,20,6.6701298
2016.03.06,78,26,13.999743
2016.03.07,41,26,7.3588386
2016.03.08,42,26,7.5383229
2016.03.09,27,26,4.8460646
2016.03.10,49,26,8.7947102
2016.03.11,36,26,6.4614196
2016.03.12,37,26,6.6409035
2016.03.13,7,15,1.1291457
2016.03.14,63,15,10.162312
2016.03.15,36,15,5.8070354
2016.03.16,29,15,4.6778893
2016.03.17,36,15,5.8070354
2016.03.18,14,15,2.2582915
2016.03.19,14,15,2.2582915
2016.03.20,22,26,4.250278
