date,raw_daily,raw_weekly
2017-01-01,32.0,12.0
2017-01-02,34.0,12.0
2017-01-03,32.0,12.0
2017-01-04,33.0,12.0
2017-01-05,37.0,12.0
2017-01-06,33.0,12.0
2017-01-07,39.0,12.0
2017-01-08,33.0,15.0
2017-01-09,51.0,15.0
2017-01-10,42.0,15.0
2017-01-11,40.0,15.0
2017-01-12,52.0,15.0
2017-01-13,45.0,15.0
2017-01-14,42.0,15.0
2017-01-15,39.0,15.0
2017-01-16,40.0,15.0
2017-01-17,40.0,15.0
2017-01-18,48.0,15.0
2017-01-19,42.0,15.0
2017-01-20,46.0,15.0
2017-01-21,43.0,15.0
2017-01-22,38.0,14.0
2017-01-23,49.0,14.0
2017-01-24,40.0,14.0
2017-01-25,36.0,14.0
2017-01-26,37.0,14.0
2017-01-27,42.0,14.0
2017-01-28,36.0,14.0
2017-01-29,37.0,15.0
2017-01-30,40.0,15.0
2017-01-31,38.0,15.0
2017-02-01,42.0,15.0
2017-02-02,39.0,15.0
2017-02-03,45.0,15.0
2017-02-04,43.0,15.0
2017-02-05,42.0,17.0
2017-02-06,37.0,17.0
2017-02-07,50.0,17.0
2017-02-08,64.0,17.0
2017-02-09,49.0,17.0
2017-02-10,41.0,17.0
2017-02-11,48.0,17.0
2017-02-12,49.0,18.0
2017-02-13,73.0,18.0
2017-02-14,57.0,18.0
2017-02-15,51.0,18.0
2017-02-16,41.0,18.0
2017-02-17,38.0,18.0
2017-02-18,47.0,18.0
2017-02-19,41.0,13.0
2017-02-20,31.0,13.0
2017-02-21,37.0,13.0
2017-02-22,39.0,13.0
2017-02-23,39.0,13.0
2017-02-24,35.0,13.0
2017-02-25,37.0,13.0
2017-02-26,37.0,13.0
2017-02-27,38.0,13.0
2017-02-28,38.0,13.0
2017-03-01,34.0,13.0
2017-03-02,40.0,13.0
2017-03-03,38.0,13.0
2017-03-04,39.0,13.0
2017-03-05,41.0,15.0
2017-03-06,43.0,15.0
2017-03-07,51.0,15.0
2017-03-08,42.0,15.0
2017-03-09,39.0,15.0
2017-03-10,33.0,15.0
2017-03-11,36.0,15.0
2017-03-12,39.0,13.0
