date,raw_daily,raw_weekly,symptoms_harmonized_daily
2017.01.01,32,12,2.702703
2017.01.02,34,12,2.8716218
2017.01.03,32,12,2.702703
2017.01.04,33,12,2.7871625
2017.01.05,37,12,3.1250002
2017.01.06,33,12,2.7871625
2017.01.07,39,12,3.2939191
2017.01.08,33,15,2.7414708
2017.01.09,51,15,4.2368183
2017.01.10,42,15,3.4891448
2017.01.11,40,15,3.3229949
2017.01.12,52,15,4.3198934
2017.01.13,45,15,3.7383692
2017.01.14,42,15,3.4891448
2017.01.15,39,15,3.3160257
2017.01.16,40,15,3.4010522
2017.01.17,40,15,3.4010522
2017.01.18,48,15,4.0812621
2017.01.19,42,15,3.5711045
2017.01.20,46,15,3.9112098
2017.01.21,43,15,3.656131
2017.01.22,38,14,3.232549
2017.01.23,49,14,4.1682868
2017.01.24,40,14,3.402683
2017.01.25,36,14,3.0624149
2017.01.26,37,14,3.1474817
2017.01.27,42,14,3.5728173
2017.01.28,36,14,3.0624149
2017.01.29,37,15,3.3010561
2017.01.30,40,15,3.5687094
2017.01.31,38,15,3.3902738
2017.02.01,42,15,3.7471447
2017.02.02,39,15,3.4794917
2017.02.03,45,15,4.0147982
2017.02.04,43,15,3.8363626
2017.02.05,42,17,3.6437495
2017.02.06,37,17,3.2099698
2017.02.07,50,17,4.3377967
2017.02.08,64,17,5.5523801
2017.02.09,49,17,4.2510409
2017.02.10,41,17,3.5569935
2017.02.11,48,17,4.1642852
2017.02.12,49,18,4.1850138
2017.02.13,73,18,6.2348161
2017.02.14,57,18,4.8682814
2017.02.15,51,18,4.3558307
2017.02.16,41,18,3.5017462
2017.02.17,38,18,3.2455208
2017.02.18,47,18,4.0141969
2017.02.19,41,13,3.4762077
2017.02.20,31,13,2.6283522
2017.02.21,37,13,3.1370656
2017.02.22,39,13,3.3066368
2017.02.23,39,13,3.3066368
2017.02.24,35,13,2.9674947
2017.02.25,37,13,3.1370656
2017.02.26,37,13,3.0776515
2017.02.27,38,13,3.1608315
2017.02.28,38,13,3.1608315
2017.03.01,34,13,2.8281124
2017.03.02,40,13,3.3271909
2017.03.03,38,13,3.1608315
2017.03.04,39,13,3.2440112
2017.03.05,41,15,3.6450925
2017.03.06,43,15,3.8229017
2017.03.07,51,15,4.5341392
2017.03.08,42,15,3.7339973
2017.03.09,39,15,3.467283
2017.03.10,33,15,2.9338548
2017.03.11,36,15,3.2005689
2017.03.12,39,13,3.2812986
2017.03.13,34,13,2.8606193
2017.03.14,38,13,3.1971629
2017.03.15,42,13,3.5337062
2017.03.16,38,13,3.1971629
2017.03.17,36,13,3.0288911
2017.03.18,34,13,2.8606193
2017.03.19,34,13,2.8938823
2017.03.20,37,13,3.1492248
2017.03.21,42,13,3.5747957
2017.03.22,38,13,3.2343388
2017.03.23,34,13,2.8938823
2017.03.24,41,13,3.4896815
2017.03.25,32,13,2.7236538
2017.03.26,43,14,3.8518631
2017.03.27,40,14,3.5831287
2017.03.28,37,14,3.314394
2017.03.29,39,14,3.4935505
2017.03.30,32,14,2.866503
2017.03.31,37,14,3.314394
2017.04.01,36,14,3.2248156
2017.04.02,41,13,3.5032601
2017.04.03,36,13,3.0760334
2017.04.04,33,13,2.8196971
2017.04.05,30,13,2.5633612
2017.04.06,41,13,3.5032601
2017.04.07,36,13,3.0760334
2017.04.08,40,13,3.4178145
2017.04.09,37,14,3.2771537
2017.04.10,39,14,3.4542971
2017.04.11,37,14,3.2771537
2017.04.12,40,14,3.5428689
2017.04.13,45,14,3.9857273
2017.04.14,37,14,3.2771537
2017.04.15,32,14,2.834295
2017.04.16,37,13,3.0776515
2017.04.17,40,13,3.3271909
2017.04.18,41,13,3.4103706
2017.04.19,38,13,3.1608315
2017.04.20,39,13,3.2440112
2017.04.21,38,13,3.1608315
2017.04.22,31,13,2.578573
2017.04.23,33,15,2.9441853
2017.04.24,47,15,4.1932335
2017.04.25,44,15,3.9255803
2017.04.26,38,15,3.3902738
2017.04.27,37,15,3.3010561
2017.04.28,39,15,3.4794917
2017.04.29,46,15,4.1040158
2017.04.30,42,19,3.7443695
2017.05.01,42,19,3.7443695
2017.05.02,43,19,3.8335214
2017.05.03,35,19,3.1203079
2017.05.04,38,19,3.387763
2017.05.05,100,19,8.9151659
2017.05.06,60,19,5.3490996
2017.05.07,72,18,6.2907734
2017.05.08,60,18,5.242311
2017.05.09,45,18,3.9317331
2017.05.10,48,18,4.1938491
2017.05.11,42,18,3.6696179
2017.05.12,42,18,3.6696179
2017.05.13,39,18,3.4075024
2017.05.14,42,17,3.5060499
2017.05.15,44,17,3.6730046
2017.05.16,41,17,3.4225724
2017.05.17,55,17,4.5912557
2017.05.18,49,17,4.0903916
2017.05.19,64,17,5.3425522
2017.05.20,49,17,4.0903916
2017.05.21,50,16,4.1452494
2017.05.22,56,16,4.6426797
2017.05.23,52,16,4.3110595
2017.05.24,41,16,3.3991048
2017.05.25,39,16,3.2332947
2017.05.26,45,16,3.7307248
2017.05.27,43,16,3.5649147
2017.05.28,38,19,3.3783784
2017.05.29,48,19,4.2674251
2017.05.30,57,19,5.0675678
2017.05.31,66,19,5.8677096
2017.06.01,54,19,4.8008537
2017.06.02,50,19,4.4452348
2017.06.03,48,19,4.2674251
2017.06.04,47,15,3.9433057
2017.06.05,39,15,3.272105
2017.06.06,52,15,4.3628063
2017.06.07,47,15,3.9433057
2017.06.08,45,15,3.7755058
2017.06.09,39,15,3.272105
2017.06.10,33,15,2.7687042
2017.06.11,41,15,3.5699358
2017.06.12,43,15,3.7440791
2017.06.13,45,15,3.9182224
2017.06.14,39,15,3.3957927
2017.06.15,42,15,3.6570077
2017.06.16,43,15,3.7440791
2017.06.17,38,15,3.3087211
2017.06.18,36,13,2.9831717
2017.06.19,39,13,3.2317693
2017.06.20,40,13,3.3146353
2017.06.21,36,13,2.9831717
2017.06.22,39,13,3.2317693
2017.06.23,40,13,3.3146353
2017.06.24,35,13,2.900306
2017.06.25,34,13,2.8606193
2017.06.26,44,13,3.701978
2017.06.27,43,13,3.617842
2017.06.28,42,13,3.5337062
2017.06.29,37,13,3.1130269
2017.06.30,33,13,2.7764833
2017.07.01,28,13,2.3558042
2017.07.02,18,14,3.3783784
2017.07.03,19,14,3.566066
2017.07.04,19,14,3.566066
2017.07.05,18,14,3.3783784
2017.07.06,20,14,3.7537537
2017.07.07,17,14,3.1906908
2017.07.08,15,14,2.8153155
2017.07.09,16,13,2.9279282
2017.07.10,20,13,3.6599102
2017.07.11,19,13,3.4769149
2017.07.12,16,13,2.9279282
2017.07.13,18,13,3.2939191
2017.07.14,15,13,2.7449327
2017.07.15,16,13,2.9279282
2017.07.16,18,19,3.4387066
2017.07.17,17,19,3.2476676
2017.07.18,19,19,3.629746
2017.07.19,17,19,3.2476676
2017.07.20,35,19,6.6863742
2017.07.21,39,19,7.450531
2017.07.22,23,19,4.3939033
2017.07.23,25,18,4.6634054
