date,raw_daily,raw_weekly
2015-12-27,32.0,39.0
2015-12-28,25.0,39.0
2015-12-29,25.0,39.0
2015-12-30,28.0,39.0
2015-12-31,31.0,39.0
2016-01-01,24.0,39.0
2016-01-02,32.0,39.0
2016-01-03,30.0,58.0
2016-01-04,32.0,58.0
2016-01-05,28.0,58.0
2016-01-06,34.0,58.0
2016-01-07,41.0,58.0
2016-01-08,67.0,58.0
2016-01-09,56.0,58.0
2016-01-10,43.0,54.0
2016-01-11,40.0,54.0
2016-01-12,36.0,54.0
2016-01-13,38.0,54.0
2016-01-14,38.0,54.0
2016-01-15,46.0,54.0
2016-01-16,35.0,54.0
2016-01-17,32.0,42.0
2016-01-18,30.0,42.0
2016-01-19,28.0,42.0
2016-01-20,36.0,42.0
2016-01-21,29.0,42.0
2016-01-22,30.0,42.0
2016-01-23,28.0,42.0
2016-01-24,26.0,46.0
2016-01-25,33.0,46.0
2016-01-26,33.0,46.0
2016-01-27,38.0,46.0
2016-01-28,38.0,46.0
2016-01-29,35.0,46.0
2016-01-30,29.0,46.0
2016-01-31,41.0,56.0
2016-02-01,35.0,56.0
2016-02-02,35.0,56.0
2016-02-03,46.0,56.0
2016-02-04,48.0,56.0
2016-02-05,41.0,56.0
2016-02-06,38.0,56.0
2016-02-07,38.0,47.0
2016-02-08,38.0,47.0
2016-02-09,31.0,47.0
2016-02-10,32.0,47.0
2016-02-11,30.0,47.0
2016-02-12,30.0,47.0
2016-02-13,35.0,47.0
2016-02-14,47.0,52.0
2016-02-15,37.0,52.0
2016-02-16,32.0,52.0
2016-02-17,36.0,52.0
2016-02-18,35.0,52.0
2016-02-19,42.0,52.0
2016-02-20,36.0,52.0
2016-02-21,37.0,47.0
2016-02-22,38.0,47.0
2016-02-23,36.0,47.0
2016-02-24,38.0,47.0
2016-02-25,33.0,47.0
2016-02-26,25.0,47.0
2016-02-27,30.0,47.0
2016-02-28,33.0,46.0
2016-02-29,29.0,46.0
2016-03-01,36.0,46.0
