date,raw_daily,raw_weekly,suicide_harmonized_daily
2015.12.27,32,39,20.018679
2015.12.28,25,39,15.639592
2015.12.29,25,39,15.639592
2015.12.30,28,39,17.516344
2015.12.31,31,39,19.393095
2016.01.01,24,39,15.014009
2016.01.02,32,39,20.018679
2016.01.03,30,58,19.091667
2016.01.04,32,58,20.364443
2016.01.05,28,58,17.818888
2016.01.06,34,58,21.63722
2016.01.07,41,58,26.091944
2016.01.08,67,58,42.638054
2016.01.09,56,58,35.637775
2016.01.10,43,54,26.585217
2016.01.11,40,54,24.730433
2016.01.12,36,54,22.257391
2016.01.13,38,54,23.493914
2016.01.14,38,54,23.493914
2016.01.15,46,54,28.439999
2016.01.16,35,54,21.63913
2016.01.17,32,42,19.939154
2016.01.18,30,42,18.692957
2016.01.19,28,42,17.44676
2016.01.20,36,42,22.431547
2016.01.21,29,42,18.069859
2016.01.22,30,42,18.692957
2016.01.23,28,42,17.44676
2016.01.24,26,46,16.290344
2016.01.25,33,46,20.676207
2016.01.26,33,46,20.676207
2016.01.27,38,46,23.808966
2016.01.28,38,46,23.808966
2016.01.29,35,46,21.92931
2016.01.30,29,46,18.17
2016.01.31,41,56,25.547041
2016.02.01,35,56,21.808451
2016.02.02,35,56,21.808451
2016.02.03,46,56,28.662535
2016.02.04,48,56,29.908733
2016.02.05,41,56,25.547041
2016.02.06,38,56,23.677744
2016.02.07,38,47,24.118633
2016.02.08,38,47,24.118633
2016.02.09,31,47,19.675726
2016.02.10,32,47,20.310427
2016.02.11,30,47,19.041025
2016.02.12,30,47,19.041025
2016.02.13,35,47,22.214529
2016.02.14,47,52,29.143545
2016.02.15,37,52,22.942791
2016.02.16,32,52,19.842413
2016.02.17,36,52,22.322716
2016.02.18,35,52,21.702641
2016.02.19,42,52,26.043167
2016.02.20,36,52,22.322716
2016.02.21,37,47,23.186666
2016.02.22,38,47,23.813332
2016.02.23,36,47,22.559998
2016.02.24,38,47,23.813332
2016.02.25,33,47,20.68
2016.02.26,25,47,15.666665
2016.02.27,30,47,18.799999
2016.02.28,33,46,20.765713
2016.02.29,29,46,18.248655
2016.03.01,36,46,22.653505
2016.03.02,27,46,16.990129
2016.03.03,34,46,21.394978
2016.03.04,36,46,22.653505
