date,raw_daily,raw_weekly,suicide2_harmonized_daily
2015.12.27,33,37,19.291798
2015.12.28,26,37,15.199598
2015.12.29,26,37,15.199598
2015.12.30,28,37,16.368799
2015.12.31,31,37,18.122599
2016.01.01,24,37,14.030398
2016.01.02,32,37,18.707199
2016.01.03,31,56,18.981869
2016.01.04,32,56,19.594187
2016.01.05,28,56,17.144913
2016.01.06,34,56,20.818823
2016.01.07,41,56,25.105051
2016.01.08,67,56,41.02533
2016.01.09,56,56,34.289825
2016.01.10,43,52,25.416401
2016.01.11,40,52,23.643164
2016.01.12,36,52,21.278849
2016.01.13,39,52,23.052084
2016.01.14,38,52,22.461006
2016.01.15,47,52,27.78072
2016.01.16,35,52,20.687769
2016.01.17,32,40,18.725924
2016.01.18,31,40,18.140739
2016.01.19,28,40,16.385183
2016.01.20,37,40,21.65185
2016.01.21,29,40,16.970369
2016.01.22,30,40,17.555553
2016.01.23,29,40,16.970369
2016.01.24,26,45,15.534452
2016.01.25,34,45,20.314285
2016.01.26,34,45,20.314285
2016.01.27,40,45,23.899157
2016.01.28,38,45,22.704201
2016.01.29,36,45,21.509241
2016.01.30,30,45,17.924368
2016.01.31,42,54,24.971706
2016.02.01,35,54,20.809757
2016.02.02,36,54,21.40432
2016.02.03,46,54,27.349966
2016.02.04,48,54,28.539093
2016.02.05,41,54,24.377144
2016.02.06,39,54,23.188015
2016.02.07,38,45,22.704201
2016.02.08,39,45,23.30168
2016.02.09,31,45,18.521847
2016.02.10,32,45,19.119326
2016.02.11,31,45,18.521847
2016.02.12,31,45,18.521847
2016.02.13,36,45,21.509241
2016.02.14,47,50,27.5037
2016.02.15,39,50,22.82222
2016.02.16,33,50,19.31111
2016.02.17,36,50,21.066664
2016.02.18,36,50,21.066664
2016.02.19,43,50,25.16296
2016.02.20,36,50,21.066664
2016.02.21,37,46,22.503429
2016.02.22,39,46,23.719831
2016.02.23,36,46,21.895229
2016.02.24,39,46,23.719831
2016.02.25,33,46,20.070627
2016.02.26,25,46,15.205021
2016.02.27,30,46,18.246025
2016.02.28,34,44,20.202393
2016.02.29,29,44,17.231453
2016.03.01,37,44,21.984957
2016.03.02,28,44,16.637264
2016.03.03,34,44,20.202393
2016.03.04,36,44,21.390768
2016.03.05,36,44,21.390768
2016.03.06,36,82,20.868723
2016.03.07,37,82,21.44841
2016.03.08,64,82,37.099953
2016.03.09,100,82,57.968674
2016.03.10,88,82,51.012432
2016.03.11,55,82,31.882772
2016.03.12,67,82,38.839012
2016.03.13,57,52,34.183353
2016.03.14,43,52,25.787445
2016.03.15,35,52,20.98978
2016.03.16,40,52,23.988321
2016.03.17,31,52,18.590948
2016.03.18,37,52,22.189196
2016.03.19,31,52,18.590948
2016.03.20,32,49,18.911755
2016.03.21,27,49,15.956793
2016.03.22,51,49,30.140612
2016.03.23,49,49,28.958626
2016.03.24,30,49,17.729771
2016.03.25,35,49,20.684732
2016.03.26,38,49,22.45771
2016.03.27,44,47,26.564552
2016.03.28,35,47,21.130894
2016.03.29,34,47,20.527155
2016.03.30,37,47,22.338373
2016.03.31,33,47,19.923414
2016.04.01,32,47,19.319674
2016.04.02,31,47,18.715935
2016.04.03,32,44,19.260952
2016.04.04,35,44,21.066666
2016.04.05,34,44,20.464762
2016.04.06,32,44,19.260952
2016.04.07,31,44,18.659048
2016.04.08,32,44,19.260952
2016.04.09,35,44,21.066666
2016.04.10,36,44,21.482574
2016.04.11,36,44,21.482574
2016.04.12,31,44,18.498884
2016.04.13,30,44,17.902145
2016.04.14,39,44,23.272789
2016.04.15,32,44,19.095621
2016.04.16,29,44,17.305408
2016.04.17,33,40,19.31111
2016.04.18,29,40,16.970369
2016.04.19,29,40,16.970369
2016.04.20,29,40,16.970369
2016.04.21,34,40,19.896296
2016.04.22,28,40,16.385183
2016.04.23,34,40,19.896296
2016.04.24,37,41,22.40056
2016.04.25,34,41,20.584299
2016.04.26,33,41,19.978878
2016.04.27,27,41,16.346355
2016.04.28,27,41,16.346355
2016.04.29,28,41,16.951775
2016.04.30,28,41,16.951775
2016.05.01,31,39,18.367498
2016.05.02,29,39,17.182499
2016.05.03,27,39,15.997499
2016.05.04,27,39,15.997499
2016.05.05,33,39,19.5525
2016.05.06,27,39,15.997499
2016.05.07,34,39,20.144999
