date,raw_daily,raw_weekly
2017-12-31,38.0,63.0
2018-01-01,49.0,63.0
2018-01-02,46.0,63.0
2018-01-03,47.0,63.0
2018-01-04,55.0,63.0
2018-01-05,53.0,63.0
2018-01-06,51.0,63.0
2018-01-07,50.0,66.0
2018-01-08,53.0,66.0
2018-01-09,52.0,66.0
2018-01-10,50.0,66.0
2018-01-11,52.0,66.0
2018-01-12,49.0,66.0
2018-01-13,52.0,66.0
2018-01-14,44.0,65.0
2018-01-15,52.0,65.0
2018-01-16,54.0,65.0
2018-01-17,55.0,65.0
2018-01-18,49.0,65.0
2018-01-19,48.0,65.0
2018-01-20,47.0,65.0
2018-01-21,54.0,64.0
2018-01-22,47.0,64.0
2018-01-23,52.0,64.0
2018-01-24,50.0,64.0
2018-01-25,51.0,64.0
2018-01-26,46.0,64.0
2018-01-27,48.0,64.0
2018-01-28,52.0,63.0
2018-01-29,51.0,63.0
2018-01-30,45.0,63.0
2018-01-31,50.0,63.0
2018-02-01,53.0,63.0
2018-02-02,46.0,63.0
2018-02-03,48.0,63.0
2018-02-04,44.0,65.0
2018-02-05,52.0,65.0
2018-02-06,55.0,65.0
2018-02-07,50.0,65.0
2018-02-08,51.0,65.0
2018-02-09,48.0,65.0
2018-02-10,50.0,65.0
2018-02-11,47.0,60.0
2018-02-12,50.0,60.0
2018-02-13,52.0,60.0
2018-02-14,48.0,60.0
2018-02-15,53.0,60.0
2018-02-16,41.0,60.0
2018-02-17,42.0,60.0
2018-02-18,44.0,59.0
2018-02-19,55.0,59.0
2018-02-20,54.0,59.0
2018-02-21,47.0,59.0
2018-02-22,46.0,59.0
2018-02-23,45.0,59.0
2018-02-24,42.0,59.0
2018-02-25,44.0,73.0
2018-02-26,55.0,73.0
2018-02-27,56.0,73.0
2018-02-28,61.0,73.0
2018-03-01,59.0,73.0
2018-03-02,68.0,73.0
2018-03-03,58.0,73.0
2018-03-04,66.0,82.0
2018-03-05,56.0,82.0
2018-03-06,76.0,82.0
2018-03-07,78.0,82.0
2018-03-08,58.0,82.0
2018-03-09,60.0,82.0
2018-03-10,63.0,82.0
2018-03-11,67.0,97.0
2018-03-12,89.0,97.0
2018-03-13,81.0,97.0
2018-03-14,87.0,97.0
2018-03-15,88.0,97.0
2018-03-16,66.0,97.0
2018-03-17,74.0,97.0
2018-03-18,74.0,74.0
2018-03-19,61.0,74.0
2018-03-20,53.0,74.0
2018-03-21,59.0,74.0
2018-03-22,51.0,74.0
2018-03-23,58.0,74.0
2018-03-24,58.0,74.0
2018-03-25,74.0,100.0
2018-03-26,84.0,100.0
2018-03-27,80.0,100.0
2018-03-28,79.0,100.0
2018-03-29,86.0,100.0
2018-03-30,100.0,100.0
2018-03-31,84.0,100.0
2018-04-01,75.0,83.0
2018-04-02,66.0,83.0
2018-04-03,65.0,83.0
2018-04-04,79.0,83.0
2018-04-05,69.0,83.0
2018-04-06,55.0,83.0
2018-04-07,52.0,83.0
2018-04-08,51.0,66.0
2018-04-09,58.0,66.0
2018-04-10,55.0,66.0
2018-04-11,53.0,66.0
2018-04-12,49.0,66.0
2018-04-13,51.0,66.0
2018-04-14,48.0,66.0
2018-04-15,52.0,64.0
2018-04-16,48.0,64.0
2018-04-17,45.0,64.0
2018-04-18,49.0,64.0
2018-04-19,47.0,64.0
2018-04-20,50.0,64.0
2018-04-21,54.0,64.0
2018-04-22,50.0,60.0
2018-04-23,52.0,60.0
2018-04-24,46.0,60.0
2018-04-25,49.0,60.0
2018-04-26,48.0,60.0
2018-04-27,45.0,60.0
2018-04-28,42.0,60.0
2018-04-29,51.0,57.0
2018-04-30,49.0,57.0
2018-05-01,54.0,57.0
2018-05-02,41.0,57.0
2018-05-03,37.0,57.0
2018-05-04,36.0,57.0
2018-05-05,47.0,57.0
2018-05-06,49.0,56.0
2018-05-07,45.0,56.0
2018-05-08,43.0,56.0
2018-05-09,39.0,56.0
2018-05-10,41.0,56.0
2018-05-11,49.0,56.0
2018-05-12,42.0,56.0
