date,raw_daily,raw_weekly,symptoms_harmonized_daily
2017.12.31,38,63,40.513275
2018.01.01,49,63,52.240799
2018.01.02,46,63,49.042385
2018.01.03,47,63,50.108524
2018.01.04,55,63,58.637638
2018.01.05,53,63,56.505352
2018.01.06,51,63,54.373077
2018.01.07,50,66,52.881504
2018.01.08,53,66,56.054394
2018.01.09,52,66,54.996769
2018.01.10,50,66,52.881504
2018.01.11,52,66,54.996769
2018.01.12,49,66,51.823875
2018.01.13,52,66,54.996769
2018.01.14,44,65,47.012516
2018.01.15,52,65,55.560246
2018.01.16,54,65,57.697178
2018.01.17,55,65,58.765648
2018.01.18,49,65,52.354847
2018.01.19,48,65,51.286381
2018.01.20,47,65,50.217915
2018.01.21,54,64,56.972771
2018.01.22,47,64,49.587414
2018.01.23,52,64,54.862675
2018.01.24,50,64,52.752567
2018.01.25,51,64,53.807617
2018.01.26,46,64,48.532364
2018.01.27,48,64,50.642464
2018.01.28,52,63,54.47506
2018.01.29,51,63,53.427464
2018.01.30,45,63,47.14188
2018.01.31,50,63,52.379868
2018.02.01,53,63,55.522659
2018.02.02,46,63,48.189476
2018.02.03,48,63,50.284672
2018.02.04,44,65,46.878193
2018.02.05,52,65,55.401501
2018.02.06,55,65,58.597744
2018.02.07,50,65,53.270676
2018.02.08,51,65,54.336086
2018.02.09,48,65,51.139847
2018.02.10,50,65,53.270676
2018.02.11,47,60,48.582264
2018.02.12,50,60,51.683262
2018.02.13,52,60,53.750595
2018.02.14,48,60,49.615929
2018.02.15,53,60,54.78426
2018.02.16,41,60,42.380276
2018.02.17,42,60,43.41394
2018.02.18,44,59,44.723248
2018.02.19,55,59,55.90406
2018.02.20,54,59,54.887623
2018.02.21,47,59,47.77256
2018.02.22,46,59,46.756123
2018.02.23,45,59,45.739685
2018.02.24,42,59,42.690372
2018.02.25,44,73,45.951965
2018.02.26,55,73,57.439957
2018.02.27,56,73,58.484322
2018.02.28,61,73,63.706131
2018.03.01,59,73,61.617405
2018.03.02,68,73,71.016678
2018.03.03,58,73,60.57304
2018.03.04,66,82,67.938271
2018.03.05,56,82,57.644596
2018.03.06,76,82,78.231949
2018.03.07,78,82,80.290688
2018.03.08,58,82,59.703335
2018.03.09,60,82,61.762066
2018.03.10,63,82,64.850166
2018.03.11,67,97,67.542999
2018.03.12,89,97,89.721306
2018.03.13,81,97,81.656464
2018.03.14,87,97,87.705093
2018.03.15,88,97,88.713203
2018.03.16,66,97,66.534897
2018.03.17,74,97,74.599739
2018.03.18,74,74,75.881516
2018.03.19,61,74,62.550976
2018.03.20,53,74,54.347572
2018.03.21,59,74,60.50013
2018.03.22,51,74,52.296719
2018.03.23,58,74,59.474697
2018.03.24,58,74,59.474697
2018.03.25,74,100,72.32135
2018.03.26,84,100,82.094505
2018.03.27,80,100,78.185242
2018.03.28,79,100,77.207932
2018.03.29,86,100,84.049133
2018.03.30,100,100,97.731552
2018.03.31,84,100,82.094505
2018.04.01,75,83,77.466042
