date,raw_daily,raw_weekly
2015-12-27,62.0,57.0
2015-12-28,63.0,57.0
2015-12-29,76.0,57.0
2015-12-30,62.0,57.0
2015-12-31,57.0,57.0
2016-01-01,58.0,57.0
2016-01-02,65.0,57.0
2016-01-03,60.0,55.0
2016-01-04,58.0,55.0
2016-01-05,61.0,55.0
2016-01-06,62.0,55.0
2016-01-07,69.0,55.0
2016-01-08,54.0,55.0
2016-01-09,53.0,55.0
2016-01-10,54.0,50.0
2016-01-11,68.0,50.0
2016-01-12,58.0,50.0
2016-01-13,57.0,50.0
2016-01-14,57.0,50.0
2016-01-15,51.0,50.0
2016-01-16,51.0,50.0
2016-01-17,50.0,47.0
2016-01-18,49.0,47.0
2016-01-19,48.0,47.0
2016-01-20,60.0,47.0
2016-01-21,59.0,47.0
2016-01-22,46.0,47.0
2016-01-23,50.0,47.0
2016-01-24,53.0,52.0
2016-01-25,54.0,52.0
2016-01-26,55.0,52.0
2016-01-27,68.0,52.0
2016-01-28,60.0,52.0
2016-01-29,57.0,52.0
2016-01-30,54.0,52.0
2016-01-31,60.0,59.0
2016-02-01,69.0,59.0
2016-02-02,64.0,59.0
2016-02-03,63.0,59.0
2016-02-04,68.0,59.0
2016-02-05,67.0,59.0
2016-02-06,62.0,59.0
2016-02-07,76.0,63.0
2016-02-08,68.0,63.0
2016-02-09,71.0,63.0
2016-02-10,61.0,63.0
2016-02-11,78.0,63.0
2016-02-12,70.0,63.0
2016-02-13,55.0,63.0
2016-02-14,54.0,58.0
2016-02-15,67.0,58.0
2016-02-16,68.0,58.0
2016-02-17,75.0,58.0
2016-02-18,71.0,58.0
2016-02-19,64.0,58.0
2016-02-20,55.0,58.0
2016-02-21,70.0,68.0
2016-02-22,75.0,68.0
2016-02-23,73.0,68.0
2016-02-24,77.0,68.0
2016-02-25,70.0,68.0
2016-02-26,73.0,68.0
2016-02-27,78.0,68.0
2016-02-28,83.0,75.0
2016-02-29,77.0,75.0
2016-03-01,80.0,75.0
