date,raw_daily,raw_weekly,symptoms_harmonized_daily
2015.12.27,62,57,45.933186
2015.12.28,63,57,46.674046
2015.12.29,76,57,56.305199
2015.12.30,62,57,45.933186
2015.12.31,57,57,42.228897
2016.01.01,58,57,42.969753
2016.01.02,65,57,48.155758
2016.01.03,60,55,45.566074
2016.01.04,58,55,44.047203
2016.01.05,61,55,46.325508
2016.01.06,62,55,47.084942
2016.01.07,69,55,52.400986
2016.01.08,54,55,41.009468
2016.01.09,53,55,40.250031
2016.01.10,54,50,39.258373
2016.01.11,68,50,49.436474
2016.01.12,58,50,42.166401
2016.01.13,57,50,41.439396
2016.01.14,57,50,41.439396
2016.01.15,51,50,37.077354
2016.01.16,51,50,37.077354
2016.01.17,50,47,37.378601
2016.01.18,49,47,36.631031
2016.01.19,48,47,35.883457
2016.01.20,60,47,44.854321
2016.01.21,59,47,44.10675
2016.01.22,46,47,34.388313
2016.01.23,50,47,37.378601
2016.01.24,53,52,39.572964
2016.01.25,54,52,40.319626
2016.01.26,55,52,41.066288
2016.01.27,68,52,50.772861
2016.01.28,60,52,44.799583
2016.01.29,57,52,42.559605
2016.01.30,54,52,40.319626
2016.01.31,60,59,44.995472
2016.02.01,69,59,51.744793
2016.02.02,64,59,47.995171
2016.02.03,63,59,47.245243
2016.02.04,68,59,50.994865
2016.02.05,67,59,50.244942
2016.02.06,62,59,46.495319
2016.02.07,76,63,57.554909
2016.02.08,68,63,51.496494
2016.02.09,71,63,53.768402
2016.02.10,61,63,46.195385
2016.02.11,78,63,59.069508
2016.02.12,70,63,53.011101
2016.02.13,55,63,41.651577
2016.02.14,54,58,39.72187
2016.02.15,67,58,49.284538
2016.02.16,68,58,50.02013
2016.02.17,75,58,55.169262
2016.02.18,71,58,52.226898
2016.02.19,64,58,47.07777
2016.02.20,55,58,40.457458
2016.02.21,70,68,53.115463
2016.02.22,75,68,56.909424
2016.02.23,73,68,55.391838
2016.02.24,77,68,58.42701
2016.02.25,70,68,53.115463
2016.02.26,73,68,55.391838
2016.02.27,78,68,59.185802
2016.02.28,83,75,61.480103
2016.02.29,77,75,57.035751
2016.03.01,80,75,59.257927
2016.03.02,79,75,58.517204
2016.03.03,83,75,61.480103
2016.03.04,85,75,62.961544
2016.03.05,96,75,71.109512
2016.03.06,100,79,75.061668
2016.03.07,79,79,59.298717
2016.03.08,89,79,66.804886
2016.03.09,91,79,68.306114
2016.03.10,86,79,64.553032
2016.03.11,83,79,62.301189
2016.03.12,78,79,58.548107
2016.03.13,78,77,58.514244
2016.03.14,69,77,51.7626
2016.03.15,98,77,73.517899
2016.03.16,98,77,73.517899
2016.03.17,85,77,63.765522
2016.03.18,95,77,71.267349
2016.03.19,68,77,51.012417
2016.03.20,82,74,61.729519
2016.03.21,89,74,66.999115
2016.03.22,90,74,67.751915
2016.03.23,84,74,63.235119
2016.03.24,75,74,56.459927
2016.03.25,76,74,57.212727
2016.03.26,70,74,52.69593
2016.03.27,71,65,54.229965
2016.03.28,67,65,51.174759
2016.03.29,65,65,49.647156
2016.03.30,75,65,57.285175
2016.03.31,71,65,54.229965
2016.04.01,70,65,53.466167
2016.04.02,71,65,54.229965
2016.04.03,64,61,48.031673
2016.04.04,62,61,46.530685
2016.04.05,67,61,50.283157
2016.04.06,72,61,54.035637
2016.04.07,69,61,51.784149
2016.04.08,65,61,48.782169
2016.04.09,69,61,51.784149
2016.04.10,71,62,53.47311
2016.04.11,81,62,61.004536
2016.04.12,66,62,49.707397
2016.04.13,71,62,53.47311
2016.04.14,61,62,45.941689
2016.04.15,60,62,45.188541
2016.04.16,64,62,48.201115
2016.04.17,61,57,45.090546
2016.04.18,62,57,45.829735
2016.04.19,72,57,53.221626
2016.04.20,68,57,50.26487
2016.04.21,68,57,50.26487
2016.04.22,56,57,41.3946
2016.04.23,57,57,42.133785
2016.04.24,61,57,45.812817
2016.04.25,67,57,50.319
2016.04.26,63,57,47.314877
2016.04.27,62,57,46.563847
2016.04.28,57,57,42.808701
2016.04.29,58,57,43.559731
2016.04.30,69,57,51.821056
2016.05.01,66,56,48.58717
2016.05.02,64,56,47.11483
2016.05.03,61,56,44.906322
2016.05.04,58,56,42.697815
2016.05.05,65,56,47.850998
2016.05.06,66,56,48.58717
2016.05.07,58,56,42.697815
2016.05.08,68,55,51.272686
2016.05.09,64,55,48.256645
2016.05.10,59,55,44.486595
2016.05.11,52,55,39.208527
2016.05.12,58,55,43.732586
2016.05.13,57,55,42.978573
2016.05.14,62,55,46.748627
2016.05.15,63,56,47.462276
2016.05.16,51,56,38.421844
2016.05.17,57,56,42.942055
2016.05.18,55,56,41.435322
2016.05.19,72,56,54.242599
2016.05.20,65,56,48.969013
2016.05.21,65,56,48.969013
2016.05.22,59,49,44.38953
2016.05.23,61,49,45.89426
2016.05.24,60,49,45.141895
2016.05.25,52,49,39.122978
2016.05.26,49,49,36.865883
2016.05.27,48,49,36.113518
2016.05.28,46,49,34.608788
2016.05.29,47,47,35.331089
2016.05.30,50,47,37.586262
2016.05.31,45,47,33.827633
2016.06.01,59,47,44.351791
2016.06.02,58,47,43.600063
2016.06.03,62,47,46.606964
2016.06.04,39,47,29.317286
2016.06.05,46,40,34.066006
2016.06.06,48,40,35.547138
2016.06.07,46,40,34.066006
2016.06.08,46,40,34.066006
2016.06.09,38,40,28.141481
2016.06.10,42,40,31.103745
2016.06.11,45,40,33.325439
2016.06.12,48,39,36.170399
2016.06.13,48,39,36.170399
2016.06.14,43,39,32.402649
2016.06.15,41,39,30.89555
2016.06.16,40,39,30.142
2016.06.17,35,39,26.374252
2016.06.18,43,39,32.402649
2016.06.19,50,34,36.79858
2016.06.20,45,34,33.118717
2016.06.21,36,34,26.494976
2016.06.22,32,34,23.551088
2016.06.23,37,34,27.230947
2016.06.24,32,34,23.551088
2016.06.25,34,34,25.023033
2016.06.26,47,39,35.416851
2016.06.27,47,39,35.416851
2016.06.28,47,39,35.416851
2016.06.29,36,39,27.127802
2016.06.30,46,39,34.6633
2016.07.01,37,39,27.881351
2016.07.02,38,39,28.634901
2016.07.03,41,38,25.92717
2016.07.04,48,38,30.353758
2016.07.05,55,38,34.78035
2016.07.06,50,38,31.6185
2016.07.07,56,38,35.41272
2016.07.08,47,38,29.72139
2016.07.09,49,38,30.98613
2016.07.10,51,40,32.358418
2016.07.11,53,40,33.627377
2016.07.12,57,40,36.165291
2016.07.13,55,40,34.896332
2016.07.14,56,40,35.530811
2016.07.15,46,40,29.186026
2016.07.16,45,40,28.551546
2016.07.17,45,38,27.426184
2016.07.18,58,38,35.349304
2016.07.19,56,38,34.130363
2016.07.20,56,38,34.130363
2016.07.21,56,38,34.130363
2016.07.22,44,38,26.816713
2016.07.23,44,38,26.816713
2016.07.24,56,41,35.347935
2016.07.25,52,41,32.823082
2016.07.26,44,41,27.773376
2016.07.27,50,41,31.560656
2016.07.28,52,41,32.823082
2016.07.29,56,41,35.347935
2016.07.30,64,41,40.39764
2016.07.31,53,37,32.823349
2016.08.01,52,37,32.204041
2016.08.02,49,37,30.346115
2016.08.03,55,37,34.06197
2016.08.04,48,37,29.726807
2016.08.05,41,37,25.391647
2016.08.06,46,37,28.48819
2016.08.07,53,34,32.023853
2016.08.08,52,34,31.419626
2016.08.09,46,34,27.794287
2016.08.10,46,34,27.794287
2016.08.11,48,34,29.002733
2016.08.12,43,34,25.981615
2016.08.13,36,34,21.75205
2016.08.14,49,31,30.474712
2016.08.15,46,31,28.608913
2016.08.16,35,31,21.767653
2016.08.17,39,31,24.255383
2016.08.18,42,31,26.121183
2016.08.19,40,31,24.877317
2016.08.20,36,31,22.389585
2016.08.21,37,31,22.931616
2016.08.22,37,31,22.931616
2016.08.23,36,31,22.311844
2016.08.24,39,31,24.171164
2016.08.25,39,31,24.171164
2016.08.26,53,31,32.847992
2016.08.27,47,31,29.129351
2016.08.28,49,34,30.745684
2016.08.29,43,34,26.980906
2016.08.30,41,34,25.725979
2016.08.31,44,34,27.608368
2016.09.01,52,34,32.628071
2016.09.02,43,34,26.980906
2016.09.03,40,34,25.098516
2016.09.04,53,35,33.273819
2016.09.05,50,35,31.390394
2016.09.06,44,35,27.623547
2016.09.07,47,35,29.506969
2016.09.08,40,35,25.112314
2016.09.09,44,35,27.623547
2016.09.10,43,35,26.995737
2016.09.11,51,37,31.402164
2016.09.12,46,37,28.323521
2016.09.13,49,37,30.170706
2016.09.14,51,37,31.402164
2016.09.15,48,37,29.554977
2016.09.16,49,37,30.170706
2016.09.17,52,37,32.017891
2016.09.18,51,42,31.86928
2016.09.19,51,42,31.86928
2016.09.20,53,42,33.119057
2016.09.21,63,42,39.367935
2016.09.22,60,42,37.493271
2016.09.23,54,42,33.743942
2016.09.24,55,42,34.368832
2016.09.25,67,44,40.511395
2016.09.26,56,44,33.860271
2016.09.27,59,44,35.674213
2016.09.28,52,44,31.441679
2016.09.29,61,44,36.883511
2016.09.30,64,44,38.697453
2016.10.01,60,44,36.278862
2016.10.02,61,49,38.415955
2016.10.03,60,49,37.786186
2016.10.04,59,49,37.156418
2016.10.05,64,49,40.305267
2016.10.06,66,49,41.564804
