date,prefecture,raw_daily,raw_weekly,anxietydrug2_harmonized_daily
2015.12.27,Aichi,0,28,0
2015.12.28,Aichi,16,28,10.668822
2015.12.29,Aichi,0,28,0
2015.12.30,Aichi,16,28,10.668822
2015.12.31,Aichi,15,28,10.002021
2016.01.01,Aichi,18,28,12.002425
2016.01.02,Aichi,36,28,24.00485
2016.01.03,Aichi,0,53,0
2016.01.04,Aichi,33,53,30.932194
2016.01.05,Aichi,0,53,0
2016.01.06,Aichi,0,53,0
2016.01.07,Aichi,34,53,31.869532
2016.01.08,Aichi,18,53,16.872105
2016.01.09,Aichi,51,53,47.804298
2016.01.10,Aichi,0,53,0
2016.01.11,Aichi,0,53,0
2016.01.12,Aichi,34,53,27.60673
2016.01.13,Aichi,18,53,14.615328
2016.01.14,Aichi,53,53,43.034019
2016.01.15,Aichi,18,53,14.615328
2016.01.16,Aichi,34,53,27.60673
2016.01.17,Aichi,16,59,13.356199
2016.01.18,Aichi,17,59,14.190962
2016.01.19,Aichi,17,59,14.190962
2016.01.20,Aichi,17,59,14.190962
2016.01.21,Aichi,34,59,28.381924
2016.01.22,Aichi,52,59,43.407646
2016.01.23,Aichi,17,59,14.190962
2016.01.24,Aichi,16,41,13.148688
2016.01.25,Aichi,52,41,42.733238
2016.01.26,Aichi,18,41,14.792274
2016.01.27,Aichi,17,41,13.970481
2016.01.28,Aichi,0,41,0
2016.01.29,Aichi,0,41,0
2016.01.30,Aichi,17,41,13.970481
2016.01.31,Aichi,0,35,0
2016.02.01,Aichi,0,35,0
2016.02.02,Aichi,34,35,28.061226
2016.02.03,Aichi,17,35,14.030613
2016.02.04,Aichi,0,35,0
2016.02.05,Aichi,34,35,28.061226
2016.02.06,Aichi,17,35,14.030613
2016.02.07,Aichi,0,40,0
2016.02.08,Aichi,17,40,12.39067
2016.02.09,Aichi,33,40,24.052479
2016.02.10,Aichi,17,40,12.39067
2016.02.11,Aichi,0,40,0
2016.02.12,Aichi,33,40,24.052479
2016.02.13,Aichi,32,40,23.323614
2016.02.14,Aichi,0,58,0
2016.02.15,Aichi,50,58,41.767773
2016.02.16,Aichi,17,58,14.201043
2016.02.17,Aichi,17,58,14.201043
2016.02.18,Aichi,0,58,0
