date,prefecture,raw_daily,raw_weekly,medication_harmonized_daily
2015.12.27,Aichi,6,7,2.503876
2015.12.28,Aichi,11,7,4.5904388
2015.12.29,Aichi,6,7,2.503876
2015.12.30,Aichi,12,7,5.0077519
2015.12.31,Aichi,22,7,9.1808777
2016.01.01,Aichi,6,7,2.503876
2016.01.02,Aichi,0,7,0
2016.01.03,Aichi,6,5,2.2994778
2016.01.04,Aichi,6,5,2.2994778
2016.01.05,Aichi,6,5,2.2994778
2016.01.06,Aichi,6,5,2.2994778
2016.01.07,Aichi,12,5,4.5989556
2016.01.08,Aichi,13,5,4.9822021
2016.01.09,Aichi,0,5,0
2016.01.10,Aichi,12,10,5.8532162
2016.01.11,Aichi,17,10,8.292057
2016.01.12,Aichi,6,10,2.9266081
2016.01.13,Aichi,6,10,2.9266081
2016.01.14,Aichi,12,10,5.8532162
2016.01.15,Aichi,6,10,2.9266081
2016.01.16,Aichi,18,10,8.7798243
2016.01.17,Aichi,0,8,0
2016.01.18,Aichi,18,8,8.1945028
2016.01.19,Aichi,24,8,10.926003
2016.01.20,Aichi,6,8,2.7315009
2016.01.21,Aichi,6,8,2.7315009
2016.01.22,Aichi,6,8,2.7315009
2016.01.23,Aichi,6,8,2.7315009
2016.01.24,Aichi,12,6,6.4385381
2016.01.25,Aichi,6,6,3.219269
2016.01.26,Aichi,0,6,0
2016.01.27,Aichi,6,6,3.219269
2016.01.28,Aichi,0,6,0
2016.01.29,Aichi,6,6,3.219269
2016.01.30,Aichi,12,6,6.4385381
2016.01.31,Aichi,18,11,7.2906971
2016.02.01,Aichi,24,11,9.7209301
2016.02.02,Aichi,18,11,7.2906971
2016.02.03,Aichi,24,11,9.7209301
2016.02.04,Aichi,12,11,4.860465
2016.02.05,Aichi,6,11,2.4302325
2016.02.06,Aichi,0,11,0
2016.02.07,Aichi,6,11,2.4542942
2016.02.08,Aichi,12,11,4.9085884
2016.02.09,Aichi,24,11,9.8171768
2016.02.10,Aichi,24,11,9.8171768
2016.02.11,Aichi,17,11,6.9538336
2016.02.12,Aichi,12,11,4.9085884
2016.02.13,Aichi,6,11,2.4542942
2016.02.14,Aichi,17,15,7.0421505
2016.02.15,Aichi,30,15,12.427325
2016.02.16,Aichi,6,15,2.485465
2016.02.17,Aichi,30,15,12.427325
2016.02.18,Aichi,12,15,4.9709301
2016.02.19,Aichi,30,15,12.427325
2016.02.20,Aichi,11,15,4.5566854
2016.02.21,Aichi,30,20,11.923218
2016.02.22,Aichi,30,20,11.923218
2016.02.23,Aichi,30,20,11.923218
2016.02.24,Aichi,43,20,17.089945
2016.02.25,Aichi,19,20,7.5513716
2016.02.26,Aichi,19,20,7.5513716
2016.02.27,Aichi,18,20,7.1539307
2016.02.28,Aichi,41,30,16.617449
2016.02.29,Aichi,24,30,9.7272873
2016.03.01,Aichi,36,30,14.590931
2016.03.02,Aichi,30,30,12.159109
2016.03.03,Aichi,24,30,9.7272873
2016.03.04,Aichi,59,30,23.912914
2016.03.05,Aichi,64,30,25.939432
2016.03.06,Aichi,28,50,11.18753
2016.03.07,Aichi,78,50,31.165264
2016.03.08,Aichi,57,50,22.774616
2016.03.09,Aichi,90,50,35.959915
2016.03.10,Aichi,64,50,25.571497
2016.03.11,Aichi,53,50,21.176395
2016.03.12,Aichi,100,50,39.955463
2016.03.13,Aichi,63,47,24.768295
2016.03.14,Aichi,40,47,15.725902
2016.03.15,Aichi,65,47,25.554588
2016.03.16,Aichi,95,47,37.349018
2016.03.17,Aichi,71,47,27.913475
2016.03.18,Aichi,52,47,20.44367
2016.03.19,Aichi,63,47,24.768295
2016.03.20,Aichi,12,32,4.8560019
2016.03.21,Aichi,58,32,23.470676
2016.03.22,Aichi,64,32,25.898678
2016.03.23,Aichi,41,32,16.591341
2016.03.24,Aichi,70,32,28.326679
2016.03.25,Aichi,29,32,11.735338
2016.03.26,Aichi,23,32,9.3073368
2016.03.27,Aichi,40,27,16.624092
2016.03.28,Aichi,45,27,18.702105
2016.03.29,Aichi,33,27,13.714876
2016.03.30,Aichi,57,27,23.689333
2016.03.31,Aichi,29,27,12.052467
2016.04.01,Aichi,17,27,7.0652399
2016.04.02,Aichi,23,27,9.5588531
2016.04.03,Aichi,11,18,4.479826
2016.04.04,Aichi,28,18,11.403194
2016.04.05,Aichi,40,18,16.290277
2016.04.06,Aichi,17,18,6.923368
2016.04.07,Aichi,29,18,11.810451
2016.04.08,Aichi,18,18,7.3306246
2016.04.09,Aichi,23,18,9.36691
2016.04.10,Aichi,11,10,4.3951011
2016.04.11,Aichi,12,10,4.7946558
2016.04.12,Aichi,12,10,4.7946558
2016.04.13,Aichi,12,10,4.7946558
2016.04.14,Aichi,12,10,4.7946558
2016.04.15,Aichi,24,10,9.5893116
2016.04.16,Aichi,11,10,4.3951011
2016.04.17,Aichi,16,9,7.2111621
2016.04.18,Aichi,12,9,5.4083719
2016.04.19,Aichi,12,9,5.4083719
2016.04.20,Aichi,12,9,5.4083719
2016.04.21,Aichi,0,9,0
2016.04.22,Aichi,12,9,5.4083719
2016.04.23,Aichi,11,9,4.957674
2016.04.24,Aichi,11,10,4.4423604
2016.04.25,Aichi,6,10,2.4231057
2016.04.26,Aichi,12,10,4.8462114
2016.04.27,Aichi,29,10,11.711678
