raw_daily,raw_weekly,prefecture,date,pollen_harmonized_daily
1,2,Aichi,2017.12.31,.81285709
1,2,Aichi,2018.01.01,.81285709
1,2,Aichi,2018.01.02,.81285709
2,2,Aichi,2018.01.03,1.6257142
3,2,Aichi,2018.01.04,2.4385712
3,2,Aichi,2018.01.05,2.4385712
3,2,Aichi,2018.01.06,2.4385712
2,2,Aichi,2018.01.07,1.1978947
1,2,Aichi,2018.01.08,.59894735
1,2,Aichi,2018.01.09,.59894735
4,2,Aichi,2018.01.10,2.3957894
4,2,Aichi,2018.01.11,2.3957894
3,2,Aichi,2018.01.12,1.7968421
4,2,Aichi,2018.01.13,2.3957894
3,3,Aichi,2018.01.14,2.1337497
5,3,Aichi,2018.01.15,3.5562496
3,3,Aichi,2018.01.16,2.1337497
3,3,Aichi,2018.01.17,2.1337497
4,3,Aichi,2018.01.18,2.8449998
4,3,Aichi,2018.01.19,2.8449998
2,3,Aichi,2018.01.20,1.4224999
4,3,Aichi,2018.01.21,2.5288887
6,3,Aichi,2018.01.22,3.7933333
2,3,Aichi,2018.01.23,1.2644444
3,3,Aichi,2018.01.24,1.8966666
5,3,Aichi,2018.01.25,3.1611109
4,3,Aichi,2018.01.26,2.5288887
3,3,Aichi,2018.01.27,1.8966666
6,6,Aichi,2018.01.28,4.7637205
8,6,Aichi,2018.01.29,6.3516273
4,6,Aichi,2018.01.30,3.1758137
6,6,Aichi,2018.01.31,4.7637205
6,6,Aichi,2018.02.01,4.7637205
8,6,Aichi,2018.02.02,6.3516273
5,6,Aichi,2018.02.03,3.9697671
7,7,Aichi,2018.02.04,5.3617306
7,7,Aichi,2018.02.05,5.3617306
7,7,Aichi,2018.02.06,5.3617306
10,7,Aichi,2018.02.07,7.6596146
6,7,Aichi,2018.02.08,4.5957689
9,7,Aichi,2018.02.09,6.8936534
6,7,Aichi,2018.02.10,4.5957689
4,9,Aichi,2018.02.11,2.8449998
8,9,Aichi,2018.02.12,5.6899996
14,9,Aichi,2018.02.13,9.9574995
