date,prefecture,raw_daily,raw_weekly,suicide_harmonized_daily
2014.12.28,Aichi,15,34,12.982814
2014.12.29,Aichi,12,34,10.38625
2014.12.30,Aichi,8,34,6.9241672
2014.12.31,Aichi,15,34,12.982814
2015.01.01,Aichi,9,34,7.7896881
2015.01.02,Aichi,19,34,16.444897
2015.01.03,Aichi,17,34,14.713856
2015.01.04,Aichi,22,30,18.77791
2015.01.05,Aichi,7,30,5.9747896
2015.01.06,Aichi,4,30,3.4141657
2015.01.07,Aichi,13,30,11.096038
2015.01.08,Aichi,9,30,7.6818728
2015.01.09,Aichi,14,30,11.949579
2015.01.10,Aichi,16,30,13.656663
2015.01.11,Aichi,6,24,5.2764378
2015.01.12,Aichi,6,24,5.2764378
2015.01.13,Aichi,4,24,3.5176251
2015.01.14,Aichi,6,24,5.2764378
2015.01.15,Aichi,15,24,13.191093
2015.01.16,Aichi,9,24,7.9146566
2015.01.17,Aichi,20,24,17.588125
2015.01.18,Aichi,16,37,13.76609
2015.01.19,Aichi,9,37,7.7434263
2015.01.20,Aichi,13,37,11.184949
2015.01.21,Aichi,16,37,13.76609
2015.01.22,Aichi,16,37,13.76609
2015.01.23,Aichi,17,37,14.626471
2015.01.24,Aichi,17,37,14.626471
2015.01.25,Aichi,17,31,14.81953
2015.01.26,Aichi,16,31,13.947793
2015.01.27,Aichi,18,31,15.691268
2015.01.28,Aichi,5,31,4.3586855
2015.01.29,Aichi,11,31,9.5891075
2015.01.30,Aichi,13,31,11.332582
2015.01.31,Aichi,6,31,5.2304225
2015.02.01,Aichi,11,29,9.643239
2015.02.02,Aichi,4,29,3.5066326
2015.02.03,Aichi,11,29,9.643239
2015.02.04,Aichi,13,29,11.396556
2015.02.05,Aichi,18,29,15.779846
2015.02.06,Aichi,7,29,6.1366067
2015.02.07,Aichi,16,29,14.02653
2015.02.08,Aichi,13,33,10.920838
2015.02.09,Aichi,21,33,17.641354
2015.02.10,Aichi,12,33,10.080774
2015.02.11,Aichi,14,33,11.760902
2015.02.12,Aichi,6,33,5.0403872
2015.02.13,Aichi,8,33,6.7205162
2015.02.14,Aichi,21,33,17.641354
2015.02.15,Aichi,12,34,10.609612
2015.02.16,Aichi,11,34,9.7254772
2015.02.17,Aichi,13,34,11.493746
2015.02.18,Aichi,18,34,15.914416
2015.02.19,Aichi,12,34,10.609612
2015.02.20,Aichi,10,34,8.8413429
2015.02.21,Aichi,17,34,15.030283
2015.02.22,Aichi,24,51,20.556122
2015.02.23,Aichi,8,51,6.8520412
2015.02.24,Aichi,12,51,10.278061
2015.02.25,Aichi,16,51,13.704082
2015.02.26,Aichi,13,51,11.134566
2015.02.27,Aichi,48,51,41.112244
2015.02.28,Aichi,23,51,19.699617
2015.03.01,Aichi,21,35,18.515625
2015.03.02,Aichi,17,35,14.988838
2015.03.03,Aichi,8,35,7.0535712
2015.03.04,Aichi,6,35,5.2901788
2015.03.05,Aichi,4,35,3.5267856
2015.03.06,Aichi,24,35,21.160715
2015.03.07,Aichi,16,35,14.107142
2015.03.08,Aichi,27,47,23.975845
2015.03.09,Aichi,18,47,15.983896
2015.03.10,Aichi,21,47,18.647879
2015.03.11,Aichi,27,47,23.975845
2015.03.12,Aichi,2,47,1.7759885
2015.03.13,Aichi,18,47,15.983896
2015.03.14,Aichi,15,47,13.319914
2015.03.15,Aichi,16,36,13.791877
2015.03.16,Aichi,13,36,11.205899
2015.03.17,Aichi,10,36,8.6199226
2015.03.18,Aichi,16,36,13.791877
2015.03.19,Aichi,23,36,19.825823
2015.03.20,Aichi,8,36,6.8959384
2015.03.21,Aichi,15,36,12.929885
2015.03.22,Aichi,17,34,14.870386
2015.03.23,Aichi,19,34,16.619844
2015.03.24,Aichi,10,34,8.7472858
2015.03.25,Aichi,6,34,5.2483721
2015.03.26,Aichi,23,34,20.118759
2015.03.27,Aichi,4,34,3.4989145
2015.03.28,Aichi,15,34,13.12093
2015.03.29,Aichi,4,25,3.5564227
2015.03.30,Aichi,10,25,8.8910561
2015.03.31,Aichi,6,25,5.3346343
2015.04.01,Aichi,15,25,13.336585
2015.04.02,Aichi,10,25,8.8910561
2015.04.03,Aichi,8,25,7.1128454
2015.04.04,Aichi,15,25,13.336585
