raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
36,54,Aichi,2017.12.31,29.626024
40,54,Aichi,2018.01.01,32.917805
45,54,Aichi,2018.01.02,37.032532
37,54,Aichi,2018.01.03,30.448971
57,54,Aichi,2018.01.04,46.907871
37,54,Aichi,2018.01.05,30.448971
40,54,Aichi,2018.01.06,32.917805
28,45,Aichi,2018.01.07,23.074072
49,45,Aichi,2018.01.08,40.379627
30,45,Aichi,2018.01.09,24.722219
29,45,Aichi,2018.01.10,23.898146
24,45,Aichi,2018.01.11,19.777777
35,45,Aichi,2018.01.12,28.84259
48,45,Aichi,2018.01.13,39.555553
35,52,Aichi,2018.01.14,28.822063
59,52,Aichi,2018.01.15,48.585766
45,52,Aichi,2018.01.16,37.056938
28,52,Aichi,2018.01.17,23.05765
40,52,Aichi,2018.01.18,32.939503
41,52,Aichi,2018.01.19,33.762989
33,52,Aichi,2018.01.20,27.175087
43,52,Aichi,2018.01.21,34.669685
46,52,Aichi,2018.01.22,37.088501
26,52,Aichi,2018.01.23,20.963064
44,52,Aichi,2018.01.24,35.475956
40,52,Aichi,2018.01.25,32.25087
52,52,Aichi,2018.01.26,41.926128
36,52,Aichi,2018.01.27,29.025782
55,54,Aichi,2018.01.28,45.890625
44,54,Aichi,2018.01.29,36.712498
27,54,Aichi,2018.01.30,22.528124
48,54,Aichi,2018.01.31,40.049999
38,54,Aichi,2018.02.01,31.706249
39,54,Aichi,2018.02.02,32.540623
37,54,Aichi,2018.02.03,30.871874
27,45,Aichi,2018.02.04,21.626999
43,45,Aichi,2018.02.05,34.443001
46,45,Aichi,2018.02.06,36.845997
35,45,Aichi,2018.02.07,28.034998
32,45,Aichi,2018.02.08,25.632
37,45,Aichi,2018.02.09,29.636999
30,45,Aichi,2018.02.10,24.029999
28,52,Aichi,2018.02.11,22.734034
53,52,Aichi,2018.02.12,43.032276
37,52,Aichi,2018.02.13,30.041401
45,52,Aichi,2018.02.14,36.536839
52,52,Aichi,2018.02.15,42.220348
46,52,Aichi,2018.02.16,37.34877
24,52,Aichi,2018.02.17,19.486315
28,54,Aichi,2018.02.18,22.654547
53,54,Aichi,2018.02.19,42.881821
46,54,Aichi,2018.02.20,37.218185
75,54,Aichi,2018.02.21,60.68182
29,54,Aichi,2018.02.22,23.463636
35,54,Aichi,2018.02.23,28.318184
31,54,Aichi,2018.02.24,25.08182
56,45,Aichi,2018.02.25,46.148144
27,45,Aichi,2018.02.26,22.25
39,45,Aichi,2018.02.27,32.138885
48,45,Aichi,2018.02.28,39.555553
34,45,Aichi,2018.03.01,28.018518
20,45,Aichi,2018.03.02,16.48148
19,45,Aichi,2018.03.03,15.657407
37,62,Aichi,2018.03.04,30.024408
32,62,Aichi,2018.03.05,25.967056
60,62,Aichi,2018.03.06,48.688232
62,62,Aichi,2018.03.07,50.311172
68,62,Aichi,2018.03.08,55.179996
41,62,Aichi,2018.03.09,33.270294
40,62,Aichi,2018.03.10,32.45882
51,84,Aichi,2018.03.11,41.533333
66,84,Aichi,2018.03.12,53.749016
57,84,Aichi,2018.03.13,46.419605
100,84,Aichi,2018.03.14,81.437912
81,84,Aichi,2018.03.15,65.964706
53,84,Aichi,2018.03.16,43.16209
51,84,Aichi,2018.03.17,41.533333
56,48,Aichi,2018.03.18,45.654961
28,48,Aichi,2018.03.19,22.82748
28,48,Aichi,2018.03.20,22.82748
31,48,Aichi,2018.03.21,25.273283
35,48,Aichi,2018.03.22,28.534351
39,48,Aichi,2018.03.23,31.795422
45,48,Aichi,2018.03.24,36.687023
63,89,Aichi,2018.03.25,51.55196
79,89,Aichi,2018.03.26,64.644524
61,89,Aichi,2018.03.27,49.91539
58,89,Aichi,2018.03.28,47.460537
64,89,Aichi,2018.03.29,52.370247
91,89,Aichi,2018.03.30,74.463943
68,89,Aichi,2018.03.31,55.643387
54,86,Aichi,2018.04.01,44.157692
90,86,Aichi,2018.04.02,73.596153
87,86,Aichi,2018.04.03,71.142952
95,86,Aichi,2018.04.04,77.68483
73,86,Aichi,2018.04.05,59.69466
37,86,Aichi,2018.04.06,30.256199
32,86,Aichi,2018.04.07,26.167522
37,53,Aichi,2018.04.08,30.300171
48,53,Aichi,2018.04.09,39.308331
44,53,Aichi,2018.04.10,36.032635
31,53,Aichi,2018.04.11,25.386631
44,53,Aichi,2018.04.12,36.032635
44,53,Aichi,2018.04.13,36.032635
40,53,Aichi,2018.04.14,32.756943
35,57,Aichi,2018.04.15,28.454327
46,57,Aichi,2018.04.16,37.397114
34,57,Aichi,2018.04.17,27.641346
37,57,Aichi,2018.04.18,30.080286
51,57,Aichi,2018.04.19,41.462017
42,57,Aichi,2018.04.20,34.145191
67,57,Aichi,2018.04.21,54.469711
49,51,Aichi,2018.04.22,39.716248
32,51,Aichi,2018.04.23,25.937141
25,51,Aichi,2018.04.24,20.263391
45,51,Aichi,2018.04.25,36.474106
40,51,Aichi,2018.04.26,32.421429
38,51,Aichi,2018.04.27,30.800356
51,51,Aichi,2018.04.28,41.337322
38,41,Aichi,2018.04.29,30.542292
34,41,Aichi,2018.04.30,27.327312
43,41,Aichi,2018.05.01,34.561016
25,41,Aichi,2018.05.02,20.093613
