date,raw_daily,raw_weekly,prefecture
2015-12-27,21.0,86.0,Hokkaido
2015-12-28,59.0,86.0,Hokkaido
2015-12-29,62.0,86.0,Hokkaido
2015-12-30,0.0,86.0,Hokkaido
2015-12-31,45.0,86.0,Hokkaido
2016-01-01,33.0,86.0,Hokkaido
2016-01-02,38.0,86.0,Hokkaido
2016-01-03,24.0,79.0,Hokkaido
2016-01-04,35.0,79.0,Hokkaido
2016-01-05,35.0,79.0,Hokkaido
2016-01-06,12.0,79.0,Hokkaido
2016-01-07,12.0,79.0,Hokkaido
2016-01-08,23.0,79.0,Hokkaido
2016-01-09,58.0,79.0,Hokkaido
2016-01-10,12.0,37.0,Hokkaido
2016-01-11,11.0,37.0,Hokkaido
2016-01-12,11.0,37.0,Hokkaido
2016-01-13,11.0,37.0,Hokkaido
2016-01-14,11.0,37.0,Hokkaido
2016-01-15,23.0,37.0,Hokkaido
2016-01-16,12.0,37.0,Hokkaido
2016-01-17,58.0,80.0,Hokkaido
2016-01-18,22.0,80.0,Hokkaido
2016-01-19,56.0,80.0,Hokkaido
2016-01-20,23.0,80.0,Hokkaido
2016-01-21,23.0,80.0,Hokkaido
2016-01-22,24.0,80.0,Hokkaido
2016-01-23,0.0,80.0,Hokkaido
2016-01-24,12.0,73.0,Hokkaido
2016-01-25,47.0,73.0,Hokkaido
2016-01-26,36.0,73.0,Hokkaido
2016-01-27,35.0,73.0,Hokkaido
2016-01-28,36.0,73.0,Hokkaido
2016-01-29,12.0,73.0,Hokkaido
2016-01-30,0.0,73.0,Hokkaido
2016-01-31,58.0,58.0,Hokkaido
2016-02-01,46.0,58.0,Hokkaido
2016-02-02,12.0,58.0,Hokkaido
2016-02-03,12.0,58.0,Hokkaido
2016-02-04,23.0,58.0,Hokkaido
2016-02-05,0.0,58.0,Hokkaido
2016-02-06,11.0,58.0,Hokkaido
2016-02-07,45.0,82.0,Hokkaido
2016-02-08,11.0,82.0,Hokkaido
2016-02-09,11.0,82.0,Hokkaido
2016-02-10,0.0,82.0,Hokkaido
2016-02-11,45.0,82.0,Hokkaido
2016-02-12,100.0,82.0,Hokkaido
2016-02-13,33.0,82.0,Hokkaido
2016-02-14,22.0,65.0,Hokkaido
2016-02-15,23.0,65.0,Hokkaido
2016-02-16,23.0,65.0,Hokkaido
2016-02-17,11.0,65.0,Hokkaido
2016-02-18,35.0,65.0,Hokkaido
2016-02-19,58.0,65.0,Hokkaido
2016-02-20,23.0,65.0,Hokkaido
2016-02-21,45.0,80.0,Hokkaido
2016-02-22,35.0,80.0,Hokkaido
2016-02-23,34.0,80.0,Hokkaido
2016-02-24,12.0,80.0,Hokkaido
2016-02-25,47.0,80.0,Hokkaido
2016-02-26,0.0,80.0,Hokkaido
2016-02-27,11.0,80.0,Hokkaido
2016-02-28,34.0,60.0,Hokkaido
2016-02-29,32.0,60.0,Hokkaido
2016-03-01,11.0,60.0,Hokkaido
2016-03-02,34.0,60.0,Hokkaido
2016-03-03,11.0,60.0,Hokkaido
2016-03-04,44.0,60.0,Hokkaido
2016-03-05,44.0,60.0,Hokkaido
2016-03-06,11.0,32.0,Hokkaido
2016-03-07,11.0,32.0,Hokkaido
2016-03-08,21.0,32.0,Hokkaido
2016-03-09,21.0,32.0,Hokkaido
2016-03-10,0.0,32.0,Hokkaido
2016-03-11,0.0,32.0,Hokkaido
2016-03-12,33.0,32.0,Hokkaido
2016-03-13,33.0,60.0,Hokkaido
2016-03-14,0.0,60.0,Hokkaido
2016-03-15,33.0,60.0,Hokkaido
2016-03-16,11.0,60.0,Hokkaido
2016-03-17,22.0,60.0,Hokkaido
2016-03-18,67.0,60.0,Hokkaido
2016-03-19,11.0,60.0,Hokkaido
2016-03-20,56.0,95.0,Hokkaido
2016-03-21,32.0,95.0,Hokkaido
2016-03-22,44.0,95.0,Hokkaido
2016-03-23,44.0,95.0,Hokkaido
2016-03-24,22.0,95.0,Hokkaido
2016-03-25,33.0,95.0,Hokkaido
2016-03-26,33.0,95.0,Hokkaido
2016-03-27,32.0,69.0,Hokkaido
2016-03-28,31.0,69.0,Hokkaido
2016-03-29,31.0,69.0,Hokkaido
2016-03-30,21.0,69.0,Hokkaido
2016-03-31,21.0,69.0,Hokkaido
2016-04-01,32.0,69.0,Hokkaido
2016-04-02,31.0,69.0,Hokkaido
2016-04-03,81.0,50.0,Hokkaido
2016-04-04,31.0,50.0,Hokkaido
2016-04-05,11.0,50.0,Hokkaido
2016-04-06,11.0,50.0,Hokkaido
2016-04-07,10.0,50.0,Hokkaido
2016-04-08,11.0,50.0,Hokkaido
2016-04-09,0.0,50.0,Hokkaido
2016-04-10,10.0,39.0,Hokkaido
2016-04-11,0.0,39.0,Hokkaido
2016-04-12,22.0,39.0,Hokkaido
2016-04-13,43.0,39.0,Hokkaido
2016-04-14,0.0,39.0,Hokkaido
2016-04-15,11.0,39.0,Hokkaido
2016-04-16,32.0,39.0,Hokkaido
2016-04-17,20.0,31.0,Hokkaido
2016-04-18,21.0,31.0,Hokkaido
2016-04-19,11.0,31.0,Hokkaido
2016-04-20,11.0,31.0,Hokkaido
2016-04-21,11.0,31.0,Hokkaido
2016-04-22,11.0,31.0,Hokkaido
2016-04-23,0.0,31.0,Hokkaido
2016-04-24,10.0,42.0,Hokkaido
2016-04-25,22.0,42.0,Hokkaido
2016-04-26,22.0,42.0,Hokkaido
2016-04-27,22.0,42.0,Hokkaido
2016-04-28,11.0,42.0,Hokkaido
2016-04-29,10.0,42.0,Hokkaido
2016-04-30,30.0,42.0,Hokkaido
