date,prefecture,raw_daily,raw_weekly,depression2_harmonized_daily
2015.12.27,Aichi,49,59,32.265625
2015.12.28,Aichi,55,59,36.216518
2015.12.29,Aichi,42,59,27.656252
2015.12.30,Aichi,75,59,49.386162
2015.12.31,Aichi,29,59,19.095982
2016.01.01,Aichi,41,59,26.997768
2016.01.02,Aichi,45,59,29.631699
2016.01.03,Aichi,65,68,41.962029
2016.01.04,Aichi,59,68,38.088612
2016.01.05,Aichi,60,68,38.73418
2016.01.06,Aichi,76,68,49.063297
2016.01.07,Aichi,56,68,36.151905
2016.01.08,Aichi,34,68,21.949369
2016.01.09,Aichi,45,68,29.050636
2016.01.10,Aichi,45,79,29.42881
2016.01.11,Aichi,72,79,47.086098
2016.01.12,Aichi,78,79,51.009937
2016.01.13,Aichi,80,79,52.317886
2016.01.14,Aichi,62,79,40.546364
2016.01.15,Aichi,68,79,44.470203
2016.01.16,Aichi,48,79,31.39073
2016.01.17,Aichi,37,63,25.04656
2016.01.18,Aichi,41,63,27.754299
2016.01.19,Aichi,56,63,37.90831
2016.01.20,Aichi,51,63,34.52364
2016.01.21,Aichi,57,63,38.585247
2016.01.22,Aichi,58,63,39.262177
2016.01.23,Aichi,49,63,33.169769
2016.01.24,Aichi,63,62,40.800838
2016.01.25,Aichi,49,62,31.733986
2016.01.26,Aichi,62,62,40.15321
2016.01.27,Aichi,61,62,39.505573
2016.01.28,Aichi,39,62,25.257662
2016.01.29,Aichi,41,62,26.552927
2016.01.30,Aichi,44,62,28.495825
2016.01.31,Aichi,49,85,32.8125
2016.02.01,Aichi,93,85,62.276791
2016.02.02,Aichi,68,85,45.535717
2016.02.03,Aichi,60,85,40.178574
2016.02.04,Aichi,67,85,44.866074
2016.02.05,Aichi,84,85,56.250004
2016.02.06,Aichi,55,85,36.83036
2016.02.07,Aichi,70,78,46.534096
2016.02.08,Aichi,65,78,43.210228
2016.02.09,Aichi,67,78,44.539776
2016.02.10,Aichi,70,78,46.534096
2016.02.11,Aichi,37,78,24.596592
2016.02.12,Aichi,67,78,44.539776
2016.02.13,Aichi,64,78,42.545456
2016.02.14,Aichi,45,70,29.166668
2016.02.15,Aichi,85,70,55.092598
2016.02.16,Aichi,63,70,40.833336
2016.02.17,Aichi,51,70,33.055557
2016.02.18,Aichi,60,70,38.888889
2016.02.19,Aichi,39,70,25.277779
2016.02.20,Aichi,62,70,40.185188
2016.02.21,Aichi,41,64,27.409472
2016.02.22,Aichi,59,64,39.442898
2016.02.23,Aichi,63,64,42.116993
2016.02.24,Aichi,52,64,34.763233
2016.02.25,Aichi,53,64,35.431755
2016.02.26,Aichi,55,64,36.768803
2016.02.27,Aichi,36,64,24.066853
2016.02.28,Aichi,55,76,36.117516
2016.02.29,Aichi,71,76,46.624428
2016.03.01,Aichi,51,76,33.490784
2016.03.02,Aichi,66,76,43.341019
2016.03.03,Aichi,82,76,53.847927
2016.03.04,Aichi,55,76,36.117516
2016.03.05,Aichi,54,76,35.460831
2016.03.06,Aichi,47,69,31.262856
2016.03.07,Aichi,77,69,51.217869
2016.03.08,Aichi,48,69,31.92802
2016.03.09,Aichi,98,69,65.186378
2016.03.10,Aichi,46,69,30.597689
2016.03.11,Aichi,23,69,15.298844
2016.03.12,Aichi,50,69,33.258354
2016.03.13,Aichi,74,79,47.76144
2016.03.14,Aichi,65,79,41.952621
2016.03.15,Aichi,65,79,41.952621
2016.03.16,Aichi,82,79,52.924843
2016.03.17,Aichi,56,79,36.143795
2016.03.18,Aichi,43,79,27.753271
2016.03.19,Aichi,74,79,47.76144
2016.03.20,Aichi,66,70,45.000004
2016.03.21,Aichi,54,70,36.818184
2016.03.22,Aichi,49,70,33.409092
2016.03.23,Aichi,55,70,37.500004
2016.03.24,Aichi,75,70,51.136364
2016.03.25,Aichi,37,70,25.227274
2016.03.26,Aichi,49,70,33.409092
2016.03.27,Aichi,40,59,26.576576
2016.03.28,Aichi,55,59,36.542793
2016.03.29,Aichi,63,59,41.858109
2016.03.30,Aichi,45,59,29.898649
2016.03.31,Aichi,51,59,33.885136
2016.04.01,Aichi,36,59,23.918919
2016.04.02,Aichi,43,59,28.56982
2016.04.03,Aichi,64,69,41.608044
2016.04.04,Aichi,45,69,29.255655
2016.04.05,Aichi,77,69,50.059677
2016.04.06,Aichi,61,69,39.657665
2016.04.07,Aichi,57,69,37.057163
2016.04.08,Aichi,54,69,35.106785
2016.04.09,Aichi,40,69,26.005026
2016.04.10,Aichi,65,73,42.568783
2016.04.11,Aichi,47,73,30.780504
2016.04.12,Aichi,56,73,36.674641
2016.04.13,Aichi,73,73,47.808018
2016.04.14,Aichi,49,73,32.090313
2016.04.15,Aichi,59,73,38.639355
2016.04.16,Aichi,69,73,45.1884
2016.04.17,Aichi,47,84,31.433125
2016.04.18,Aichi,70,84,46.815292
2016.04.19,Aichi,69,84,46.1465
2016.04.20,Aichi,77,84,51.496822
2016.04.21,Aichi,84,84,56.178352
2016.04.22,Aichi,59,84,39.458607
2016.04.23,Aichi,65,84,43.47134
2016.04.24,Aichi,54,69,35.195213
2016.04.25,Aichi,55,69,35.846977
2016.04.26,Aichi,79,69,51.489292
2016.04.27,Aichi,65,69,42.364609
2016.04.28,Aichi,52,69,33.891689
2016.04.29,Aichi,55,69,35.846977
2016.04.30,Aichi,37,69,24.115238
2016.05.01,Aichi,41,63,26.831718
2016.05.02,Aichi,51,63,33.376041
2016.05.03,Aichi,31,63,20.287395
2016.05.04,Aichi,34,63,22.250694
2016.05.05,Aichi,76,63,49.736843
2016.05.06,Aichi,70,63,45.810253
2016.05.07,Aichi,58,63,37.957062
2016.05.08,Aichi,52,78,34.026848
2016.05.09,Aichi,87,78,56.929539
2016.05.10,Aichi,45,78,29.446312
2016.05.11,Aichi,76,78,49.731544
2016.05.12,Aichi,66,78,43.187923
2016.05.13,Aichi,76,78,49.731544
2016.05.14,Aichi,45,78,29.446312
2016.05.15,Aichi,70,86,47.526318
2016.05.16,Aichi,100,86,67.894745
2016.05.17,Aichi,42,86,28.515791
2016.05.18,Aichi,63,86,42.773685
2016.05.19,Aichi,57,86,38.700001
2016.05.20,Aichi,61,86,41.415791
2016.05.21,Aichi,82,86,55.673687
2016.05.22,Aichi,54,71,35.943752
2016.05.23,Aichi,58,71,38.606255
2016.05.24,Aichi,68,71,45.262505
2016.05.25,Aichi,66,71,43.931255
2016.05.26,Aichi,63,71,41.93438
2016.05.27,Aichi,47,71,31.284378
2016.05.28,Aichi,44,71,29.287502
2016.05.29,Aichi,51,76,33.802326
2016.05.30,Aichi,100,76,66.279076
2016.05.31,Aichi,62,76,41.093025
2016.06.01,Aichi,56,76,37.116283
2016.06.02,Aichi,53,76,35.127911
2016.06.03,Aichi,59,76,39.104652
2016.06.04,Aichi,49,76,32.476746
2016.06.05,Aichi,72,76,46.530617
2016.06.06,Aichi,63,76,40.714287
2016.06.07,Aichi,86,76,55.578236
2016.06.08,Aichi,64,76,41.36055
2016.06.09,Aichi,42,76,27.142859
2016.06.10,Aichi,73,76,47.176872
2016.06.11,Aichi,41,76,26.496601
2016.06.12,Aichi,47,63,30.843752
2016.06.13,Aichi,63,63,41.343754
2016.06.14,Aichi,54,63,35.437504
2016.06.15,Aichi,43,63,28.218752
2016.06.16,Aichi,56,63,36.75
2016.06.17,Aichi,54,63,35.437504
2016.06.18,Aichi,43,63,28.218752
2016.06.19,Aichi,93,77,59.2798
2016.06.20,Aichi,81,77,51.630795
2016.06.21,Aichi,74,77,47.168873
2016.06.22,Aichi,57,77,36.332783
2016.06.23,Aichi,56,77,35.695366
2016.06.24,Aichi,50,77,31.870861
2016.06.25,Aichi,42,77,26.771523
2016.06.26,Aichi,57,76,37.17392
2016.06.27,Aichi,89,76,58.043484
2016.06.28,Aichi,61,76,39.782612
2016.06.29,Aichi,50,76,32.6087
2016.06.30,Aichi,55,76,35.869572
2016.07.01,Aichi,75,76,48.913048
2016.07.02,Aichi,50,76,32.6087
2016.07.03,Aichi,67,77,44.991283
2016.07.04,Aichi,68,77,45.662796
2016.07.05,Aichi,60,77,40.290703
2016.07.06,Aichi,37,77,24.845932
2016.07.07,Aichi,61,77,40.962212
2016.07.08,Aichi,73,77,49.020351
2016.07.09,Aichi,64,77,42.976749
2016.07.10,Aichi,80,85,52.685947
2016.07.11,Aichi,80,85,52.685947
2016.07.12,Aichi,62,85,40.831612
2016.07.13,Aichi,67,85,44.124485
2016.07.14,Aichi,100,85,65.857437
2016.07.15,Aichi,56,85,36.880165
2016.07.16,Aichi,39,85,25.684401
2016.07.17,Aichi,44,66,29.040001
2016.07.18,Aichi,52,66,34.320004
2016.07.19,Aichi,58,66,38.280003
2016.07.20,Aichi,64,66,42.240002
2016.07.21,Aichi,69,66,45.540005
2016.07.22,Aichi,55,66,36.300003
2016.07.23,Aichi,33,66,21.780001
2016.07.24,Aichi,55,73,38.117092
2016.07.25,Aichi,41,73,28.41456
2016.07.26,Aichi,78,73,54.056965
2016.07.27,Aichi,58,73,40.196205
2016.07.28,Aichi,50,73,34.651901
2016.07.29,Aichi,50,73,34.651901
2016.07.30,Aichi,63,73,43.661396
2016.07.31,Aichi,59,71,39.076496
2016.08.01,Aichi,57,71,37.751869
2016.08.02,Aichi,64,71,42.388065
2016.08.03,Aichi,62,71,41.063438
2016.08.04,Aichi,59,71,39.076496
2016.08.05,Aichi,53,71,35.102615
2016.08.06,Aichi,48,71,31.791046
2016.08.07,Aichi,60,67,40.307487
2016.08.08,Aichi,50,67,33.589573
2016.08.09,Aichi,63,67,42.322861
2016.08.10,Aichi,65,67,43.666447
2016.08.11,Aichi,56,67,37.620319
2016.08.12,Aichi,44,67,29.558825
2016.08.13,Aichi,36,67,24.184494
2016.08.14,Aichi,46,60,29.913298
2016.08.15,Aichi,63,60,40.968212
2016.08.16,Aichi,75,60,48.771683
2016.08.17,Aichi,47,60,30.563587
2016.08.18,Aichi,28,60,18.208096
2016.08.19,Aichi,54,60,35.115608
2016.08.20,Aichi,33,60,21.459541
2016.08.21,Aichi,55,67,36.948532
2016.08.22,Aichi,55,67,36.948532
2016.08.23,Aichi,66,67,44.338234
2016.08.24,Aichi,51,67,34.261364
2016.08.25,Aichi,53,67,35.604946
2016.08.26,Aichi,50,67,33.589573
2016.08.27,Aichi,44,67,29.558825
2016.08.28,Aichi,71,83,47.729485
2016.08.29,Aichi,71,83,47.729485
2016.08.30,Aichi,68,83,45.712746
2016.08.31,Aichi,69,83,46.384991
2016.09.01,Aichi,67,83,45.040497
2016.09.02,Aichi,71,83,47.729485
2016.09.03,Aichi,46,83,30.923326
2016.09.04,Aichi,56,73,38.134331
2016.09.05,Aichi,74,73,50.391792
2016.09.06,Aichi,51,73,34.729481
2016.09.07,Aichi,68,73,46.305973
2016.09.08,Aichi,65,73,44.263062
2016.09.09,Aichi,62,73,42.22015
2016.09.10,Aichi,26,73,17.705225
2016.09.11,Aichi,57,73,38.8153
2016.09.12,Aichi,57,73,38.8153
2016.09.13,Aichi,54,73,36.772392
2016.09.14,Aichi,87,73,59.244408
2016.09.15,Aichi,49,73,33.367538
