date,prefecture,raw_daily,raw_weekly,mask_harmonized_daily
2015.12.27,Aichi,71,37,52.347549
2015.12.28,Aichi,37,37,27.279709
2015.12.29,Aichi,20,37,14.745789
2015.12.30,Aichi,54,37,39.813629
2015.12.31,Aichi,27,37,19.906815
2016.01.01,Aichi,31,37,22.855972
2016.01.02,Aichi,33,37,24.330549
2016.01.03,Aichi,52,48,42.168446
2016.01.04,Aichi,52,48,42.168446
2016.01.05,Aichi,58,48,47.034039
2016.01.06,Aichi,36,48,29.193541
2016.01.07,Aichi,44,48,35.680996
2016.01.08,Aichi,51,48,41.357517
2016.01.09,Aichi,29,48,23.517019
2016.01.10,Aichi,61,58,50.516327
2016.01.11,Aichi,41,58,33.953598
2016.01.12,Aichi,58,58,48.031921
2016.01.13,Aichi,43,58,35.609871
2016.01.14,Aichi,76,58,62.938374
2016.01.15,Aichi,52,58,43.063099
2016.01.16,Aichi,50,58,41.406826
2016.01.17,Aichi,56,53,52.252167
2016.01.18,Aichi,37,53,34.523754
2016.01.19,Aichi,34,53,31.724531
2016.01.20,Aichi,56,53,52.252167
2016.01.21,Aichi,61,53,56.917538
2016.01.22,Aichi,18,53,16.79534
2016.01.23,Aichi,47,53,43.8545
2016.01.24,Aichi,18,56,18.217674
2016.01.25,Aichi,53,56,53.64093
2016.01.26,Aichi,36,56,36.435349
2016.01.27,Aichi,36,56,36.435349
2016.01.28,Aichi,74,56,74.894882
2016.01.29,Aichi,40,56,40.483723
2016.01.30,Aichi,44,56,44.532093
2016.01.31,Aichi,53,65,52.057781
2016.02.01,Aichi,63,65,61.880009
2016.02.02,Aichi,54,65,53.040001
2016.02.03,Aichi,45,65,44.200005
2016.02.04,Aichi,68,65,66.791115
2016.02.05,Aichi,26,65,25.537781
2016.02.06,Aichi,51,65,50.093338
2016.02.07,Aichi,53,52,51.344662
2016.02.08,Aichi,44,52,42.625755
2016.02.09,Aichi,42,52,40.688217
2016.02.10,Aichi,46,52,44.56329
2016.02.11,Aichi,39,52,37.781921
2016.02.12,Aichi,42,52,40.688217
2016.02.13,Aichi,26,52,25.187944
2016.02.14,Aichi,20,59,20.186165
2016.02.15,Aichi,46,59,46.428181
2016.02.16,Aichi,67,59,67.62365
2016.02.17,Aichi,59,59,59.549183
2016.02.18,Aichi,40,59,40.37233
2016.02.19,Aichi,45,59,45.418869
2016.02.20,Aichi,41,59,41.381638
2016.02.21,Aichi,74,68,69.831841
2016.02.22,Aichi,77,68,72.662857
2016.02.23,Aichi,36,68,33.972248
2016.02.24,Aichi,36,68,33.972248
2016.02.25,Aichi,73,68,68.888168
2016.02.26,Aichi,51,68,48.12735
2016.02.27,Aichi,45,68,42.465305
2016.02.28,Aichi,46,61,39.855453
2016.02.29,Aichi,31,61,26.859112
2016.03.01,Aichi,56,61,48.519688
2016.03.02,Aichi,74,61,64.115303
2016.03.03,Aichi,55,61,47.653263
2016.03.04,Aichi,72,61,62.382454
2016.03.05,Aichi,49,61,42.454727
2016.03.06,Aichi,82,70,75.061546
2016.03.07,Aichi,94,70,86.046158
2016.03.08,Aichi,64,70,58.584621
2016.03.09,Aichi,65,70,59.500008
2016.03.10,Aichi,29,70,26.546158
2016.03.11,Aichi,49,70,44.853851
2016.03.12,Aichi,33,70,30.207693
2016.03.13,Aichi,60,61,56.563641
2016.03.14,Aichi,23,61,21.68273
2016.03.15,Aichi,71,61,66.93364
2016.03.16,Aichi,59,61,55.620914
2016.03.17,Aichi,49,61,46.193642
2016.03.18,Aichi,57,61,53.735458
2016.03.19,Aichi,33,61,31.110004
2016.03.20,Aichi,81,57,68.066338
2016.03.21,Aichi,45,57,37.814632
2016.03.22,Aichi,56,57,47.058208
2016.03.23,Aichi,54,57,45.37756
2016.03.24,Aichi,34,57,28.571056
2016.03.25,Aichi,64,57,53.780811
2016.03.26,Aichi,35,57,29.411383
2016.03.27,Aichi,42,38,43.849697
2016.03.28,Aichi,23,38,24.01293
2016.03.29,Aichi,48,38,50.113941
2016.03.30,Aichi,27,38,28.189093
2016.03.31,Aichi,26,38,27.14505
2016.04.01,Aichi,12,38,12.528485
2016.04.02,Aichi,20,38,20.880808
2016.04.03,Aichi,41,50,44.253967
2016.04.04,Aichi,25,50,26.984127
2016.04.05,Aichi,36,50,38.857143
2016.04.06,Aichi,44,50,47.492062
2016.04.07,Aichi,10,50,10.793651
2016.04.08,Aichi,45,50,48.571426
2016.04.09,Aichi,51,50,55.047615
2016.04.10,Aichi,65,41,53.104767
2016.04.11,Aichi,46,41,37.581833
2016.04.12,Aichi,46,41,37.581833
2016.04.13,Aichi,54,41,44.117802
2016.04.14,Aichi,17,41,13.888939
2016.04.15,Aichi,25,41,20.42491
2016.04.16,Aichi,20,41,16.339926
2016.04.17,Aichi,30,48,30.720001
2016.04.18,Aichi,40,48,40.960003
2016.04.19,Aichi,47,48,48.128002
2016.04.20,Aichi,44,48,45.056
2016.04.21,Aichi,56,48,57.344006
2016.04.22,Aichi,17,48,17.408001
2016.04.23,Aichi,21,48,21.504002
2016.04.24,Aichi,33,39,27.031969
2016.04.25,Aichi,32,39,26.212818
2016.04.26,Aichi,44,39,36.042625
2016.04.27,Aichi,51,39,41.77668
2016.04.28,Aichi,49,39,40.138378
2016.04.29,Aichi,39,39,31.946873
2016.04.30,Aichi,11,39,9.0106564
2016.05.01,Aichi,32,42,28.560001
2016.05.02,Aichi,32,42,28.560001
2016.05.03,Aichi,31,42,27.667501
2016.05.04,Aichi,60,42,53.549999
2016.05.05,Aichi,22,42,19.635
2016.05.06,Aichi,47,42,41.947502
2016.05.07,Aichi,32,42,28.560001
2016.05.08,Aichi,32,47,31.109354
2016.05.09,Aichi,54,47,52.497036
2016.05.10,Aichi,59,47,57.357872
2016.05.11,Aichi,46,47,44.7197
