date,raw_daily,raw_weekly,prefecture,medication_harmonized_daily
2018.01.04,12,8,Aichi,3.2718372
2017.12.31,4,8,Aichi,1.0906124
2018.01.03,4,8,Aichi,1.0906124
2018.01.06,0,8,Aichi,0
2018.01.02,4,8,Aichi,1.0906124
2018.01.02,4,8,Aichi,1.0906124
2018.01.01,5,8,Aichi,1.3632654
2018.01.05,20,8,Aichi,5.4530616
2018.01.06,0,8,Aichi,0
2018.01.04,12,8,Aichi,3.2718372
2017.12.31,4,8,Aichi,1.0906124
2018.01.01,5,8,Aichi,1.3632654
2018.01.03,4,8,Aichi,1.0906124
2018.01.05,20,8,Aichi,5.4530616
2018.01.05,0,27,Akita,0
2017.12.31,28,27,Akita,14.346819
2018.01.01,30,27,Akita,15.371592
2018.01.03,0,27,Akita,0
2018.01.04,30,27,Akita,15.371592
2018.01.06,0,27,Akita,0
2018.01.01,30,27,Akita,15.371592
2018.01.02,0,27,Akita,0
2018.01.05,0,27,Akita,0
2018.01.02,0,27,Akita,0
2018.01.06,0,27,Akita,0
2018.01.03,0,27,Akita,0
2018.01.04,30,27,Akita,15.371592
2017.12.31,28,27,Akita,14.346819
2018.01.03,0,0,Aomori,
2018.01.01,0,0,Aomori,
2017.12.31,0,0,Aomori,
2018.01.04,0,0,Aomori,
2018.01.02,0,0,Aomori,
2018.01.06,0,0,Aomori,
2018.01.04,0,0,Aomori,
2018.01.05,0,0,Aomori,
2018.01.01,0,0,Aomori,
2018.01.03,0,0,Aomori,
2018.01.02,0,0,Aomori,
2018.01.05,0,0,Aomori,
2018.01.06,0,0,Aomori,
2017.12.31,0,0,Aomori,
2018.01.03,4,6,Chiba,1.1451429
2018.01.03,4,6,Chiba,1.1451429
2018.01.06,9,6,Chiba,2.5765717
2017.12.31,4,6,Chiba,1.1451429
2018.01.02,5,6,Chiba,1.4314287
2018.01.05,0,6,Chiba,0
2018.01.02,5,6,Chiba,1.4314287
2018.01.01,0,6,Chiba,0
2018.01.01,0,6,Chiba,0
2018.01.04,13,6,Chiba,3.7217145
2017.12.31,4,6,Chiba,1.1451429
2018.01.04,13,6,Chiba,3.7217145
2018.01.06,9,6,Chiba,2.5765717
2018.01.05,0,6,Chiba,0
2018.01.05,0,3,Ehime,
2017.12.31,0,3,Ehime,
2018.01.01,0,3,Ehime,
2018.01.03,0,3,Ehime,
2018.01.05,0,3,Ehime,
2018.01.06,0,3,Ehime,
2018.01.03,0,3,Ehime,
2018.01.06,0,3,Ehime,
2017.12.31,0,3,Ehime,
2018.01.04,0,3,Ehime,
2018.01.01,0,3,Ehime,
2018.01.02,0,3,Ehime,
2018.01.02,0,3,Ehime,
2018.01.04,0,3,Ehime,
2018.01.05,0,0,Fukui,
2018.01.04,0,0,Fukui,
2017.12.31,0,0,Fukui,
2018.01.02,0,0,Fukui,
2018.01.04,0,0,Fukui,
2018.01.05,0,0,Fukui,
2018.01.02,0,0,Fukui,
2018.01.06,0,0,Fukui,
2018.01.01,0,0,Fukui,
2018.01.03,0,0,Fukui,
2018.01.03,0,0,Fukui,
2018.01.06,0,0,Fukui,
2017.12.31,0,0,Fukui,
2018.01.01,0,0,Fukui,
2018.01.06,0,6,Fukuoka,0
2018.01.02,0,6,Fukuoka,0
2017.12.31,0,6,Fukuoka,0
2018.01.01,0,6,Fukuoka,0
2018.01.03,0,6,Fukuoka,0
2018.01.06,0,6,Fukuoka,0
2017.12.31,0,6,Fukuoka,0
2018.01.01,0,6,Fukuoka,0
2018.01.04,49,6,Fukuoka,6.6348658
2018.01.03,0,6,Fukuoka,0
2018.01.04,49,6,Fukuoka,6.6348658
2018.01.05,25,6,Fukuoka,3.3851354
2018.01.02,0,6,Fukuoka,0
2018.01.05,25,6,Fukuoka,3.3851354
2018.01.06,0,4,Fukushima,0
2018.01.01,0,4,Fukushima,0
2018.01.06,0,4,Fukushima,0
2018.01.01,0,4,Fukushima,0
2018.01.04,0,4,Fukushima,0
2018.01.03,0,4,Fukushima,0
2018.01.03,0,4,Fukushima,0
2018.01.05,0,4,Fukushima,0
2018.01.05,0,4,Fukushima,0
2018.01.02,15,4,Fukushima,6.6800003
2018.01.04,0,4,Fukushima,0
2018.01.02,15,4,Fukushima,6.6800003
2017.12.31,0,4,Fukushima,0
2017.12.31,0,4,Fukushima,0
2018.01.06,16,8,Gifu,4.6469564
2018.01.04,0,8,Gifu,0
2018.01.02,15,8,Gifu,4.3565216
2018.01.05,0,8,Gifu,0
2017.12.31,0,8,Gifu,0
2018.01.04,0,8,Gifu,0
2018.01.06,16,8,Gifu,4.6469564
2017.12.31,0,8,Gifu,0
2018.01.05,0,8,Gifu,0
2018.01.02,15,8,Gifu,4.3565216
2018.01.03,15,8,Gifu,4.3565216
2018.01.01,0,8,Gifu,0
2018.01.01,0,8,Gifu,0
2018.01.03,15,8,Gifu,4.3565216
2018.01.02,0,3,Gunma,0
2017.12.31,9,3,Gunma,5.0100002
2018.01.01,0,3,Gunma,0
2018.01.04,0,3,Gunma,0
2018.01.06,0,3,Gunma,0
2018.01.05,0,3,Gunma,0
2018.01.03,0,3,Gunma,0
2018.01.01,0,3,Gunma,0
2018.01.03,0,3,Gunma,0
2018.01.02,0,3,Gunma,0
2018.01.04,0,3,Gunma,0
2017.12.31,9,3,Gunma,5.0100002
2018.01.05,0,3,Gunma,0
2018.01.06,0,3,Gunma,0
2018.01.03,0,0,Hiroshima,
2018.01.05,0,0,Hiroshima,
2018.01.04,0,0,Hiroshima,
2018.01.03,0,0,Hiroshima,
2018.01.02,0,0,Hiroshima,
2018.01.06,0,0,Hiroshima,
2018.01.01,0,0,Hiroshima,
2018.01.02,0,0,Hiroshima,
2017.12.31,0,0,Hiroshima,
2018.01.04,0,0,Hiroshima,
2018.01.01,0,0,Hiroshima,
2017.12.31,0,0,Hiroshima,
2018.01.06,0,0,Hiroshima,
2018.01.05,0,0,Hiroshima,
2018.01.03,0,41,Hokkaido,0
2018.01.01,15,41,Hokkaido,12.374097
2018.01.02,14,41,Hokkaido,11.549157
2018.01.01,15,41,Hokkaido,12.374097
2018.01.04,27,41,Hokkaido,22.273376
2018.01.06,0,41,Hokkaido,0
2018.01.05,27,41,Hokkaido,22.273376
2018.01.05,27,41,Hokkaido,22.273376
2018.01.04,27,41,Hokkaido,22.273376
2018.01.02,14,41,Hokkaido,11.549157
2018.01.06,0,41,Hokkaido,0
2018.01.03,0,41,Hokkaido,0
2017.12.31,0,41,Hokkaido,0
2017.12.31,0,41,Hokkaido,0
2017.12.31,6,7,Hyogo,1.5940909
2018.01.04,6,7,Hyogo,1.5940909
2018.01.04,6,7,Hyogo,1.5940909
2018.01.06,13,7,Hyogo,3.4538639
2018.01.06,13,7,Hyogo,3.4538639
2018.01.01,0,7,Hyogo,0
2018.01.03,19,7,Hyogo,5.047955
2018.01.03,19,7,Hyogo,5.047955
2018.01.02,0,7,Hyogo,0
2018.01.01,0,7,Hyogo,0
2018.01.02,0,7,Hyogo,0
2018.01.05,0,7,Hyogo,0
2017.12.31,6,7,Hyogo,1.5940909
2018.01.05,0,7,Hyogo,0
2018.01.03,0,1,Ibaraki,0
2018.01.05,0,1,Ibaraki,0
2018.01.02,0,1,Ibaraki,0
2017.12.31,0,1,Ibaraki,0
2018.01.04,0,1,Ibaraki,0
2018.01.03,0,1,Ibaraki,0
2018.01.06,12,1,Ibaraki,1.6700001
2018.01.04,0,1,Ibaraki,0
2018.01.02,0,1,Ibaraki,0
2017.12.31,0,1,Ibaraki,0
2018.01.01,0,1,Ibaraki,0
2018.01.01,0,1,Ibaraki,0
2018.01.06,12,1,Ibaraki,1.6700001
2018.01.05,0,1,Ibaraki,0
2018.01.03,0,0,Ishikawa,
2018.01.01,0,0,Ishikawa,
2018.01.02,0,0,Ishikawa,
2017.12.31,0,0,Ishikawa,
2018.01.04,0,0,Ishikawa,
2018.01.06,0,0,Ishikawa,
2018.01.01,0,0,Ishikawa,
2018.01.06,0,0,Ishikawa,
2018.01.03,0,0,Ishikawa,
2018.01.02,0,0,Ishikawa,
2018.01.05,0,0,Ishikawa,
2017.12.31,0,0,Ishikawa,
2018.01.04,0,0,Ishikawa,
2018.01.05,0,0,Ishikawa,
2018.01.06,0,5,Iwate,0
2017.12.31,0,5,Iwate,0
2018.01.05,0,5,Iwate,0
2018.01.01,0,5,Iwate,0
2018.01.03,0,5,Iwate,0
2018.01.04,19,5,Iwate,8.3500013
2018.01.01,0,5,Iwate,0
2018.01.06,0,5,Iwate,0
2018.01.02,0,5,Iwate,0
2018.01.04,19,5,Iwate,8.3500013
2018.01.03,0,5,Iwate,0
2017.12.31,0,5,Iwate,0
2018.01.02,0,5,Iwate,0
2018.01.05,0,5,Iwate,0
2018.01.05,0,0,Kagawa,
2018.01.03,0,0,Kagawa,
2018.01.04,0,0,Kagawa,
2018.01.01,0,0,Kagawa,
2018.01.01,0,0,Kagawa,
2018.01.02,0,0,Kagawa,
2017.12.31,0,0,Kagawa,
2018.01.02,0,0,Kagawa,
2018.01.05,0,0,Kagawa,
