date,raw_daily,raw_weekly,prefecture
2015-12-27,32.0,49.0,Hokkaido
2015-12-28,0.0,49.0,Hokkaido
2015-12-29,31.0,49.0,Hokkaido
2015-12-30,0.0,49.0,Hokkaido
2015-12-31,0.0,49.0,Hokkaido
2016-01-01,25.0,49.0,Hokkaido
2016-01-02,38.0,49.0,Hokkaido
2016-01-03,0.0,6.0,Hokkaido
2016-01-04,0.0,6.0,Hokkaido
2016-01-05,0.0,6.0,Hokkaido
2016-01-06,0.0,6.0,Hokkaido
2016-01-07,0.0,6.0,Hokkaido
2016-01-08,17.0,6.0,Hokkaido
2016-01-09,0.0,6.0,Hokkaido
2016-01-10,18.0,30.0,Hokkaido
2016-01-11,0.0,30.0,Hokkaido
2016-01-12,17.0,30.0,Hokkaido
2016-01-13,17.0,30.0,Hokkaido
2016-01-14,17.0,30.0,Hokkaido
2016-01-15,0.0,30.0,Hokkaido
2016-01-16,18.0,30.0,Hokkaido
2016-01-17,17.0,31.0,Hokkaido
2016-01-18,17.0,31.0,Hokkaido
2016-01-19,17.0,31.0,Hokkaido
2016-01-20,0.0,31.0,Hokkaido
2016-01-21,35.0,31.0,Hokkaido
2016-01-22,0.0,31.0,Hokkaido
2016-01-23,0.0,31.0,Hokkaido
2016-01-24,18.0,38.0,Hokkaido
2016-01-25,0.0,38.0,Hokkaido
2016-01-26,18.0,38.0,Hokkaido
2016-01-27,36.0,38.0,Hokkaido
2016-01-28,0.0,38.0,Hokkaido
2016-01-29,36.0,38.0,Hokkaido
2016-01-30,36.0,38.0,Hokkaido
2016-01-31,0.0,25.0,Hokkaido
2016-02-01,17.0,25.0,Hokkaido
2016-02-02,53.0,25.0,Hokkaido
2016-02-03,0.0,25.0,Hokkaido
2016-02-04,0.0,25.0,Hokkaido
2016-02-05,0.0,25.0,Hokkaido
2016-02-06,0.0,25.0,Hokkaido
2016-02-07,0.0,0.0,Hokkaido
2016-02-08,0.0,0.0,Hokkaido
2016-02-09,0.0,0.0,Hokkaido
2016-02-10,0.0,0.0,Hokkaido
2016-02-11,0.0,0.0,Hokkaido
2016-02-12,0.0,0.0,Hokkaido
2016-02-13,0.0,0.0,Hokkaido
2016-02-14,16.0,12.0,Hokkaido
2016-02-15,17.0,12.0,Hokkaido
2016-02-16,0.0,12.0,Hokkaido
2016-02-17,0.0,12.0,Hokkaido
2016-02-18,0.0,12.0,Hokkaido
2016-02-19,0.0,12.0,Hokkaido
2016-02-20,0.0,12.0,Hokkaido
2016-02-21,17.0,31.0,Hokkaido
2016-02-22,35.0,31.0,Hokkaido
2016-02-23,34.0,31.0,Hokkaido
2016-02-24,18.0,31.0,Hokkaido
2016-02-25,0.0,31.0,Hokkaido
2016-02-26,0.0,31.0,Hokkaido
2016-02-27,0.0,31.0,Hokkaido
2016-02-28,68.0,100.0,Hokkaido
2016-02-29,65.0,100.0,Hokkaido
2016-03-01,16.0,100.0,Hokkaido
2016-03-02,0.0,100.0,Hokkaido
2016-03-03,17.0,100.0,Hokkaido
2016-03-04,83.0,100.0,Hokkaido
2016-03-05,50.0,100.0,Hokkaido
2016-03-06,0.0,64.0,Hokkaido
2016-03-07,16.0,64.0,Hokkaido
2016-03-08,32.0,64.0,Hokkaido
2016-03-09,0.0,64.0,Hokkaido
2016-03-10,65.0,64.0,Hokkaido
2016-03-11,50.0,64.0,Hokkaido
2016-03-12,16.0,64.0,Hokkaido
2016-03-13,33.0,71.0,Hokkaido
2016-03-14,16.0,71.0,Hokkaido
2016-03-15,0.0,71.0,Hokkaido
2016-03-16,66.0,71.0,Hokkaido
2016-03-17,50.0,71.0,Hokkaido
2016-03-18,17.0,71.0,Hokkaido
2016-03-19,17.0,71.0,Hokkaido
2016-03-20,17.0,53.0,Hokkaido
2016-03-21,16.0,53.0,Hokkaido
2016-03-22,0.0,53.0,Hokkaido
2016-03-23,100.0,53.0,Hokkaido
2016-03-24,17.0,53.0,Hokkaido
2016-03-25,0.0,53.0,Hokkaido
2016-03-26,0.0,53.0,Hokkaido
2016-03-27,0.0,34.0,Hokkaido
2016-03-28,16.0,34.0,Hokkaido
2016-03-29,16.0,34.0,Hokkaido
2016-03-30,16.0,34.0,Hokkaido
2016-03-31,16.0,34.0,Hokkaido
2016-04-01,0.0,34.0,Hokkaido
2016-04-02,32.0,34.0,Hokkaido
2016-04-03,46.0,68.0,Hokkaido
2016-04-04,0.0,68.0,Hokkaido
2016-04-05,16.0,68.0,Hokkaido
2016-04-06,0.0,68.0,Hokkaido
2016-04-07,48.0,68.0,Hokkaido
2016-04-08,83.0,68.0,Hokkaido
2016-04-09,16.0,68.0,Hokkaido
2016-04-10,16.0,29.0,Hokkaido
2016-04-11,0.0,29.0,Hokkaido
2016-04-12,17.0,29.0,Hokkaido
2016-04-13,33.0,29.0,Hokkaido
2016-04-14,0.0,29.0,Hokkaido
2016-04-15,0.0,29.0,Hokkaido
2016-04-16,16.0,29.0,Hokkaido
2016-04-17,61.0,46.0,Hokkaido
2016-04-18,0.0,46.0,Hokkaido
2016-04-19,34.0,46.0,Hokkaido
2016-04-20,17.0,46.0,Hokkaido
2016-04-21,17.0,46.0,Hokkaido
2016-04-22,0.0,46.0,Hokkaido
2016-04-23,16.0,46.0,Hokkaido
