raw_daily,raw_weekly,prefecture,date,medication_harmonized_daily
4,8,Aichi,2017.12.31,2.8073153
5,8,Aichi,2018.01.01,3.5091441
4,8,Aichi,2018.01.02,2.8073153
4,8,Aichi,2018.01.03,2.8073153
12,8,Aichi,2018.01.04,8.4219465
20,8,Aichi,2018.01.05,14.036576
0,8,Aichi,2018.01.06,0
4,11,Aichi,2018.01.07,2.6269841
11,11,Aichi,2018.01.08,7.2242064
4,11,Aichi,2018.01.09,2.6269841
29,11,Aichi,2018.01.10,19.045635
4,11,Aichi,2018.01.11,2.6269841
0,11,Aichi,2018.01.12,0
20,11,Aichi,2018.01.13,13.134921
4,10,Aichi,2018.01.14,2.8658011
8,10,Aichi,2018.01.15,5.7316022
8,10,Aichi,2018.01.16,5.7316022
8,10,Aichi,2018.01.17,5.7316022
12,10,Aichi,2018.01.18,8.5974035
8,10,Aichi,2018.01.19,5.7316022
12,10,Aichi,2018.01.20,8.5974035
0,7,Aichi,2018.01.21,0
4,7,Aichi,2018.01.22,2.7355373
4,7,Aichi,2018.01.23,2.7355373
12,7,Aichi,2018.01.24,8.2066116
12,7,Aichi,2018.01.25,8.2066116
8,7,Aichi,2018.01.26,5.4710746
4,7,Aichi,2018.01.27,2.7355373
0,10,Aichi,2018.01.28,0
4,10,Aichi,2018.01.29,2.6453547
17,10,Aichi,2018.01.30,11.242759
20,10,Aichi,2018.01.31,13.226775
12,10,Aichi,2018.02.01,7.9360647
8,10,Aichi,2018.02.02,5.2907095
4,10,Aichi,2018.02.03,2.6453547
15,13,Aichi,2018.02.04,9.5255308
8,13,Aichi,2018.02.05,5.0802832
25,13,Aichi,2018.02.06,15.875886
0,13,Aichi,2018.02.07,0
12,13,Aichi,2018.02.08,7.6204247
12,13,Aichi,2018.02.09,7.6204247
16,13,Aichi,2018.02.10,10.160566
19,22,Aichi,2018.02.11,11.979048
12,22,Aichi,2018.02.12,7.5657144
33,22,Aichi,2018.02.13,20.805714
17,22,Aichi,2018.02.14,10.718095
17,22,Aichi,2018.02.15,10.718095
24,22,Aichi,2018.02.16,15.131429
28,22,Aichi,2018.02.17,17.653334
16,18,Aichi,2018.02.18,10.581419
28,18,Aichi,2018.02.19,18.517483
25,18,Aichi,2018.02.20,16.533468
16,18,Aichi,2018.02.21,10.581419
16,18,Aichi,2018.02.22,10.581419
8,18,Aichi,2018.02.23,5.2907095
8,18,Aichi,2018.02.24,5.2907095
8,21,Aichi,2018.02.25,5.2332025
12,21,Aichi,2018.02.26,7.8498034
12,21,Aichi,2018.02.27,7.8498034
33,21,Aichi,2018.02.28,21.586958
40,21,Aichi,2018.03.01,26.166012
21,21,Aichi,2018.03.02,13.737156
12,21,Aichi,2018.03.03,7.8498034
62,62,Aichi,2018.03.04,42.698212
27,62,Aichi,2018.03.05,18.594383
28,62,Aichi,2018.03.06,19.283064
76,62,Aichi,2018.03.07,52.339748
55,62,Aichi,2018.03.08,37.877449
60,62,Aichi,2018.03.09,41.320854
79,62,Aichi,2018.03.10,54.405792
54,67,Aichi,2018.03.11,36.169075
39,67,Aichi,2018.03.12,26.122108
52,67,Aichi,2018.03.13,34.829479
100,67,Aichi,2018.03.14,66.979767
92,67,Aichi,2018.03.15,61.621384
57,67,Aichi,2018.03.16,38.178467
36,67,Aichi,2018.03.17,24.112715
28,35,Aichi,2018.03.18,18.316206
31,35,Aichi,2018.03.19,20.278658
24,35,Aichi,2018.03.20,15.699604
30,35,Aichi,2018.03.21,19.624506
36,35,Aichi,2018.03.22,23.549406
53,35,Aichi,2018.03.23,34.66996
28,35,Aichi,2018.03.24,18.316206
32,45,Aichi,2018.03.25,21.054863
