date,prefecture,raw_daily,raw_weekly,medications2_harmonized_daily
2015.12.27,Aichi,6,6,2.7298245
2015.12.28,Aichi,11,6,5.0046782
2015.12.29,Aichi,6,6,2.7298245
2015.12.30,Aichi,12,6,5.4596491
2015.12.31,Aichi,16,6,7.2795324
2016.01.01,Aichi,6,6,2.7298245
2016.01.02,Aichi,0,6,0
2016.01.03,Aichi,6,5,2.6462586
2016.01.04,Aichi,6,5,2.6462586
2016.01.05,Aichi,6,5,2.6462586
2016.01.06,Aichi,6,5,2.6462586
2016.01.07,Aichi,12,5,5.2925172
2016.01.08,Aichi,13,5,5.7335601
2016.01.09,Aichi,0,5,0
2016.01.10,Aichi,12,8,5.7629638
2016.01.11,Aichi,12,8,5.7629638
2016.01.12,Aichi,12,8,5.7629638
2016.01.13,Aichi,6,8,2.8814819
2016.01.14,Aichi,12,8,5.7629638
2016.01.15,Aichi,0,8,0
2016.01.16,Aichi,18,8,8.6444445
2016.01.17,Aichi,0,7,0
2016.01.18,Aichi,18,7,9.0766678
2016.01.19,Aichi,18,7,9.0766678
2016.01.20,Aichi,6,7,3.0255561
2016.01.21,Aichi,6,7,3.0255561
2016.01.22,Aichi,6,7,3.0255561
2016.01.23,Aichi,6,7,3.0255561
2016.01.24,Aichi,6,5,3.0873017
2016.01.25,Aichi,6,5,3.0873017
2016.01.26,Aichi,0,5,0
2016.01.27,Aichi,6,5,3.0873017
2016.01.28,Aichi,0,5,0
2016.01.29,Aichi,6,5,3.0873017
2016.01.30,Aichi,18,5,9.2619047
2016.01.31,Aichi,0,9,0
2016.02.01,Aichi,18,9,10.609092
2016.02.02,Aichi,18,9,10.609092
2016.02.03,Aichi,12,9,7.0727272
2016.02.04,Aichi,12,9,7.0727272
2016.02.05,Aichi,6,9,3.5363636
2016.02.06,Aichi,0,9,0
2016.02.07,Aichi,6,11,2.7967322
2016.02.08,Aichi,12,11,5.5934644
2016.02.09,Aichi,18,11,8.3901958
2016.02.10,Aichi,31,11,14.449782
2016.02.11,Aichi,17,11,7.9240742
2016.02.12,Aichi,12,11,5.5934644
2016.02.13,Aichi,6,11,2.7967322
2016.02.14,Aichi,11,12,5.3320875
2016.02.15,Aichi,30,12,14.542057
2016.02.16,Aichi,0,12,0
2016.02.17,Aichi,24,12,11.633645
2016.02.18,Aichi,12,12,5.8168225
2016.02.19,Aichi,24,12,11.633645
2016.02.20,Aichi,6,12,2.9084113
2016.02.21,Aichi,18,17,8.7013168
2016.02.22,Aichi,30,17,14.502194
2016.02.23,Aichi,24,17,11.601755
2016.02.24,Aichi,37,17,17.88604
2016.02.25,Aichi,19,17,9.1847229
2016.02.26,Aichi,6,17,2.9004388
2016.02.27,Aichi,18,17,8.7013168
2016.02.28,Aichi,35,28,16.291454
2016.02.29,Aichi,18,28,8.3784618
2016.03.01,Aichi,42,28,19.549746
2016.03.02,Aichi,30,28,13.964104
2016.03.03,Aichi,24,28,11.171283
2016.03.04,Aichi,53,28,24.669916
2016.03.05,Aichi,58,28,26.997265
2016.03.06,Aichi,34,48,15.571451
2016.03.07,Aichi,78,48,35.72274
2016.03.08,Aichi,57,48,26.105078
2016.03.09,Aichi,85,48,38.928627
2016.03.10,Aichi,52,48,23.815161
2016.03.11,Aichi,47,48,21.52524
2016.03.12,Aichi,100,48,45.798386
2016.03.13,Aichi,69,44,30.446095
2016.03.14,Aichi,40,44,17.64991
2016.03.15,Aichi,59,44,26.033617
2016.03.16,Aichi,83,44,36.623562
2016.03.17,Aichi,71,44,31.328588
2016.03.18,Aichi,52,44,22.944883
2016.03.19,Aichi,57,44,25.151121
2016.03.20,Aichi,6,35,2.8453503
2016.03.21,Aichi,63,35,29.876175
2016.03.22,Aichi,81,35,38.412228
2016.03.23,Aichi,41,35,19.443226
2016.03.24,Aichi,58,35,27.505051
2016.03.25,Aichi,41,35,19.443226
2016.03.26,Aichi,29,35,13.752525
2016.03.27,Aichi,29,24,15.506531
2016.03.28,Aichi,39,24,20.853609
2016.03.29,Aichi,33,24,17.645363
2016.03.30,Aichi,57,24,30.478354
2016.03.31,Aichi,24,24,12.832991
2016.04.01,Aichi,0,24,0
2016.04.02,Aichi,12,24,6.4164953
2016.04.03,Aichi,6,18,5.1866674
2016.04.04,Aichi,12,18,10.373335
2016.04.05,Aichi,18,18,15.560001
2016.04.06,Aichi,6,18,5.1866674
2016.04.07,Aichi,24,18,20.74667
2016.04.08,Aichi,6,18,5.1866674
2016.04.09,Aichi,18,18,15.560001
2016.04.10,Aichi,0,10,0
2016.04.11,Aichi,6,10,6.0310087
2016.04.12,Aichi,0,10,0
2016.04.13,Aichi,0,10,0
2016.04.14,Aichi,6,10,6.0310087
2016.04.15,Aichi,19,10,19.098192
2016.04.16,Aichi,12,10,12.062017
2016.04.17,Aichi,12,5,7.0090094
2016.04.18,Aichi,0,5,0
2016.04.19,Aichi,6,5,3.5045047
2016.04.20,Aichi,6,5,3.5045047
2016.04.21,Aichi,0,5,0
2016.04.22,Aichi,13,5,7.5930934
2016.04.23,Aichi,0,5,0
2016.04.24,Aichi,12,9,8.6444445
2016.04.25,Aichi,0,9,0
2016.04.26,Aichi,6,9,4.3222222
2016.04.27,Aichi,12,9,8.6444445
2016.04.28,Aichi,0,9,0
2016.04.29,Aichi,6,9,4.3222222
2016.04.30,Aichi,18,9,12.966667
2016.05.01,Aichi,18,9,10.609092
2016.05.02,Aichi,6,9,3.5363636
2016.05.03,Aichi,0,9,0
2016.05.04,Aichi,12,9,7.0727272
2016.05.05,Aichi,12,9,7.0727272
2016.05.06,Aichi,12,9,7.0727272
2016.05.07,Aichi,6,9,3.5363636
2016.05.08,Aichi,0,3,0
2016.05.09,Aichi,0,3,0
2016.05.10,Aichi,0,3,0
2016.05.11,Aichi,0,3,0
2016.05.12,Aichi,6,3,6.4833336
2016.05.13,Aichi,0,3,0
2016.05.14,Aichi,6,3,6.4833336
2016.05.15,Aichi,0,8,0
2016.05.16,Aichi,0,8,0
2016.05.17,Aichi,12,8,6.915556
2016.05.18,Aichi,6,8,3.457778
2016.05.19,Aichi,18,8,10.373333
2016.05.20,Aichi,12,8,6.915556
2016.05.21,Aichi,12,8,6.915556
2016.05.22,Aichi,6,8,4.3222222
2016.05.23,Aichi,0,8,0
2016.05.24,Aichi,6,8,4.3222222
2016.05.25,Aichi,12,8,8.6444445
2016.05.26,Aichi,12,8,8.6444445
2016.05.27,Aichi,0,8,0
2016.05.28,Aichi,12,8,8.6444445
2016.05.29,Aichi,6,7,3.300606
2016.05.30,Aichi,18,7,9.9018183
2016.05.31,Aichi,19,7,10.45192
2016.06.01,Aichi,6,7,3.300606
2016.06.02,Aichi,6,7,3.300606
2016.06.03,Aichi,0,7,0
2016.06.04,Aichi,0,7,0
2016.06.05,Aichi,12,9,11.114286
2016.06.06,Aichi,0,9,0
2016.06.07,Aichi,0,9,0
2016.06.08,Aichi,12,9,11.114286
2016.06.09,Aichi,6,9,5.5571432
2016.06.10,Aichi,12,9,11.114286
2016.06.11,Aichi,0,9,0
2016.06.12,Aichi,0,4,0
2016.06.13,Aichi,0,4,0
2016.06.14,Aichi,6,4,4.3222222
2016.06.15,Aichi,6,4,4.3222222
2016.06.16,Aichi,12,4,8.6444445
2016.06.17,Aichi,0,4,0
2016.06.18,Aichi,0,4,0
2016.06.19,Aichi,6,4,3.457778
2016.06.20,Aichi,0,4,0
2016.06.21,Aichi,6,4,3.457778
2016.06.22,Aichi,6,4,3.457778
2016.06.23,Aichi,6,4,3.457778
2016.06.24,Aichi,0,4,0
2016.06.25,Aichi,6,4,3.457778
2016.06.26,Aichi,0,2,0
2016.06.27,Aichi,6,2,2.1611111
2016.06.28,Aichi,0,2,0
2016.06.29,Aichi,6,2,2.1611111
2016.06.30,Aichi,0,2,0
2016.07.01,Aichi,6,2,2.1611111
2016.07.02,Aichi,6,2,2.1611111
2016.07.03,Aichi,13,8,2.8631284
2016.07.04,Aichi,0,8,0
2016.07.05,Aichi,52,8,11.452514
2016.07.06,Aichi,40,8,8.8096256
2016.07.07,Aichi,39,8,8.589385
2016.07.08,Aichi,13,8,2.8631284
2016.07.09,Aichi,0,8,0
2016.07.10,Aichi,26,3,5.1080809
2016.07.11,Aichi,13,3,2.5540404
2016.07.12,Aichi,27,3,5.3045459
2016.07.13,Aichi,0,3,0
2016.07.14,Aichi,0,3,0
2016.07.15,Aichi,0,3,0
2016.07.16,Aichi,0,3,0
2016.07.17,Aichi,13,5,2.7276161
2016.07.18,Aichi,13,5,2.7276161
2016.07.19,Aichi,26,5,5.4552321
2016.07.20,Aichi,26,5,5.4552321
2016.07.21,Aichi,13,5,2.7276161
2016.07.22,Aichi,12,5,2.5177994
2016.07.23,Aichi,0,5,0
2016.07.24,Aichi,13,4,2.4429951
2016.07.25,Aichi,0,4,0
2016.07.26,Aichi,0,4,0
2016.07.27,Aichi,39,4,7.3289857
2016.07.28,Aichi,0,4,0
2016.07.29,Aichi,13,4,2.4429951
2016.07.30,Aichi,27,4,5.0739131
2016.07.31,Aichi,13,3,2.5540404
2016.08.01,Aichi,13,3,2.5540404
2016.08.02,Aichi,0,3,0
2016.08.03,Aichi,0,3,0
2016.08.04,Aichi,40,3,7.8585858
2016.08.05,Aichi,0,3,0
2016.08.06,Aichi,0,3,0
2016.08.07,Aichi,15,5,3.1472492
2016.08.08,Aichi,14,5,2.9374325
2016.08.09,Aichi,0,5,0
2016.08.10,Aichi,29,5,6.0846815
2016.08.11,Aichi,30,5,6.2944984
2016.08.12,Aichi,0,5,0
2016.08.13,Aichi,15,5,3.1472492
2016.08.14,Aichi,31,4,7.0520473
2016.08.15,Aichi,15,4,3.412281
2016.08.16,Aichi,0,4,0
2016.08.17,Aichi,15,4,3.412281
2016.08.18,Aichi,0,4,0
2016.08.19,Aichi,0,4,0
2016.08.20,Aichi,15,4,3.412281
2016.08.21,Aichi,0,3,0
2016.08.22,Aichi,0,3,0
2016.08.23,Aichi,14,3,3.4251573
2016.08.24,Aichi,13,3,3.1805031
2016.08.25,Aichi,13,3,3.1805031
2016.08.26,Aichi,13,3,3.1805031
2016.08.27,Aichi,0,3,0
2016.08.28,Aichi,27,5,6.1421056
2016.08.29,Aichi,0,5,0
2016.08.30,Aichi,0,5,0
2016.08.31,Aichi,0,5,0
2016.09.01,Aichi,27,5,6.1421056
2016.09.02,Aichi,14,5,3.1847954
2016.09.03,Aichi,27,5,6.1421056
2016.09.04,Aichi,0,5,0
2016.09.05,Aichi,27,5,5.4532714
2016.09.06,Aichi,27,5,5.4532714
2016.09.07,Aichi,40,5,8.0789204
2016.09.08,Aichi,13,5,2.6256492
2016.09.09,Aichi,0,5,0
