date,raw_daily,raw_weekly,prefecture,pollen_harmonized_daily
2018.01.06,3,2,Aichi,1.2728572
2018.01.05,3,2,Aichi,1.2728572
2018.01.04,3,2,Aichi,1.2728572
2018.01.01,1,2,Aichi,.42428571
2018.01.02,1,2,Aichi,.42428571
2018.01.03,2,2,Aichi,.84857142
2017.12.31,1,2,Aichi,.42428571
2018.01.01,0,0,Akita,
2018.01.06,0,0,Akita,
2018.01.05,0,0,Akita,
2017.12.31,0,0,Akita,
2018.01.02,0,0,Akita,
2018.01.04,0,0,Akita,
2018.01.03,0,0,Akita,
2018.01.02,0,0,Aomori,
2018.01.04,0,0,Aomori,
2018.01.06,0,0,Aomori,
2018.01.05,0,0,Aomori,
2017.12.31,0,0,Aomori,
2018.01.01,0,0,Aomori,
2018.01.03,0,0,Aomori,
2018.01.03,2,3,Chiba,1.0482353
2018.01.04,5,3,Chiba,2.6205883
2018.01.06,5,3,Chiba,2.6205883
2017.12.31,2,3,Chiba,1.0482353
2018.01.02,1,3,Chiba,.52411765
2018.01.05,1,3,Chiba,.52411765
2018.01.01,1,3,Chiba,.52411765
2018.01.02,0,1,Ehime,0
2018.01.01,0,1,Ehime,0
2018.01.06,0,1,Ehime,0
2018.01.05,0,1,Ehime,0
2017.12.31,0,1,Ehime,0
2018.01.04,0,1,Ehime,0
2018.01.03,9,1,Ehime,2.97
2017.12.31,0,1,Fukui,0
2018.01.02,0,1,Fukui,0
2018.01.04,0,1,Fukui,0
2018.01.03,0,1,Fukui,0
2018.01.06,4,1,Fukui,2.9699998
2018.01.01,0,1,Fukui,0
2018.01.05,0,1,Fukui,0
2017.12.31,0,1,Fukuoka,0
2018.01.01,1,1,Fukuoka,.37124997
2018.01.03,1,1,Fukuoka,.37124997
2018.01.06,1,1,Fukuoka,.37124997
2018.01.05,3,1,Fukuoka,1.1137499
2018.01.02,0,1,Fukuoka,0
2018.01.04,2,1,Fukuoka,.74249995
2018.01.03,2,1,Fukushima,1.4849999
2018.01.05,2,1,Fukushima,1.4849999
2017.12.31,0,1,Fukushima,0
2018.01.04,0,1,Fukushima,0
2018.01.06,0,1,Fukushima,0
2018.01.01,0,1,Fukushima,0
2018.01.02,0,1,Fukushima,0
2018.01.05,3,0,Gifu,0
2018.01.01,0,0,Gifu,0
2018.01.02,0,0,Gifu,0
2017.12.31,0,0,Gifu,0
2018.01.04,0,0,Gifu,0
2018.01.06,0,0,Gifu,0
2018.01.03,0,0,Gifu,0
2018.01.04,1,1,Gunma,.42428571
2018.01.05,3,1,Gunma,1.2728572
2018.01.01,0,1,Gunma,0
2018.01.06,1,1,Gunma,.42428571
2018.01.02,1,1,Gunma,.42428571
2018.01.03,1,1,Gunma,.42428571
2017.12.31,0,1,Gunma,0
2018.01.03,0,1,Hiroshima,0
2018.01.02,0,1,Hiroshima,0
2018.01.05,2,1,Hiroshima,.59399998
2018.01.01,4,1,Hiroshima,1.188
2017.12.31,2,1,Hiroshima,.59399998
2018.01.06,0,1,Hiroshima,0
2018.01.04,2,1,Hiroshima,.59399998
2018.01.06,0,2,Hokkaido,0
2018.01.01,3,2,Hokkaido,2.5457144
2018.01.04,1,2,Hokkaido,.84857142
