date,prefecture,raw_daily,raw_weekly,pollen_harmonized_daily
2015.12.27,Aichi,3,2,1.1834483
2015.12.28,Aichi,6,2,2.3668966
2015.12.29,Aichi,4,2,1.577931
2015.12.30,Aichi,6,2,2.3668966
2015.12.31,Aichi,3,2,1.1834483
2016.01.01,Aichi,4,2,1.577931
2016.01.02,Aichi,3,2,1.1834483
2016.01.03,Aichi,7,3,2.8599999
2016.01.04,Aichi,7,3,2.8599999
2016.01.05,Aichi,3,3,1.2257142
2016.01.06,Aichi,8,3,3.2685714
2016.01.07,Aichi,5,3,2.0428572
2016.01.08,Aichi,5,3,2.0428572
2016.01.09,Aichi,7,3,2.8599999
2016.01.10,Aichi,5,4,2.0428572
2016.01.11,Aichi,7,4,2.8599999
2016.01.12,Aichi,11,4,4.4942856
2016.01.13,Aichi,13,4,5.3114285
2016.01.14,Aichi,10,4,4.0857143
2016.01.15,Aichi,10,4,4.0857143
2016.01.16,Aichi,0,4,0
2016.01.17,Aichi,11,3,3.6300001
2016.01.18,Aichi,7,3,2.3099999
2016.01.19,Aichi,5,3,1.65
2016.01.20,Aichi,7,3,2.3099999
2016.01.21,Aichi,9,3,2.9700003
2016.01.22,Aichi,7,3,2.3099999
2016.01.23,Aichi,6,3,1.9800001
2016.01.24,Aichi,6,4,2.2141936
2016.01.25,Aichi,8,4,2.9522581
2016.01.26,Aichi,10,4,3.6903224
2016.01.27,Aichi,8,4,2.9522581
2016.01.28,Aichi,16,4,5.9045162
2016.01.29,Aichi,7,4,2.5832257
2016.01.30,Aichi,7,4,2.5832257
2016.01.31,Aichi,9,7,3.6771429
2016.02.01,Aichi,12,7,4.9028568
2016.02.02,Aichi,15,7,6.1285715
2016.02.03,Aichi,18,7,7.3542857
2016.02.04,Aichi,18,7,7.3542857
2016.02.05,Aichi,13,7,5.3114285
2016.02.06,Aichi,13,7,5.3114285
2016.02.07,Aichi,15,9,5.806015
2016.02.08,Aichi,31,9,11.999098
2016.02.09,Aichi,14,9,5.4189472
2016.02.10,Aichi,18,9,6.9672179
2016.02.11,Aichi,18,9,6.9672179
2016.02.12,Aichi,23,9,8.9025564
2016.02.13,Aichi,14,9,5.4189472
2016.02.14,Aichi,19,12,7.2858105
2016.02.15,Aichi,21,12,8.0527372
2016.02.16,Aichi,25,12,9.5865927
2016.02.17,Aichi,29,12,11.120446
2016.02.18,Aichi,33,12,12.654302
2016.02.19,Aichi,33,12,12.654302
2016.02.20,Aichi,19,12,7.2858105
2016.02.21,Aichi,27,16,10.253279
2016.02.22,Aichi,30,16,11.392531
2016.02.23,Aichi,36,16,13.671038
2016.02.24,Aichi,50,16,18.987553
2016.02.25,Aichi,31,16,11.772283
2016.02.26,Aichi,31,16,11.772283
2016.02.27,Aichi,36,16,13.671038
