date,prefecture,raw_daily,raw_weekly,sleepingdrug2_harmonized_daily
2015.12.27,Aichi,49,52,18.97245
2015.12.28,Aichi,97,52,37.557709
2015.12.29,Aichi,0,52,0
2015.12.30,Aichi,0,52,0
2015.12.31,Aichi,24,52,9.2926283
2016.01.01,Aichi,0,52,0
2016.01.02,Aichi,0,52,0
2016.01.03,Aichi,56,47,15.568438
2016.01.04,Aichi,0,47,0
2016.01.05,Aichi,26,47,7.2282028
2016.01.06,Aichi,26,47,7.2282028
2016.01.07,Aichi,53,47,14.734414
2016.01.08,Aichi,0,47,0
2016.01.09,Aichi,53,47,14.734414
2016.01.10,Aichi,27,62,9.6757412
2016.01.11,Aichi,0,62,0
2016.01.12,Aichi,0,62,0
2016.01.13,Aichi,55,62,19.709843
2016.01.14,Aichi,55,62,19.709843
2016.01.15,Aichi,82,62,29.385582
2016.01.16,Aichi,0,62,0
2016.01.17,Aichi,26,55,8.5787992
2016.01.18,Aichi,52,55,17.157598
2016.01.19,Aichi,52,55,17.157598
2016.01.20,Aichi,54,55,17.817507
2016.01.21,Aichi,27,55,8.9087534
2016.01.22,Aichi,0,55,0
2016.01.23,Aichi,0,55,0
2016.01.24,Aichi,0,41,0
2016.01.25,Aichi,27,41,8.7579107
2016.01.26,Aichi,0,41,0
2016.01.27,Aichi,54,41,17.515821
2016.01.28,Aichi,27,41,8.7579107
2016.01.29,Aichi,26,41,8.4335442
2016.01.30,Aichi,26,41,8.4335442
2016.01.31,Aichi,0,27,0
2016.02.01,Aichi,0,27,0
2016.02.02,Aichi,0,27,0
2016.02.03,Aichi,27,27,8.7055168
2016.02.04,Aichi,27,27,8.7055168
2016.02.05,Aichi,0,27,0
2016.02.06,Aichi,52,27,16.76618
2016.02.07,Aichi,0,40,0
2016.02.08,Aichi,26,40,8.4932623
2016.02.09,Aichi,52,40,16.986525
2016.02.10,Aichi,27,40,8.8199272
2016.02.11,Aichi,0,40,0
2016.02.12,Aichi,0,40,0
2016.02.13,Aichi,50,40,16.333199
2016.02.14,Aichi,25,54,9.1382933
2016.02.15,Aichi,0,54,0
2016.02.16,Aichi,54,54,19.738712
2016.02.17,Aichi,27,54,9.8693562
2016.02.18,Aichi,27,54,9.8693562
2016.02.19,Aichi,54,54,19.738712
2016.02.20,Aichi,0,54,0
2016.02.21,Aichi,0,35,0
2016.02.22,Aichi,27,35,11.07595
2016.02.23,Aichi,54,35,22.151899
2016.02.24,Aichi,0,35,0
2016.02.25,Aichi,0,35,0
2016.02.26,Aichi,0,35,0
2016.02.27,Aichi,27,35,11.07595
2016.02.28,Aichi,0,61,0
2016.02.29,Aichi,0,61,0
2016.03.01,Aichi,54,61,19.855333
2016.03.02,Aichi,27,61,9.9276667
2016.03.03,Aichi,0,61,0
2016.03.04,Aichi,78,61,28.679926
2016.03.05,Aichi,51,61,18.75226
2016.03.06,Aichi,25,39,8.1195869
2016.03.07,Aichi,0,39,0
2016.03.08,Aichi,25,39,8.1195869
2016.03.09,Aichi,50,39,16.239174
2016.03.10,Aichi,26,39,8.4443703
2016.03.11,Aichi,0,39,0
2016.03.12,Aichi,26,39,8.4443703
2016.03.13,Aichi,25,46,9.3915892
2016.03.14,Aichi,0,46,0
2016.03.15,Aichi,26,46,9.7672529
2016.03.16,Aichi,52,46,19.534506
2016.03.17,Aichi,52,46,19.534506
2016.03.18,Aichi,0,46,0
2016.03.19,Aichi,0,46,0
2016.03.20,Aichi,0,40,0
2016.03.21,Aichi,25,40,8.2196293
2016.03.22,Aichi,26,40,8.5484133
2016.03.23,Aichi,26,40,8.5484133
2016.03.24,Aichi,26,40,8.5484133
2016.03.25,Aichi,51,40,16.768042
2016.03.26,Aichi,0,40,0
2016.03.27,Aichi,51,77,16.514572
2016.03.28,Aichi,49,77,15.866941
2016.03.29,Aichi,25,77,8.0953779
2016.03.30,Aichi,100,77,32.381512
2016.03.31,Aichi,51,77,16.514572
2016.04.01,Aichi,25,77,8.0953779
2016.04.02,Aichi,0,77,0
2016.04.03,Aichi,25,59,8.082634
2016.04.04,Aichi,25,59,8.082634
2016.04.05,Aichi,77,59,24.894512
2016.04.06,Aichi,26,59,8.4059401
2016.04.07,Aichi,51,59,16.488575
2016.04.08,Aichi,27,59,8.7292452
2016.04.09,Aichi,0,59,0
2016.04.10,Aichi,0,93,0
2016.04.11,Aichi,53,93,19.933676
2016.04.12,Aichi,0,93,0
2016.04.13,Aichi,78,93,29.336351
2016.04.14,Aichi,52,93,19.557568
2016.04.15,Aichi,53,93,19.933676
2016.04.16,Aichi,77,93,28.960243
2016.04.17,Aichi,0,46,0
2016.04.18,Aichi,26,46,8.318264
2016.04.19,Aichi,0,46,0
2016.04.20,Aichi,26,46,8.318264
2016.04.21,Aichi,26,46,8.318264
2016.04.22,Aichi,53,46,16.956461
2016.04.23,Aichi,51,46,16.316595
2016.04.24,Aichi,25,60,10.548524
2016.04.25,Aichi,26,60,10.970465
2016.04.26,Aichi,0,60,0
2016.04.27,Aichi,52,60,21.940929
2016.04.28,Aichi,26,60,10.970465
2016.04.29,Aichi,51,60,21.51899
2016.04.30,Aichi,0,60,0
2016.05.01,Aichi,0,39,0
2016.05.02,Aichi,25,39,8.1733589
2016.05.03,Aichi,0,39,0
2016.05.04,Aichi,76,39,24.847012
2016.05.05,Aichi,0,39,0
2016.05.06,Aichi,25,39,8.1733589
2016.05.07,Aichi,25,39,8.1733589
2016.05.08,Aichi,25,64,7.1819735
2016.05.09,Aichi,76,64,21.833199
2016.05.10,Aichi,0,64,0
2016.05.11,Aichi,26,64,7.4692526
2016.05.12,Aichi,26,64,7.4692526
2016.05.13,Aichi,79,64,22.695036
2016.05.14,Aichi,50,64,14.363947
2016.05.15,Aichi,25,71,8.8807726
2016.05.16,Aichi,25,71,8.8807726
2016.05.17,Aichi,76,71,26.997549
2016.05.18,Aichi,51,71,18.116776
2016.05.19,Aichi,25,71,8.8807726
2016.05.20,Aichi,0,71,0
2016.05.21,Aichi,51,71,18.116776
2016.05.22,Aichi,25,66,8.0641212
2016.05.23,Aichi,52,66,16.773375
2016.05.24,Aichi,53,66,17.09594
2016.05.25,Aichi,26,66,8.3866873
2016.05.26,Aichi,51,66,16.450809
2016.05.27,Aichi,26,66,8.3866873
2016.05.28,Aichi,26,66,8.3866873
2016.05.29,Aichi,0,33,0
2016.05.30,Aichi,0,33,0
2016.05.31,Aichi,0,33,0
2016.06.01,Aichi,53,33,21.084991
2016.06.02,Aichi,26,33,10.34358
2016.06.03,Aichi,26,33,10.34358
2016.06.04,Aichi,0,33,0
2016.06.05,Aichi,0,46,0
2016.06.06,Aichi,26,46,8.4106894
2016.06.07,Aichi,51,46,16.49789
2016.06.08,Aichi,52,46,16.821379
2016.06.09,Aichi,51,46,16.49789
2016.06.10,Aichi,0,46,0
2016.06.11,Aichi,0,46,0
2016.06.12,Aichi,0,64,0
2016.06.13,Aichi,49,64,17.487316
2016.06.14,Aichi,25,64,8.9220991
2016.06.15,Aichi,52,64,18.557966
2016.06.16,Aichi,50,64,17.844198
