raw_daily,raw_weekly,prefecture,date,suicide_harmonized_daily
22,13,Aichi,2017.01.01,2.8312383
7,13,Aichi,2017.01.02,.90084851
22,13,Aichi,2017.01.03,2.8312383
37,13,Aichi,2017.01.04,4.7616282
25,13,Aichi,2017.01.05,3.2173162
27,13,Aichi,2017.01.06,3.4747016
32,13,Aichi,2017.01.07,4.1181645
29,17,Aichi,2017.01.08,3.7474661
37,17,Aichi,2017.01.09,4.78125
21,17,Aichi,2017.01.10,2.7136824
45,17,Aichi,2017.01.11,5.8150339
43,17,Aichi,2017.01.12,5.5565877
25,17,Aichi,2017.01.13,3.2305744
24,17,Aichi,2017.01.14,3.1013513
26,18,Aichi,2017.01.15,3.3341627
30,18,Aichi,2017.01.16,3.8471105
61,18,Aichi,2017.01.17,7.8224587
35,18,Aichi,2017.01.18,4.488296
17,18,Aichi,2017.01.19,2.1800294
36,18,Aichi,2017.01.20,4.6165328
34,18,Aichi,2017.01.21,4.3600588
23,15,Aichi,2017.01.22,2.851614
26,15,Aichi,2017.01.23,3.2235637
20,15,Aichi,2017.01.24,2.4796643
31,15,Aichi,2017.01.25,3.8434796
24,15,Aichi,2017.01.26,2.9755971
50,15,Aichi,2017.01.27,6.1991606
32,15,Aichi,2017.01.28,3.9674628
29,16,Aichi,2017.01.29,3.8539217
32,16,Aichi,2017.01.30,4.2526035
15,16,Aichi,2017.01.31,1.993408
26,16,Aichi,2017.02.01,3.4552402
38,16,Aichi,2017.02.02,5.0499668
34,16,Aichi,2017.02.03,4.5183911
31,16,Aichi,2017.02.04,4.1197095
24,19,Aichi,2017.02.05,3.1434512
27,19,Aichi,2017.02.06,3.5363827
15,19,Aichi,2017.02.07,1.9646571
41,19,Aichi,2017.02.08,5.3700624
27,19,Aichi,2017.02.09,3.5363827
38,19,Aichi,2017.02.10,4.9771314
75,19,Aichi,2017.02.11,9.8232851
47,26,Aichi,2017.02.12,5.9618988
100,26,Aichi,2017.02.13,12.684892
43,26,Aichi,2017.02.14,5.4545031
42,26,Aichi,2017.02.15,5.3276544
46,26,Aichi,2017.02.16,5.8350501
26,26,Aichi,2017.02.17,3.2980719
45,26,Aichi,2017.02.18,5.7082009
35,15,Aichi,2017.02.19,4.2771239
40,15,Aichi,2017.02.20,4.8881416
26,15,Aichi,2017.02.21,3.1772923
32,15,Aichi,2017.02.22,3.9105134
27,15,Aichi,2017.02.23,3.2994957
24,15,Aichi,2017.02.24,2.9328852
25,15,Aichi,2017.02.25,3.0550885
27,16,Aichi,2017.02.26,3.3741629
19,16,Aichi,2017.02.27,2.3744111
27,16,Aichi,2017.02.28,3.3741629
33,16,Aichi,2017.03.01,4.1239772
42,16,Aichi,2017.03.02,5.2486982
34,16,Aichi,2017.03.03,4.2489462
36,16,Aichi,2017.03.04,4.4988842
36,18,Aichi,2017.03.05,4.6554909
42,18,Aichi,2017.03.06,5.431406
36,18,Aichi,2017.03.07,4.6554909
39,18,Aichi,2017.03.08,5.0434484
30,18,Aichi,2017.03.09,3.8795755
25,18,Aichi,2017.03.10,3.2329795
29,18,Aichi,2017.03.11,3.7502563
32,14,Aichi,2017.03.12,4.0792022
26,14,Aichi,2017.03.13,3.3143518
16,14,Aichi,2017.03.14,2.0396011
33,14,Aichi,2017.03.15,4.2066774
42,14,Aichi,2017.03.16,5.3539534
15,14,Aichi,2017.03.17,1.9121261
23,14,Aichi,2017.03.18,2.9319267
37,18,Aichi,2017.03.19,4.7053943
23,18,Aichi,2017.03.20,2.9249749
32,18,Aichi,2017.03.21,4.0695305
33,18,Aichi,2017.03.22,4.196703
37,18,Aichi,2017.03.23,4.7053943
38,18,Aichi,2017.03.24,4.8325672
41,18,Aichi,2017.03.25,5.2140856
35,16,Aichi,2017.03.26,4.4556704
37,16,Aichi,2017.03.27,4.7102804
22,16,Aichi,2017.03.28,2.8007073
32,16,Aichi,2017.03.29,4.0737557
40,16,Aichi,2017.03.30,5.092195
18,16,Aichi,2017.03.31,2.2914877
30,16,Aichi,2017.04.01,3.8191462
24,13,Aichi,2017.04.02,3.0707703
25,13,Aichi,2017.04.03,3.198719
18,13,Aichi,2017.04.04,2.3030777
21,13,Aichi,2017.04.05,2.6869242
26,13,Aichi,2017.04.06,3.3266678
22,13,Aichi,2017.04.07,2.8148727
37,13,Aichi,2017.04.08,4.7341042
16,15,Aichi,2017.04.09,2.0849421
34,15,Aichi,2017.04.10,4.4305015
29,15,Aichi,2017.04.11,3.7789574
36,15,Aichi,2017.04.12,4.6911192
19,15,Aichi,2017.04.13,2.4758685
32,15,Aichi,2017.04.14,4.1698842
30,15,Aichi,2017.04.15,3.9092662
20,15,Aichi,2017.04.16,2.646688
28,15,Aichi,2017.04.17,3.7053635
38,15,Aichi,2017.04.18,5.028707
23,15,Aichi,2017.04.19,3.0436914
25,15,Aichi,2017.04.20,3.3083601
32,15,Aichi,2017.04.21,4.2347012
27,15,Aichi,2017.04.22,3.573029
25,16,Aichi,2017.04.23,3.2432435
37,16,Aichi,2017.04.24,4.8000002
36,16,Aichi,2017.04.25,4.6702704
25,16,Aichi,2017.04.26,3.2432435
23,16,Aichi,2017.04.27,2.983784
41,16,Aichi,2017.04.28,5.3189192
23,16,Aichi,2017.04.29,2.983784
29,19,Aichi,2017.04.30,3.783021
20,19,Aichi,2017.05.01,2.6089802
27,19,Aichi,2017.05.02,3.5221231
23,19,Aichi,2017.05.03,3.0003269
38,19,Aichi,2017.05.04,4.9570622
72,19,Aichi,2017.05.05,9.3923283
39,19,Aichi,2017.05.06,5.0875111
49,17,Aichi,2017.05.07,6.3603196
55,17,Aichi,2017.05.08,7.1391344
8,17,Aichi,2017.05.09,1.0384196
22,17,Aichi,2017.05.10,2.8556538
29,17,Aichi,2017.05.11,3.764271
32,17,Aichi,2017.05.12,4.1536784
28,17,Aichi,2017.05.13,3.6344686
20,16,Aichi,2017.05.14,2.6321976
41,16,Aichi,2017.05.15,5.3960052
35,16,Aichi,2017.05.16,4.6063457
23,16,Aichi,2017.05.17,3.0270271
27,16,Aichi,2017.05.18,3.5534666
36,16,Aichi,2017.05.19,4.7379556
25,16,Aichi,2017.05.20,3.290247
20,14,Aichi,2017.05.21,2.6340151
37,14,Aichi,2017.05.22,4.8729277
27,14,Aichi,2017.05.23,3.5559204
23,14,Aichi,2017.05.24,3.0291173
32,14,Aichi,2017.05.25,4.2144241
27,14,Aichi,2017.05.26,3.5559204
15,14,Aichi,2017.05.27,1.9755113
31,19,Aichi,2017.05.28,4.0767961
30,19,Aichi,2017.05.29,3.945287
31,19,Aichi,2017.05.30,4.0767961
53,19,Aichi,2017.05.31,6.9700069
47,19,Aichi,2017.06.01,6.1809492
17,19,Aichi,2017.06.02,2.2356625
37,19,Aichi,2017.06.03,4.8658538
35,19,Aichi,2017.06.04,4.5657153
33,19,Aichi,2017.06.05,4.3048172
47,19,Aichi,2017.06.06,6.131103
37,19,Aichi,2017.06.07,4.8266129
39,19,Aichi,2017.06.08,5.0875111
30,19,Aichi,2017.06.09,3.9134703
27,19,Aichi,2017.06.10,3.5221231
32,17,Aichi,2017.06.11,4.1912684
32,17,Aichi,2017.06.12,4.1912684
23,17,Aichi,2017.06.13,3.0124741
25,17,Aichi,2017.06.14,3.2744284
43,17,Aichi,2017.06.15,5.6320167
44,17,Aichi,2017.06.16,5.7629938
22,17,Aichi,2017.06.17,2.8814969
34,15,Aichi,2017.06.18,4.2777257
24,15,Aichi,2017.06.19,3.0195711
33,15,Aichi,2017.06.20,4.1519103
17,15,Aichi,2017.06.21,2.1388628
23,15,Aichi,2017.06.22,2.8937557
39,15,Aichi,2017.06.23,4.9068031
33,15,Aichi,2017.06.24,4.1519103
23,14,Aichi,2017.06.25,3.1151719
31,14,Aichi,2017.06.26,4.19871
42,14,Aichi,2017.06.27,5.6885748
28,14,Aichi,2017.06.28,3.7923832
16,14,Aichi,2017.06.29,2.1670761
14,14,Aichi,2017.06.30,1.8961916
22,14,Aichi,2017.07.01,2.9797297
13,11,Aichi,2017.07.02,2.5101702
16,11,Aichi,2017.07.03,3.0894401
14,11,Aichi,2017.07.04,2.7032599
14,11,Aichi,2017.07.05,2.7032599
18,11,Aichi,2017.07.06,3.4756203
15,11,Aichi,2017.07.07,2.8963501
7,11,Aichi,2017.07.08,1.35163
19,15,Aichi,2017.07.09,3.945287
19,15,Aichi,2017.07.10,3.945287
16,15,Aichi,2017.07.11,3.3223467
15,15,Aichi,2017.07.12,3.1147001
16,15,Aichi,2017.07.13,3.3223467
21,15,Aichi,2017.07.14,4.3605804
17,15,Aichi,2017.07.15,3.5299935
9,23,Aichi,2017.07.16,1.7982626
20,23,Aichi,2017.07.17,3.996139
26,23,Aichi,2017.07.18,5.1949806
19,23,Aichi,2017.07.19,3.7963321
40,23,Aichi,2017.07.20,7.9922781
54,23,Aichi,2017.07.21,10.789576
28,23,Aichi,2017.07.22,5.5945945
22,16,Aichi,2017.07.23,4.4396396
29,16,Aichi,2017.07.24,5.852252
19,16,Aichi,2017.07.25,3.834234
22,16,Aichi,2017.07.26,4.4396396
16,16,Aichi,2017.07.27,3.2288287
13,16,Aichi,2017.07.28,2.6234233
14,16,Aichi,2017.07.29,2.8252251
16,16,Aichi,2017.07.30,3.2288287
21,16,Aichi,2017.07.31,4.2378378
16,16,Aichi,2017.08.01,3.2288287
24,16,Aichi,2017.08.02,4.8432431
22,16,Aichi,2017.08.03,4.4396396
14,16,Aichi,2017.08.04,2.8252251
22,16,Aichi,2017.08.05,4.4396396
12,14,Aichi,2017.08.06,2.3068876
8,14,Aichi,2017.08.07,1.537925
16,14,Aichi,2017.08.08,3.07585
21,14,Aichi,2017.08.09,4.0370536
29,14,Aichi,2017.08.10,5.5749784
20,14,Aichi,2017.08.11,3.8448126
18,14,Aichi,2017.08.12,3.4603314
29,14,Aichi,2017.08.13,5.8584514
16,14,Aichi,2017.08.14,3.2322493
6,14,Aichi,2017.08.15,1.2120935
18,14,Aichi,2017.08.16,3.6362803
19,14,Aichi,2017.08.17,3.8382959
14,14,Aichi,2017.08.18,2.8282182
16,14,Aichi,2017.08.19,3.2322493
29,17,Aichi,2017.08.20,5.749537
16,17,Aichi,2017.08.21,3.1721585
18,17,Aichi,2017.08.22,3.5686781
21,17,Aichi,2017.08.23,4.1634579
22,17,Aichi,2017.08.24,4.3617177
25,17,Aichi,2017.08.25,4.9564977
15,17,Aichi,2017.08.26,2.9738986
21,22,Aichi,2017.08.27,4.2521548
22,22,Aichi,2017.08.28,4.4546385
30,22,Aichi,2017.08.29,6.0745068
44,22,Aichi,2017.08.30,8.909277
16,22,Aichi,2017.08.31,3.239737
35,22,Aichi,2017.09.01,7.086925
17,22,Aichi,2017.09.02,3.4422207
22,15,Aichi,2017.09.03,4.6056709
23,15,Aichi,2017.09.04,4.8150201
27,15,Aichi,2017.09.05,5.6524148
13,15,Aichi,2017.09.06,2.7215328
12,15,Aichi,2017.09.07,2.5121841
14,15,Aichi,2017.09.08,2.9308815
11,15,Aichi,2017.09.09,2.3028355
26,23,Aichi,2017.09.10,5.2485371
38,23,Aichi,2017.09.11,7.670939
32,23,Aichi,2017.09.12,6.4597383
29,23,Aichi,2017.09.13,5.8541379
31,23,Aichi,2017.09.14,6.2578712
16,23,Aichi,2017.09.15,3.2298691
22,23,Aichi,2017.09.16,4.4410701
13,19,Aichi,2017.09.17,2.5335395
22,19,Aichi,2017.09.18,4.2875285
23,19,Aichi,2017.09.19,4.4824162
34,19,Aichi,2017.09.20,6.6261806
29,19,Aichi,2017.09.21,5.6517425
28,19,Aichi,2017.09.22,5.4568548
17,19,Aichi,2017.09.23,3.3130903
15,19,Aichi,2017.09.24,2.9410319
21,19,Aichi,2017.09.25,4.1174445
20,19,Aichi,2017.09.26,3.9213758
43,19,Aichi,2017.09.27,8.4309578
34,19,Aichi,2017.09.28,6.6663389
21,19,Aichi,2017.09.29,4.1174445
11,19,Aichi,2017.09.30,2.1567569
13,15,Aichi,2017.10.01,2.6562161
17,15,Aichi,2017.10.02,3.4735134
15,15,Aichi,2017.10.03,3.0648646
17,15,Aichi,2017.10.04,3.4735134
22,15,Aichi,2017.10.05,4.4951348
22,15,Aichi,2017.10.06,4.4951348
19,15,Aichi,2017.10.07,3.8821619
17,15,Aichi,2017.10.08,3.2893116
17,15,Aichi,2017.10.09,3.2893116
22,15,Aichi,2017.10.10,4.2567568
26,15,Aichi,2017.10.11,5.0307121
16,15,Aichi,2017.10.12,3.0958228
22,15,Aichi,2017.10.13,4.2567568
12,15,Aichi,2017.10.14,2.3218672
24,24,Aichi,2017.10.15,4.9533167
30,24,Aichi,2017.10.16,6.1916456
39,24,Aichi,2017.10.17,8.04914
