date,raw_daily,raw_weekly,prefecture
2015-12-27,22.0,28.0,Hokkaido
2015-12-28,20.0,28.0,Hokkaido
2015-12-29,29.0,28.0,Hokkaido
2015-12-30,15.0,28.0,Hokkaido
2015-12-31,23.0,28.0,Hokkaido
2016-01-01,23.0,28.0,Hokkaido
2016-01-02,22.0,28.0,Hokkaido
2016-01-03,29.0,55.0,Hokkaido
2016-01-04,40.0,55.0,Hokkaido
2016-01-05,20.0,55.0,Hokkaido
2016-01-06,44.0,55.0,Hokkaido
2016-01-07,52.0,55.0,Hokkaido
2016-01-08,55.0,55.0,Hokkaido
2016-01-09,68.0,55.0,Hokkaido
2016-01-10,32.0,50.0,Hokkaido
2016-01-11,15.0,50.0,Hokkaido
2016-01-12,31.0,50.0,Hokkaido
2016-01-13,44.0,50.0,Hokkaido
2016-01-14,36.0,50.0,Hokkaido
2016-01-15,72.0,50.0,Hokkaido
2016-01-16,37.0,50.0,Hokkaido
2016-01-17,32.0,38.0,Hokkaido
2016-01-18,42.0,38.0,Hokkaido
2016-01-19,19.0,38.0,Hokkaido
2016-01-20,28.0,38.0,Hokkaido
2016-01-21,32.0,38.0,Hokkaido
2016-01-22,29.0,38.0,Hokkaido
2016-01-23,20.0,38.0,Hokkaido
2016-01-24,12.0,43.0,Hokkaido
2016-01-25,24.0,43.0,Hokkaido
2016-01-26,33.0,43.0,Hokkaido
2016-01-27,36.0,43.0,Hokkaido
2016-01-28,41.0,43.0,Hokkaido
2016-01-29,37.0,43.0,Hokkaido
2016-01-30,41.0,43.0,Hokkaido
2016-01-31,44.0,44.0,Hokkaido
2016-02-01,24.0,44.0,Hokkaido
2016-02-02,28.0,44.0,Hokkaido
2016-02-03,48.0,44.0,Hokkaido
2016-02-04,52.0,44.0,Hokkaido
2016-02-05,39.0,44.0,Hokkaido
2016-02-06,19.0,44.0,Hokkaido
2016-02-07,47.0,52.0,Hokkaido
2016-02-08,78.0,52.0,Hokkaido
2016-02-09,31.0,52.0,Hokkaido
2016-02-10,32.0,52.0,Hokkaido
2016-02-11,42.0,52.0,Hokkaido
2016-02-12,19.0,52.0,Hokkaido
2016-02-13,30.0,52.0,Hokkaido
2016-02-14,37.0,36.0,Hokkaido
2016-02-15,31.0,36.0,Hokkaido
2016-02-16,24.0,36.0,Hokkaido
2016-02-17,16.0,36.0,Hokkaido
2016-02-18,20.0,36.0,Hokkaido
2016-02-19,24.0,36.0,Hokkaido
2016-02-20,55.0,36.0,Hokkaido
2016-02-21,50.0,39.0,Hokkaido
2016-02-22,28.0,39.0,Hokkaido
2016-02-23,27.0,39.0,Hokkaido
2016-02-24,20.0,39.0,Hokkaido
2016-02-25,40.0,39.0,Hokkaido
2016-02-26,8.0,39.0,Hokkaido
2016-02-27,35.0,39.0,Hokkaido
2016-02-28,15.0,44.0,Hokkaido
2016-02-29,22.0,44.0,Hokkaido
2016-03-01,41.0,44.0,Hokkaido
2016-03-02,35.0,44.0,Hokkaido
2016-03-03,34.0,44.0,Hokkaido
2016-03-04,42.0,44.0,Hokkaido
2016-03-05,45.0,44.0,Hokkaido
2016-03-06,37.0,71.0,Hokkaido
2016-03-07,15.0,71.0,Hokkaido
2016-03-08,66.0,71.0,Hokkaido
2016-03-09,100.0,71.0,Hokkaido
2016-03-10,86.0,71.0,Hokkaido
2016-03-11,38.0,71.0,Hokkaido
2016-03-12,60.0,71.0,Hokkaido
2016-03-13,64.0,54.0,Hokkaido
2016-03-14,30.0,54.0,Hokkaido
2016-03-15,41.0,54.0,Hokkaido
2016-03-16,15.0,54.0,Hokkaido
2016-03-17,38.0,54.0,Hokkaido
2016-03-18,58.0,54.0,Hokkaido
2016-03-19,38.0,54.0,Hokkaido
2016-03-20,19.0,33.0,Hokkaido
2016-03-21,26.0,33.0,Hokkaido
2016-03-22,26.0,33.0,Hokkaido
2016-03-23,23.0,33.0,Hokkaido
2016-03-24,34.0,33.0,Hokkaido
2016-03-25,26.0,33.0,Hokkaido
2016-03-26,27.0,33.0,Hokkaido
2016-03-27,30.0,44.0,Hokkaido
2016-03-28,25.0,44.0,Hokkaido
2016-03-29,46.0,44.0,Hokkaido
2016-03-30,40.0,44.0,Hokkaido
2016-03-31,22.0,44.0,Hokkaido
2016-04-01,30.0,44.0,Hokkaido
2016-04-02,34.0,44.0,Hokkaido
2016-04-03,43.0,39.0,Hokkaido
2016-04-04,26.0,39.0,Hokkaido
2016-04-05,34.0,39.0,Hokkaido
2016-04-06,34.0,39.0,Hokkaido
2016-04-07,15.0,39.0,Hokkaido
2016-04-08,23.0,39.0,Hokkaido
2016-04-09,37.0,39.0,Hokkaido
2016-04-10,37.0,39.0,Hokkaido
2016-04-11,39.0,39.0,Hokkaido
2016-04-12,24.0,39.0,Hokkaido
2016-04-13,43.0,39.0,Hokkaido
2016-04-14,27.0,39.0,Hokkaido
2016-04-15,16.0,39.0,Hokkaido
2016-04-16,23.0,39.0,Hokkaido
2016-04-17,25.0,46.0,Hokkaido
