date,raw_daily,raw_weekly,prefecture
2015-12-27,22.0,27.0,Hokkaido
2015-12-28,20.0,27.0,Hokkaido
2015-12-29,29.0,27.0,Hokkaido
2015-12-30,15.0,27.0,Hokkaido
2015-12-31,23.0,27.0,Hokkaido
2016-01-01,17.0,27.0,Hokkaido
2016-01-02,22.0,27.0,Hokkaido
2016-01-03,33.0,52.0,Hokkaido
2016-01-04,40.0,52.0,Hokkaido
2016-01-05,20.0,52.0,Hokkaido
2016-01-06,44.0,52.0,Hokkaido
2016-01-07,52.0,52.0,Hokkaido
2016-01-08,55.0,52.0,Hokkaido
2016-01-09,60.0,52.0,Hokkaido
2016-01-10,32.0,48.0,Hokkaido
2016-01-11,16.0,48.0,Hokkaido
2016-01-12,31.0,48.0,Hokkaido
2016-01-13,40.0,48.0,Hokkaido
2016-01-14,44.0,48.0,Hokkaido
2016-01-15,72.0,48.0,Hokkaido
2016-01-16,37.0,48.0,Hokkaido
2016-01-17,28.0,36.0,Hokkaido
2016-01-18,42.0,36.0,Hokkaido
2016-01-19,23.0,36.0,Hokkaido
2016-01-20,20.0,36.0,Hokkaido
2016-01-21,36.0,36.0,Hokkaido
2016-01-22,29.0,36.0,Hokkaido
2016-01-23,20.0,36.0,Hokkaido
2016-01-24,12.0,39.0,Hokkaido
2016-01-25,20.0,39.0,Hokkaido
2016-01-26,33.0,39.0,Hokkaido
2016-01-27,32.0,39.0,Hokkaido
2016-01-28,41.0,39.0,Hokkaido
2016-01-29,33.0,39.0,Hokkaido
2016-01-30,41.0,39.0,Hokkaido
2016-01-31,44.0,43.0,Hokkaido
2016-02-01,24.0,43.0,Hokkaido
2016-02-02,24.0,43.0,Hokkaido
2016-02-03,48.0,43.0,Hokkaido
2016-02-04,48.0,43.0,Hokkaido
2016-02-05,39.0,43.0,Hokkaido
2016-02-06,19.0,43.0,Hokkaido
2016-02-07,50.0,48.0,Hokkaido
2016-02-08,78.0,48.0,Hokkaido
2016-02-09,31.0,48.0,Hokkaido
2016-02-10,32.0,48.0,Hokkaido
2016-02-11,42.0,48.0,Hokkaido
2016-02-12,19.0,48.0,Hokkaido
2016-02-13,30.0,48.0,Hokkaido
2016-02-14,41.0,36.0,Hokkaido
2016-02-15,31.0,36.0,Hokkaido
2016-02-16,24.0,36.0,Hokkaido
2016-02-17,19.0,36.0,Hokkaido
