date,prefecture,raw_daily,raw_weekly,suicide2_harmonized_daily
2015.12.27,Aichi,16,25,8.2829714
2015.12.28,Aichi,14,25,7.2476001
2015.12.29,Aichi,21,25,10.871401
2015.12.30,Aichi,22,25,11.389086
2015.12.31,Aichi,3,25,1.5530572
2016.01.01,Aichi,20,25,10.353715
2016.01.02,Aichi,20,25,10.353715
2016.01.03,Aichi,14,64,7.5783348
2016.01.04,Aichi,22,64,11.908813
2016.01.05,Aichi,29,64,15.69798
2016.01.06,Aichi,30,64,16.23929
2016.01.07,Aichi,72,64,38.974297
2016.01.08,Aichi,71,64,38.432987
2016.01.09,Aichi,46,64,24.900246
2016.01.10,Aichi,27,52,14.599545
2016.01.11,Aichi,20,52,10.814477
2016.01.12,Aichi,21,52,11.355202
2016.01.13,Aichi,26,52,14.058822
2016.01.14,Aichi,41,52,22.16968
2016.01.15,Aichi,67,52,36.2285
2016.01.16,Aichi,29,52,15.680993
2016.01.17,Aichi,15,32,7.951653
2016.01.18,Aichi,17,32,9.0118742
2016.01.19,Aichi,13,32,6.8914328
2016.01.20,Aichi,19,32,10.072094
2016.01.21,Aichi,19,32,10.072094
2016.01.22,Aichi,29,32,15.373197
2016.01.23,Aichi,33,32,17.493637
2016.01.24,Aichi,18,43,10.049707
2016.01.25,Aichi,33,43,18.424463
2016.01.26,Aichi,16,43,8.933073
2016.01.27,Aichi,29,43,16.191195
2016.01.28,Aichi,35,43,19.541098
2016.01.29,Aichi,32,43,17.866146
2016.01.30,Aichi,22,43,12.282975
2016.01.31,Aichi,11,38,6.0485654
2016.02.01,Aichi,23,38,12.647
2016.02.02,Aichi,17,38,9.3477831
2016.02.03,Aichi,31,38,17.045958
2016.02.04,Aichi,23,38,12.647
2016.02.05,Aichi,27,38,14.846479
2016.02.06,Aichi,34,38,18.695566
2016.02.07,Aichi,20,37,11.250162
2016.02.08,Aichi,42,37,23.625341
2016.02.09,Aichi,21,37,11.812671
2016.02.10,Aichi,15,37,8.4376221
2016.02.11,Aichi,16,37,9.0001297
2016.02.12,Aichi,26,37,14.625212
2016.02.13,Aichi,18,37,10.125146
2016.02.14,Aichi,33,42,17.708817
2016.02.15,Aichi,32,42,17.172186
2016.02.16,Aichi,17,42,9.1227236
2016.02.17,Aichi,25,42,13.415771
2016.02.18,Aichi,27,42,14.489032
2016.02.19,Aichi,25,42,13.415771
2016.02.20,Aichi,29,42,15.562293
2016.02.21,Aichi,26,46,14.962844
2016.02.22,Aichi,44,46,25.321735
2016.02.23,Aichi,23,46,13.236362
2016.02.24,Aichi,29,46,16.689325
2016.02.25,Aichi,20,46,11.50988
2016.02.26,Aichi,16,46,9.2079039
2016.02.27,Aichi,34,46,19.566795
2016.02.28,Aichi,30,42,16.4489
2016.02.29,Aichi,19,42,10.417637
2016.03.01,Aichi,19,42,10.417637
2016.03.02,Aichi,27,42,14.804011
2016.03.03,Aichi,36,42,19.73868
2016.03.04,Aichi,22,42,12.062527
2016.03.05,Aichi,31,42,16.997198
2016.03.06,Aichi,19,80,10.738628
