date,prefecture,raw_daily,raw_weekly,suicide_harmonized_daily
2015.12.27,Aichi,32,25,8.8913679
2016.01.03,Aichi,79,63,22.406248
2016.01.10,Aichi,66,52,18.494045
2016.01.17,Aichi,40,31,11.025297
2016.01.24,Aichi,52,41,14.581844
2016.01.31,Aichi,49,39,13.870535
2016.02.07,Aichi,44,35,12.447916
2016.02.14,Aichi,54,43,15.293154
2016.02.21,Aichi,57,45,16.004463
2016.02.28,Aichi,53,42,14.937499
2016.03.06,Aichi,100,79,28.096724
2016.03.13,Aichi,45,36,12.803571
2016.03.20,Aichi,54,43,15.293154
2016.03.27,Aichi,50,39,13.870535
2016.04.03,Aichi,49,38,13.51488
2016.04.10,Aichi,48,38,13.51488
2016.04.17,Aichi,41,32,11.380951
2016.04.24,Aichi,45,35,12.447916
2016.05.01,Aichi,47,37,13.159225
2016.05.08,Aichi,66,52,18.494045
2016.05.15,Aichi,55,43,15.293154
2016.05.22,Aichi,63,49,17.427082
2016.05.29,Aichi,55,44,15.648808
2016.06.05,Aichi,58,46,16.360117
2016.06.12,Aichi,78,61,21.694939
2016.06.19,Aichi,60,48,17.071426
2016.06.26,Aichi,57,45,16.004463
2016.07.03,Aichi,46,36,12.803571
2016.07.10,Aichi,48,38,13.51488
2016.07.17,Aichi,52,41,14.581844
2016.07.24,Aichi,45,35,12.447916
2016.07.31,Aichi,47,37,13.159225
2016.08.07,Aichi,43,34,12.092261
2016.08.14,Aichi,45,35,12.447916
2016.08.21,Aichi,55,44,15.648808
2016.08.28,Aichi,53,42,14.937499
2016.09.04,Aichi,51,41,14.581844
2016.09.11,Aichi,47,37,13.159225
2016.09.18,Aichi,49,39,13.870535
2016.09.25,Aichi,57,45,16.004463
2016.10.02,Aichi,61,48,17.071426
2016.10.09,Aichi,60,47,16.715773
2016.10.16,Aichi,68,54,19.205357
2016.10.23,Aichi,71,56,19.916666
2016.10.30,Aichi,47,37,13.159225
2016.11.06,Aichi,49,38,13.51488
2016.11.13,Aichi,52,41,14.581844
2016.11.20,Aichi,44,35,12.447916
2016.11.27,Aichi,50,39,13.870535
2016.12.04,Aichi,59,47,16.715773
2016.12.11,Aichi,33,26,9.2470226
2016.12.18,Aichi,39,31,11.025297
2016.12.25,Aichi,45,36,12.803571
2017.01.01,Aichi,24,33,10.196509
2017.01.01,Aichi,41,33,17.419037
2017.01.02,Aichi,7,33,2.9739816
2017.01.03,Aichi,23,33,9.7716551
2017.01.04,Aichi,37,33,15.719618
2017.01.05,Aichi,26,33,11.046218
2017.01.06,Aichi,29,33,12.320782
2017.01.07,Aichi,34,33,14.445055
2017.01.08,Aichi,30,42,12.491287
2017.01.08,Aichi,53,42,22.067942
2017.01.09,Aichi,39,42,16.238674
2017.01.10,Aichi,18,42,7.4947724
2017.01.11,Aichi,48,42,19.986061
2017.01.12,Aichi,46,42,19.153309
2017.01.13,Aichi,27,42,11.242159
2017.01.14,Aichi,26,42,10.825783
2017.01.15,Aichi,57,45,24.006695
2017.01.15,Aichi,26,45,10.950422
2017.01.16,Aichi,32,45,13.477443
2017.01.17,Aichi,61,45,25.691374
2017.01.18,Aichi,37,45,15.583293
2017.01.19,Aichi,18,45,7.5810618
2017.01.20,Aichi,36,45,15.162124
2017.01.21,Aichi,37,45,15.583293
2017.01.22,Aichi,49,39,20.595642
2017.01.22,Aichi,25,39,10.50798
2017.01.23,Aichi,28,39,11.768938
2017.01.24,Aichi,21,39,8.8267031
2017.01.25,Aichi,33,39,13.870535
2017.01.26,Aichi,23,39,9.6673412
2017.01.27,Aichi,51,39,21.436279
2017.01.28,Aichi,34,39,14.290854
2017.01.29,Aichi,49,39,21.156612
2017.01.29,Aichi,31,39,13.384795
