date,raw_daily,raw_weekly,prefecture,symptoms_harmonized_daily
2018.01.01,39,55,Aichi,15.914824
2018.01.03,36,55,Aichi,14.690608
2018.01.05,39,55,Aichi,15.914824
2018.01.02,47,55,Aichi,19.179405
2018.01.04,58,55,Aichi,23.668201
2018.01.06,39,55,Aichi,15.914824
2017.12.31,35,55,Aichi,14.282535
2018.01.06,0,49,Akita,0
2018.01.01,30,49,Akita,20.09844
2018.01.02,14,49,Akita,9.3792734
2017.12.31,41,49,Akita,27.467871
2018.01.03,45,49,Akita,30.147663
2018.01.05,15,49,Akita,10.04922
2018.01.04,14,49,Akita,9.3792734
2018.01.03,23,83,Aomori,16.338583
2018.01.02,34,83,Aomori,24.152689
2017.12.31,34,83,Aomori,24.152689
2018.01.06,24,83,Aomori,17.048956
2018.01.04,46,83,Aomori,32.677166
2018.01.01,23,83,Aomori,16.338583
2018.01.05,70,83,Aomori,49.726124
2018.01.04,26,49,Chiba,13.251509
2018.01.03,35,49,Chiba,17.83857
2018.01.06,35,49,Chiba,17.83857
2018.01.02,25,49,Chiba,12.741836
2018.01.01,19,49,Chiba,9.683794
2017.12.31,30,49,Chiba,15.290202
2018.01.05,39,49,Chiba,19.877262
2018.01.04,35,33,Ehime,17.316343
2018.01.06,12,33,Ehime,5.9370317
2018.01.02,24,33,Ehime,11.874063
2018.01.03,24,33,Ehime,11.874063
2018.01.05,0,33,Ehime,0
2018.01.01,50,33,Ehime,24.737631
2017.12.31,0,33,Ehime,0
2018.01.04,22,44,Fukui,15.822165
2018.01.03,0,44,Fukui,0
2018.01.01,0,44,Fukui,0
2018.01.05,23,44,Fukui,16.541353
2018.01.02,46,44,Fukui,33.082706
2017.12.31,42,44,Fukui,30.20595
2018.01.06,0,44,Fukui,0
2018.01.01,49,64,Fukuoka,21.574022
2018.01.06,58,64,Fukuoka,25.536598
2018.01.04,64,64,Fukuoka,28.178316
2018.01.05,24,64,Fukuoka,10.566868
2018.01.03,55,64,Fukuoka,24.21574
2018.01.02,18,64,Fukuoka,7.9251513
2017.12.31,48,64,Fukuoka,21.133736
2018.01.01,31,28,Fukushima,14.62757
2018.01.05,0,28,Fukushima,0
2017.12.31,7,28,Fukushima,3.3029997
2018.01.03,30,28,Fukushima,14.155712
2018.01.04,23,28,Fukushima,10.852713
2018.01.06,8,28,Fukushima,3.7748568
2018.01.02,30,28,Fukushima,14.155712
2018.01.03,18,47,Gifu,12.596785
2018.01.04,30,47,Gifu,20.994638
2018.01.01,43,47,Gifu,30.092318
2018.01.05,13,47,Gifu,9.0976772
2018.01.02,12,47,Gifu,8.3978558
2017.12.31,11,47,Gifu,7.6980343
2018.01.06,19,47,Gifu,13.296605
2018.01.05,26,41,Gunma,15.872541
2017.12.31,18,41,Gunma,10.988684
2018.01.02,13,41,Gunma,7.9362707
2018.01.01,25,41,Gunma,15.26206
2018.01.03,25,41,Gunma,15.26206
2018.01.06,13,41,Gunma,7.9362707
2018.01.04,26,41,Gunma,15.872541
2017.12.31,26,41,Hiroshima,13.960189
2018.01.01,28,41,Hiroshima,15.034049
2018.01.03,20,41,Hiroshima,10.738607
2018.01.04,35,41,Hiroshima,18.792562
2018.01.05,20,41,Hiroshima,10.738607
2018.01.02,11,41,Hiroshima,5.9062338
2018.01.06,26,41,Hiroshima,13.960189
2017.12.31,25,61,Hokkaido,10.869565
2018.01.01,47,61,Hokkaido,20.434782
2018.01.03,45,61,Hokkaido,19.565218
2018.01.05,48,61,Hokkaido,20.869564
2018.01.02,31,61,Hokkaido,13.47826
2018.01.04,57,61,Hokkaido,24.782608
2018.01.06,52,61,Hokkaido,22.608694
2018.01.06,41,42,Hyogo,16.637682
2018.01.05,56,42,Hyogo,22.72464
2018.01.03,26,42,Hyogo,10.550725
2018.01.01,20,42,Hyogo,8.115943
2018.01.04,18,42,Hyogo,7.304348
2017.12.31,33,42,Hyogo,13.391305
2018.01.02,31,42,Hyogo,12.579711
2018.01.05,43,34,Ibaraki,17.273157
2018.01.01,17,34,Ibaraki,6.8289223
2018.01.06,33,34,Ibaraki,13.256145
2018.01.04,21,34,Ibaraki,8.4357281
2018.01.02,38,34,Ibaraki,15.264649
2017.12.31,5,34,Ibaraki,2.0085065
2018.01.03,27,34,Ibaraki,10.845936
2018.01.06,43,45,Ishikawa,19.474636
2018.01.01,30,45,Ishikawa,13.586955
2018.01.03,44,45,Ishikawa,19.927536
2017.12.31,0,45,Ishikawa,0
2018.01.02,14,45,Ishikawa,6.3405795
2018.01.05,57,45,Ishikawa,25.815214
2018.01.04,28,45,Ishikawa,12.681159
2018.01.05,24,62,Iwate,14.440994
2018.01.03,23,62,Iwate,13.839286
2018.01.04,48,62,Iwate,28.881989
2017.12.31,11,62,Iwate,6.6187887
2018.01.01,71,62,Iwate,42.721272
2018.01.02,23,62,Iwate,13.839286
2018.01.06,24,62,Iwate,14.440994
2018.01.01,0,56,Kagawa,0
2017.12.31,0,56,Kagawa,0
2018.01.02,39,56,Kagawa,24.600134
2018.01.06,20,56,Kagawa,12.615454
2018.01.05,40,56,Kagawa,25.230907
2018.01.04,19,56,Kagawa,11.984682
2018.01.03,75,56,Kagawa,47.307953
2018.01.01,26,47,Kagoshima,15.008597
2017.12.31,0,47,Kagoshima,0
2018.01.06,13,47,Kagoshima,7.5042987
2018.01.05,0,47,Kagoshima,0
2018.01.03,25,47,Kagoshima,14.431343
2018.01.04,88,47,Kagoshima,50.798328
2018.01.02,25,47,Kagoshima,14.431343
2018.01.06,41,59,Kanagawa,19.12253
2018.01.05,38,59,Kanagawa,17.72332
2017.12.31,28,59,Kanagawa,13.059289
2018.01.04,62,59,Kanagawa,28.916996
2018.01.02,40,59,Kanagawa,18.656126
2018.01.01,37,59,Kanagawa,17.256916
2018.01.03,29,59,Kanagawa,13.525692
2018.01.06,20,15,Kochi,8.3612041
2018.01.05,19,15,Kochi,7.9431438
2018.01.03,0,15,Kochi,0
2017.12.31,0,15,Kochi,0
2018.01.02,0,15,Kochi,0
2018.01.01,20,15,Kochi,8.3612041
2018.01.04,19,15,Kochi,7.9431438
2018.01.01,10,66,Kumamoto,6.0032744
2018.01.02,51,66,Kumamoto,30.616701
2018.01.03,19,66,Kumamoto,11.406222
2018.01.05,56,66,Kumamoto,33.61834
2017.12.31,28,66,Kumamoto,16.80917
2018.01.04,56,66,Kumamoto,33.61834
2018.01.06,19,66,Kumamoto,11.406222
2018.01.04,28,46,Kyoto,11.023623
2018.01.01,23,46,Kyoto,9.0551186
2018.01.02,53,46,Kyoto,20.86614
2018.01.03,36,46,Kyoto,14.173228
2017.12.31,44,46,Kyoto,17.322834
2018.01.06,35,46,Kyoto,13.779528
2018.01.05,35,46,Kyoto,13.779528
2018.01.06,51,64,Mie,27.935638
2017.12.31,23,64,Mie,12.598425
2018.01.05,42,64,Mie,23.005821
2018.01.04,33,64,Mie,18.076
2018.01.01,16,64,Mie,8.764122
