raw_daily,raw_weekly,prefecture,date,symptoms_harmonized_daily
35,55,Aichi,2017.12.31,28.579351
39,55,Aichi,2018.01.01,31.845564
47,55,Aichi,2018.01.02,38.377987
36,55,Aichi,2018.01.03,29.395906
58,55,Aichi,2018.01.04,47.360073
39,55,Aichi,2018.01.05,31.845564
39,55,Aichi,2018.01.06,31.845564
27,45,Aichi,2018.01.07,22.300634
48,45,Aichi,2018.01.08,39.645569
29,45,Aichi,2018.01.09,23.952532
29,45,Aichi,2018.01.10,23.952532
24,45,Aichi,2018.01.11,19.822784
34,45,Aichi,2018.01.12,28.082277
46,45,Aichi,2018.01.13,37.993671
34,52,Aichi,2018.01.14,28.590338
55,52,Aichi,2018.01.15,46.249073
42,52,Aichi,2018.01.16,35.317474
27,52,Aichi,2018.01.17,22.70409
39,52,Aichi,2018.01.18,32.794796
40,52,Aichi,2018.01.19,33.635689
32,52,Aichi,2018.01.20,26.90855
42,53,Aichi,2018.01.21,34.5825
45,53,Aichi,2018.01.22,37.052681
26,53,Aichi,2018.01.23,21.408215
43,53,Aichi,2018.01.24,35.405895
39,53,Aichi,2018.01.25,32.112324
50,53,Aichi,2018.01.26,41.169643
35,53,Aichi,2018.01.27,28.81875
59,55,Aichi,2018.01.28,48.17662
43,55,Aichi,2018.01.29,35.111774
29,55,Aichi,2018.01.30,23.680037
47,55,Aichi,2018.01.31,38.377987
40,55,Aichi,2018.02.01,32.662117
38,55,Aichi,2018.02.02,31.029013
37,55,Aichi,2018.02.03,30.212458
27,46,Aichi,2018.02.04,22.142212
42,46,Aichi,2018.02.05,34.443439
45,46,Aichi,2018.02.06,36.90369
34,46,Aichi,2018.02.07,27.882786
31,46,Aichi,2018.02.08,25.422541
36,46,Aichi,2018.02.09,29.522949
29,46,Aichi,2018.02.10,23.782377
27,52,Aichi,2018.02.11,22.048376
51,52,Aichi,2018.02.12,41.646931
36,52,Aichi,2018.02.13,29.397833
44,52,Aichi,2018.02.14,35.930683
51,52,Aichi,2018.02.15,41.646931
45,52,Aichi,2018.02.16,36.747292
23,52,Aichi,2018.02.17,18.781948
28,55,Aichi,2018.02.18,23.020618
54,55,Aichi,2018.02.19,44.396908
45,55,Aichi,2018.02.20,36.997421
71,55,Aichi,2018.02.21,58.373711
29,55,Aichi,2018.02.22,23.842785
34,55,Aichi,2018.02.23,27.953609
30,55,Aichi,2018.02.24,24.664948
55,45,Aichi,2018.02.25,44.859375
26,45,Aichi,2018.02.26,21.206249
38,45,Aichi,2018.02.27,30.99375
50,45,Aichi,2018.02.28,40.78125
33,45,Aichi,2018.03.01,26.915625
19,45,Aichi,2018.03.02,15.496875
19,45,Aichi,2018.03.03,15.496875
36,62,Aichi,2018.03.04,29.421818
29,62,Aichi,2018.03.05,23.700911
59,62,Aichi,2018.03.06,48.219093
61,62,Aichi,2018.03.07,49.853638
66,62,Aichi,2018.03.08,53.940002
40,62,Aichi,2018.03.09,32.69091
39,62,Aichi,2018.03.10,31.873638
50,85,Aichi,2018.03.11,41.266743
64,85,Aichi,2018.03.12,52.82143
56,85,Aichi,2018.03.13,46.21875
100,85,Aichi,2018.03.14,82.533485
79,85,Aichi,2018.03.15,65.201454
52,85,Aichi,2018.03.16,42.917412
47,85,Aichi,2018.03.17,38.790737
57,48,Aichi,2018.03.18,46.309727
27,48,Aichi,2018.03.19,21.936186
27,48,Aichi,2018.03.20,21.936186
30,48,Aichi,2018.03.21,24.373541
34,48,Aichi,2018.03.22,27.623344
38,48,Aichi,2018.03.23,30.87315
44,48,Aichi,2018.03.24,35.74786
62,89,Aichi,2018.03.25,50.533264
77,89,Aichi,2018.03.26,62.759056
62,89,Aichi,2018.03.27,50.533264
56,89,Aichi,2018.03.28,45.642948
62,89,Aichi,2018.03.29,50.533264
89,89,Aichi,2018.03.30,72.539688
67,89,Aichi,2018.03.31,54.608528
52,86,Aichi,2018.04.01,43.325607
84,86,Aichi,2018.04.02,69.987518
82,86,Aichi,2018.04.03,68.321152
92,86,Aichi,2018.04.04,76.653
70,86,Aichi,2018.04.05,58.322933
37,86,Aichi,2018.04.06,30.827837
32,86,Aichi,2018.04.07,26.661913
36,53,Aichi,2018.04.08,30.181091
43,53,Aichi,2018.04.09,36.049637
41,53,Aichi,2018.04.10,34.37291
31,53,Aichi,2018.04.11,25.989273
44,53,Aichi,2018.04.12,36.888
41,53,Aichi,2018.04.13,34.37291
39,53,Aichi,2018.04.14,32.696182
