date,prefecture,raw_daily,raw_weekly,symptoms_harmonized_daily
2015.12.27,Aichi,44,43,27.697315
2015.12.28,Aichi,44,43,27.697315
2015.12.29,Aichi,58,43,36.510101
2015.12.30,Aichi,35,43,22.031956
2015.12.31,Aichi,41,43,25.808863
2016.01.01,Aichi,30,43,18.884533
2016.01.02,Aichi,39,43,24.549894
2016.01.03,Aichi,47,43,32.005428
2016.01.04,Aichi,36,43,24.514797
2016.01.05,Aichi,30,43,20.428997
2016.01.06,Aichi,28,43,19.067062
2016.01.07,Aichi,50,43,34.048328
2016.01.08,Aichi,38,43,25.87673
2016.01.09,Aichi,40,43,27.238663
2016.01.10,Aichi,23,35,15.803225
2016.01.11,Aichi,41,35,28.170965
2016.01.12,Aichi,28,35,19.238708
2016.01.13,Aichi,38,35,26.109674
2016.01.14,Aichi,41,35,28.170965
2016.01.15,Aichi,23,35,15.803225
2016.01.16,Aichi,23,35,15.803225
2016.01.17,Aichi,30,35,20.612902
2016.01.18,Aichi,33,35,22.674192
2016.01.19,Aichi,19,35,13.054837
2016.01.20,Aichi,43,35,29.545158
2016.01.21,Aichi,32,35,21.987095
2016.01.22,Aichi,38,35,26.109674
2016.01.23,Aichi,22,35,15.116128
2016.01.24,Aichi,44,42,28.942938
2016.01.25,Aichi,46,42,30.258526
2016.01.26,Aichi,44,42,28.942938
2016.01.27,Aichi,29,42,19.076027
2016.01.28,Aichi,43,42,28.285145
2016.01.29,Aichi,36,42,23.680586
2016.01.30,Aichi,30,42,19.73382
2016.01.31,Aichi,47,47,30.553051
2016.02.01,Aichi,37,47,24.052401
2016.02.02,Aichi,62,47,40.304028
2016.02.03,Aichi,37,47,24.052401
2016.02.04,Aichi,55,47,35.753571
2016.02.05,Aichi,40,47,26.002598
2016.02.06,Aichi,30,47,19.501947
2016.02.07,Aichi,47,48,31.613684
2016.02.08,Aichi,48,48,32.286316
2016.02.09,Aichi,47,48,31.613684
2016.02.10,Aichi,32,48,21.52421
2016.02.11,Aichi,57,48,38.34
2016.02.12,Aichi,39,48,26.232632
2016.02.13,Aichi,34,48,22.869473
2016.02.14,Aichi,22,52,15.229498
2016.02.15,Aichi,64,52,44.303993
2016.02.16,Aichi,48,52,33.227997
2016.02.17,Aichi,40,52,27.689997
2016.02.18,Aichi,46,52,31.843496
2016.02.19,Aichi,65,52,44.996243
2016.02.20,Aichi,35,52,24.228746
2016.02.21,Aichi,28,48,19.675049
2016.02.22,Aichi,56,48,39.350098
2016.02.23,Aichi,28,48,19.675049
2016.02.24,Aichi,55,48,38.647419
2016.02.25,Aichi,56,48,39.350098
2016.02.26,Aichi,29,48,20.377729
2016.02.27,Aichi,39,48,27.404533
2016.02.28,Aichi,44,52,29.625772
2016.02.29,Aichi,64,52,43.092033
2016.03.01,Aichi,40,52,26.93252
2016.03.02,Aichi,71,52,47.805225
2016.03.03,Aichi,42,52,28.279148
2016.03.04,Aichi,30,52,20.19939
2016.03.05,Aichi,38,52,25.585896
2016.03.06,Aichi,63,66,42.579517
2016.03.07,Aichi,52,66,35.145
2016.03.08,Aichi,32,66,21.627691
2016.03.09,Aichi,80,66,54.069233
2016.03.10,Aichi,54,66,36.496731
2016.03.11,Aichi,63,66,42.579517
2016.03.12,Aichi,72,66,48.662304
2016.03.13,Aichi,57,59,38.408524
2016.03.14,Aichi,51,59,34.36552
2016.03.15,Aichi,61,59,41.103859
2016.03.16,Aichi,64,59,43.125362
2016.03.17,Aichi,61,59,41.103859
2016.03.18,Aichi,41,59,27.627186
2016.03.19,Aichi,38,59,25.605684
2016.03.20,Aichi,36,67,24.640574
2016.03.21,Aichi,100,67,68.446037
2016.03.22,Aichi,79,67,54.072369
