date,アレジオン+アレグラ+クラリチン,overlap
2018-12-30,3.0,1.0
2018-12-31,8.0,1.0
2019-01-01,9.0,1.0
2019-01-02,6.0,1.0
2019-01-03,7.0,1.0
2019-01-04,7.0,1.0
2019-01-05,3.0,1.0
2019-01-06,0.0,1.0
2019-01-07,6.0,1.0
2019-01-08,5.0,1.0
2019-01-09,5.0,1.0
2019-01-10,10.0,1.0
2019-01-11,5.0,1.0
2019-01-12,6.0,1.0
2019-01-13,4.0,1.0
2019-01-14,5.0,1.0
2019-01-15,7.0,1.0
2019-01-16,4.0,1.0
2019-01-17,7.0,1.0
2019-01-18,9.0,1.0
2019-01-19,5.0,1.0
2019-01-20,4.0,1.0
2019-01-21,7.0,1.0
2019-01-22,9.0,1.0
2019-01-23,6.0,1.0
2019-01-24,7.0,1.0
2019-01-25,8.0,1.0
2019-01-26,6.0,1.0
2019-01-27,13.0,1.0
2019-01-28,6.0,1.0
2019-01-29,7.0,1.0
2019-01-30,11.0,1.0
2019-01-31,8.0,1.0
2019-02-01,10.0,1.0
2019-02-02,12.0,1.0
2019-02-03,10.0,1.0
2019-02-04,18.0,1.0
2019-02-05,18.0,1.0
2019-02-06,14.0,1.0
2019-02-07,21.0,1.0
2019-02-08,10.0,1.0
2019-02-09,9.0,1.0
2019-02-10,16.0,1.0
2019-02-11,13.0,1.0
2019-02-12,31.0,1.0
2019-02-13,23.0,1.0
2019-02-14,25.0,1.0
2019-02-15,25.0,1.0
2019-02-16,23.0,1.0
2019-02-17,27.0,1.0
2019-02-18,32.0,1.0
2019-02-19,29.0,1.0
2019-02-20,47.0,1.0
2019-02-21,52.0,1.0
2019-02-22,59.0,1.0
2019-02-23,64.0,1.0
2019-02-24,64.0,1.0
2019-02-25,62.0,1.0
2019-02-26,100.0,1.0
2019-02-27,67.0,
2019-02-28,46.0,
2019-03-01,50.0,
2019-03-02,63.0,
2019-03-03,56.0,
2019-03-04,52.0,
2019-03-05,61.0,
2019-03-06,71.0,
2019-03-07,52.0,
2019-03-08,69.0,
2019-03-09,85.0,
2019-03-10,59.0,
2019-03-11,57.0,
2019-03-12,51.0,
2019-03-13,56.0,
2019-03-14,57.0,
2019-03-15,37.0,
2019-03-16,41.0,
2019-03-17,33.0,
2019-03-18,56.0,
2019-03-19,26.0,
2019-03-20,34.0,
2019-03-21,38.0,
2019-03-22,41.0,
2019-03-23,31.0,
2019-03-24,41.0,
2019-03-25,28.0,
2019-03-26,32.0,
2019-03-27,31.0,
2019-03-28,12.0,
2019-03-29,19.0,
2019-03-30,13.0,
2019-03-31,22.0,
