date,舌下免疫療法,overlap
2018-12-30,0.0,1.0
2018-12-31,5.0,1.0
2019-01-01,0.0,1.0
2019-01-02,12.0,1.0
2019-01-03,0.0,1.0
2019-01-04,0.0,1.0
2019-01-05,0.0,1.0
2019-01-06,17.0,1.0
2019-01-07,0.0,1.0
2019-01-08,7.0,1.0
2019-01-09,0.0,1.0
2019-01-10,0.0,1.0
2019-01-11,10.0,1.0
2019-01-12,0.0,1.0
2019-01-13,0.0,1.0
2019-01-14,0.0,1.0
2019-01-15,0.0,1.0
2019-01-16,12.0,1.0
2019-01-17,11.0,1.0
2019-01-18,7.0,1.0
2019-01-19,0.0,1.0
2019-01-20,6.0,1.0
2019-01-21,0.0,1.0
2019-01-22,4.0,1.0
2019-01-23,19.0,1.0
2019-01-24,6.0,1.0
2019-01-25,13.0,1.0
2019-01-26,12.0,1.0
2019-01-27,0.0,1.0
2019-01-28,11.0,1.0
2019-01-29,0.0,1.0
2019-01-30,0.0,1.0
2019-01-31,0.0,1.0
2019-02-01,13.0,1.0
2019-02-02,12.0,1.0
2019-02-03,0.0,1.0
2019-02-04,30.0,1.0
2019-02-05,11.0,1.0
2019-02-06,12.0,1.0
2019-02-07,0.0,1.0
2019-02-08,15.0,1.0
2019-02-09,0.0,1.0
2019-02-10,0.0,1.0
2019-02-11,0.0,1.0
2019-02-12,6.0,1.0
2019-02-13,11.0,1.0
2019-02-14,24.0,1.0
2019-02-15,37.0,1.0
2019-02-16,13.0,1.0
2019-02-17,9.0,1.0
2019-02-18,0.0,1.0
2019-02-19,11.0,1.0
2019-02-20,63.0,1.0
2019-02-21,37.0,1.0
2019-02-22,18.0,1.0
2019-02-23,29.0,1.0
2019-02-24,26.0,1.0
2019-02-25,22.0,1.0
2019-02-26,43.0,1.0
2019-02-27,28.0,
2019-02-28,9.0,
2019-03-01,28.0,
2019-03-02,18.0,
2019-03-03,18.0,
2019-03-04,26.0,
2019-03-05,36.0,
2019-03-06,36.0,
2019-03-07,54.0,
2019-03-08,48.0,
2019-03-09,38.0,
2019-03-10,45.0,
2019-03-11,45.0,
2019-03-12,81.0,
2019-03-13,36.0,
2019-03-14,45.0,
2019-03-15,0.0,
2019-03-16,37.0,
2019-03-17,19.0,
2019-03-18,36.0,
2019-03-19,17.0,
2019-03-20,45.0,
2019-03-21,45.0,
2019-03-22,9.0,
2019-03-23,19.0,
2019-03-24,0.0,
2019-03-25,45.0,
2019-03-26,18.0,
2019-03-27,28.0,
2019-03-28,18.0,
2019-03-29,0.0,
2019-03-30,28.0,
2019-03-31,0.0,
2019-04-01,0.0,
2019-04-02,18.0,
2019-04-03,18.0,
2019-04-04,0.0,
2019-04-05,18.0,
2019-04-06,9.0,
2019-04-07,9.0,
2019-04-08,0.0,
2019-04-09,9.0,
2019-04-10,9.0,
2019-04-11,19.0,
2019-04-12,9.0,
2019-04-13,19.0,
2019-04-14,27.0,
2019-04-15,0.0,
2019-04-16,9.0,
2019-04-17,28.0,
2019-04-18,0.0,
2019-04-19,9.0,
2019-04-20,28.0,
2019-04-21,18.0,
2019-04-22,18.0,
2019-04-23,9.0,
2019-04-24,0.0,
2019-04-25,0.0,
2019-04-26,19.0,
2019-04-27,0.0,
2019-04-28,9.0,
2019-04-29,9.0,
2019-04-30,9.0,
2019-05-01,0.0,
2019-05-02,0.0,
2019-05-03,0.0,
2019-05-04,0.0,
2019-05-05,0.0,
2019-05-06,13.0,1.0
2019-05-07,4.0,1.0
2019-05-08,4.0,1.0
2019-05-09,18.0,1.0
2019-05-10,4.0,1.0
2019-05-11,5.0,1.0
2019-05-12,13.0,1.0
2019-05-13,4.0,1.0
2019-05-14,9.0,1.0
2019-05-15,9.0,1.0
2019-05-16,18.0,1.0
2019-05-17,9.0,1.0
2019-05-18,4.0,1.0
2019-05-19,0.0,1.0
2019-05-20,13.0,1.0
2019-05-21,21.0,1.0
2019-05-22,0.0,1.0
2019-05-23,0.0,1.0
