date,花粉+花粉症+スギ花粉,overlap
2018-12-30,1.0,1.0
2018-12-31,1.0,1.0
2019-01-01,2.0,1.0
2019-01-02,1.0,1.0
2019-01-03,1.0,1.0
2019-01-04,2.0,1.0
2019-01-05,2.0,1.0
2019-01-06,1.0,1.0
2019-01-07,2.0,1.0
2019-01-08,4.0,1.0
2019-01-09,3.0,1.0
2019-01-10,3.0,1.0
2019-01-11,2.0,1.0
2019-01-12,2.0,1.0
2019-01-13,2.0,1.0
2019-01-14,3.0,1.0
2019-01-15,4.0,1.0
2019-01-16,3.0,1.0
2019-01-17,4.0,1.0
2019-01-18,4.0,1.0
2019-01-19,5.0,1.0
2019-01-20,4.0,1.0
2019-01-21,4.0,1.0
2019-01-22,5.0,1.0
2019-01-23,6.0,1.0
2019-01-24,5.0,1.0
2019-01-25,5.0,1.0
2019-01-26,4.0,1.0
2019-01-27,5.0,1.0
2019-01-28,6.0,1.0
2019-01-29,7.0,1.0
2019-01-30,5.0,1.0
2019-01-31,5.0,1.0
2019-02-01,5.0,1.0
2019-02-02,6.0,1.0
2019-02-03,9.0,1.0
2019-02-04,14.0,1.0
2019-02-05,11.0,1.0
2019-02-06,10.0,1.0
2019-02-07,9.0,1.0
2019-02-08,8.0,1.0
2019-02-09,5.0,1.0
2019-02-10,7.0,1.0
2019-02-11,7.0,1.0
2019-02-12,13.0,1.0
2019-02-13,10.0,1.0
2019-02-14,12.0,1.0
2019-02-15,11.0,1.0
2019-02-16,12.0,1.0
2019-02-17,15.0,1.0
2019-02-18,19.0,1.0
2019-02-19,22.0,1.0
2019-02-20,35.0,1.0
2019-02-21,43.0,1.0
2019-02-22,37.0,1.0
2019-02-23,47.0,1.0
2019-02-24,42.0,1.0
2019-02-25,51.0,1.0
2019-02-26,74.0,1.0
2019-02-27,56.0,1.0
2019-02-28,37.0,1.0
2019-03-01,38.0,1.0
2019-03-02,55.0,1.0
2019-03-03,44.0,1.0
2019-03-04,36.0,1.0
2019-03-05,57.0,1.0
2019-03-06,57.0,1.0
2019-03-07,49.0,1.0
2019-03-08,69.0,1.0
2019-03-09,83.0,1.0
2019-03-10,64.0,1.0
2019-03-11,59.0,1.0
2019-03-12,53.0,
2019-03-13,60.0,
2019-03-14,53.0,
2019-03-15,39.0,
2019-03-16,32.0,
2019-03-17,28.0,
2019-03-18,32.0,
2019-03-19,32.0,
2019-03-20,29.0,
2019-03-21,31.0,
2019-03-22,36.0,
2019-03-23,29.0,
2019-03-24,32.0,
2019-03-25,33.0,
2019-03-26,30.0,
2019-03-27,28.0,
2019-03-28,27.0,
2019-03-29,19.0,
2019-03-30,20.0,
2019-03-31,17.0,
2019-04-01,12.0,
2019-04-02,14.0,
2019-04-03,15.0,
2019-04-04,18.0,
2019-04-05,21.0,
2019-04-06,22.0,
2019-04-07,22.0,
2019-04-08,20.0,
2019-04-09,16.0,
2019-04-10,13.0,
2019-04-11,13.0,
2019-04-12,13.0,
2019-04-13,13.0,
2019-04-14,12.0,
