date,花粉症,overlap
2018-12-30,1.0,1.0
2018-12-31,1.0,1.0
2019-01-01,1.0,1.0
2019-01-02,1.0,1.0
2019-01-03,1.0,1.0
2019-01-04,1.0,1.0
2019-01-05,2.0,1.0
2019-01-06,1.0,1.0
2019-01-07,2.0,1.0
2019-01-08,2.0,1.0
2019-01-09,2.0,1.0
2019-01-10,2.0,1.0
2019-01-11,4.0,1.0
2019-01-12,2.0,1.0
2019-01-13,3.0,1.0
2019-01-14,3.0,1.0
2019-01-15,3.0,1.0
2019-01-16,4.0,1.0
2019-01-17,4.0,1.0
2019-01-18,4.0,1.0
2019-01-19,4.0,1.0
2019-01-20,4.0,1.0
2019-01-21,4.0,1.0
2019-01-22,5.0,1.0
2019-01-23,3.0,1.0
2019-01-24,4.0,1.0
2019-01-25,5.0,1.0
2019-01-26,5.0,1.0
2019-01-27,3.0,1.0
2019-01-28,6.0,1.0
2019-01-29,4.0,1.0
2019-01-30,5.0,1.0
2019-01-31,5.0,1.0
2019-02-01,5.0,1.0
2019-02-02,6.0,1.0
2019-02-03,9.0,1.0
2019-02-04,13.0,1.0
2019-02-05,10.0,1.0
2019-02-06,10.0,1.0
2019-02-07,10.0,1.0
2019-02-08,7.0,1.0
2019-02-09,6.0,1.0
2019-02-10,7.0,1.0
2019-02-11,7.0,1.0
2019-02-12,9.0,1.0
2019-02-13,12.0,1.0
2019-02-14,13.0,1.0
2019-02-15,11.0,1.0
2019-02-16,12.0,1.0
2019-02-17,14.0,1.0
2019-02-18,22.0,1.0
2019-02-19,18.0,1.0
2019-02-20,40.0,1.0
2019-02-21,48.0,1.0
2019-02-22,42.0,1.0
2019-02-23,49.0,1.0
2019-02-24,48.0,1.0
2019-02-25,66.0,1.0
2019-02-26,93.0,1.0
2019-02-27,72.0,
2019-02-28,41.0,
2019-03-01,47.0,
2019-03-02,69.0,
2019-03-03,52.0,
2019-03-04,42.0,
2019-03-05,76.0,
2019-03-06,75.0,
2019-03-07,58.0,
2019-03-08,95.0,
2019-03-09,100.0,
2019-03-10,80.0,
2019-03-11,67.0,
2019-03-12,67.0,
2019-03-13,65.0,
2019-03-14,58.0,
2019-03-15,50.0,
2019-03-16,40.0,
2019-03-17,33.0,
2019-03-18,39.0,
2019-03-19,33.0,
2019-03-20,35.0,
2019-03-21,34.0,
2019-03-22,39.0,
2019-03-23,33.0,
2019-03-24,33.0,
2019-03-25,42.0,
2019-03-26,31.0,
2019-03-27,33.0,
2019-03-28,30.0,
2019-03-29,25.0,
2019-03-30,18.0,
2019-03-31,14.0,
2019-04-01,14.0,
2019-04-02,13.0,
2019-04-03,17.0,
2019-04-04,19.0,
2019-04-05,19.0,
2019-04-06,23.0,
2019-04-07,23.0,
2019-04-08,19.0,
2019-04-09,18.0,
2019-04-10,12.0,
2019-04-11,12.0,
2019-04-12,9.0,
2019-04-13,10.0,
2019-04-14,10.0,
2019-04-15,11.0,
2019-04-16,12.0,
2019-04-17,11.0,
2019-04-18,12.0,
